action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
"[7383, 7983, 8559]","[u'up', u'left', u'left']",train_final,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'10', u'8', u'3', u'1'], u'time': [919, 2024, 3630, 5835]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, -7, 2]","[7380, 72, 63]",-16.0,"[None, None, None]",,349460,27.0,14533103.0,mouselab-mdp,1
"[2957, 3573, 4157]","[u'up', u'left', u'left']",train_final,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, -2, -7]","[2954, 86, 69]",-11.0,"[None, None, None]",,356377,28.0,3735508.0,mouselab-mdp,1
"[349, 1229, 1853]","[u'up', u'right', u'right']",train_final,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, 7, -12]","[346, 351, 107]",2.0,"[None, None, None]",,360857,29.0,26330822.0,mouselab-mdp,1
"[8430, 9326, 10271]","[u'up', u'left', u'left']",test,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'3'], u'time': [5974, 7436]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, -2, 7]","[8428, 359, 420]",10.0,"[None, None, None]",,380060,30.0,18628783.0,mouselab-mdp,1
"[2386, 3322, 4218]","[u'up', u'left', u'left']",test,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'3'], u'time': [783, 1567]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 2, -2]","[2383, 407, 369]",0.0,"[None, None, None]",,386756,31.0,41718736.0,mouselab-mdp,1
"[2469, 3189, 3869]","[u'up', u'left', u'left']",test,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'3'], u'time': [702, 1704]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[12, -2, 7]","[2467, 200, 162]",15.0,"[None, None, None]",,393093,32.0,30566367.0,mouselab-mdp,1
"[1347, 1986, 2611]","[u'up', u'right', u'right']",test,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5'], u'time': [524]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, 2, -7]","[1345, 114, 104]",1.0,"[None, None, None]",,398605,33.0,36111948.0,mouselab-mdp,1
"[2163, 3307, 3891]","[u'up', u'left', u'left']",test,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5'], u'time': [1018]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 7, 12]","[2161, 621, 54]",20.0,"[None, None, None]",,405005,34.0,60806670.0,mouselab-mdp,1
"[3967, 4527, 5071]","[u'up', u'left', u'left']",test,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'3'], u'time': [651, 3126]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, -2, -2]","[3965, 33, 26]",1.0,"[None, None, None]",,412517,35.0,10238530.0,mouselab-mdp,1
"[2276, 2868, 3412]","[u'up', u'left', u'left']",test,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'3'], u'time': [664, 1664]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-12, -7, -2]","[2271, 72, 32]",-23.0,"[None, None, None]",,418373,36.0,58314511.0,mouselab-mdp,1
"[6252, 8016, 8716]","[u'up', u'right', u'right']",test,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'3', u'4'], u'time': [658, 1634, 4086]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, 12, 2]","[6250, 1235, 176]",9.0,"[None, None, None]",,429429,37.0,6122234.0,mouselab-mdp,1
"[1906, 2474, 2996]","[u'up', u'left', u'left']",test,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'3'], u'time': [488, 1266]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 7, 12]","[1904, 40, 10]",19.0,"[None, None, None]",,434797,38.0,94051310.0,mouselab-mdp,1
"[1733, 2669, 3277]","[u'up', u'left', u'left']",test,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5'], u'time': [488]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, -7, 7]","[1730, 406, 80]",-3.0,"[None, None, None]",,440597,39.0,87976537.0,mouselab-mdp,1
