action_times,actions,button_pressed,correct,delays,information_used_correctly,key_press,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[18360, 42511, 44093]","[u'up', u'up', u'right']",,,"[20, 0, 0]",,,"[u'1', 3, 7, 13]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13'], u'time': [4330, 9943, 11233, 14630]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[18360, 1629, 780]",-6.0,,961210,5.0,4.0,mouselab-mdp,,1
"[1799, 3656, 5903]","[u'right', u'right', u'up']",,,"[0, 0, 0]",,,"[u'1', 2, 6, 10]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1799, 3, 1350]",14.0,,1010077,6.0,3.0,mouselab-mdp,,1
"[2437, 5270, 10236]","[u'left', u'left', u'down']",,,"[0, 0, 0]",,,"[u'1', 4, 8, 15]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2437, 1015, 4065]",30.0,,1061649,7.0,9.0,mouselab-mdp,,1
"[3981, 7141, 8883]","[u'up', u'up', u'right']",,,"[0, 0, 0]",,,"[u'1', 3, 7, 13]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3981, 1316, 883]",1.0,,1111536,8.0,8.0,mouselab-mdp,,1
"[3397, 8577, 10177]","[u'right', u'right', u'up']",,,"[0, 0, 0]",,,"[u'1', 2, 6, 10]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3396, 3367, 721]",8.0,,1161215,9.0,0.0,mouselab-mdp,,1
"[1442, 4524, 5972]","[u'left', u'left', u'down']",,,"[0, 0, 0]",,,"[u'1', 4, 8, 15]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1442, 1257, 559]",5.0,,1211328,10.0,1.0,mouselab-mdp,,1
"[2041, 4051, 6008]","[u'up', u'up', u'right']",,,[],,,"[u'1', 3, 7, 13]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2031, 1497, 1437]",13.0,,1268807,11.0,12.0,mouselab-mdp,,1
"[28348, 29495, 30595]","[u'left', u'left', u'up']",,,[],,,"[u'1', 4, 8, 14]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'13', u'4', u'11', u'17', u'15', u'12', u'6', u'14'], u'time': [3232, 6499, 8649, 11299, 14349, 16369, 18124, 20459, 22048]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[28348, 650, 599]",-24.5,,1318271,12.0,14.0,mouselab-mdp,,1
"[1953, 4167, 5347]","[u'right', u'right', u'up']",,,[],,,"[u'1', 2, 6, 10]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1953, 1717, 680]",16.0,,1366647,13.0,11.0,mouselab-mdp,,1
"[2342, 3972, 10592]","[u'up', u'up', u'right']",,,[],,,"[u'1', 3, 7, 13]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'13'], u'time': [9412]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2342, 1133, 6102]",38.5,,1415646,14.0,10.0,mouselab-mdp,,1
"[3133, 14169, 16163]","[u'right', u'right', u'down']",,,[],,,"[u'1', 2, 6, 11]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'10', u'11'], u'time': [8273, 12083]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3133, 10512, 1490]",19.0,,1464163,15.0,15.0,mouselab-mdp,,1
"[2604, 14101, 15094]","[u'left', u'left', u'up']",,,[],,,"[u'1', 4, 8, 14]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'15'], u'time': [6291, 11964]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2604, 10987, 480]",24.0,,1512876,16.0,13.0,mouselab-mdp,,1
"[102535, 114504, 117727]","[u'right', u'right', u'up']",,,"[4, 0, 1]",,,"[u'1', 2, 6, 10]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'5', u'9', u'16', u'17', u'4', u'8', u'15', u'14', u'3', u'7', u'12', u'13'], u'time': [6360, 8609, 9449, 12706, 13448, 14133, 14982, 16029, 17258, 18371, 19463, 20552, 21519, 22573, 23396]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[102533, 3835, 2555]",6.85,,520073,1.0,5.0,mouselab-mdp,,2
"[3145, 10180, 17333]","[u'left', u'left', u'up']",,,"[4, 0, 1]",,,"[u'1', 4, 8, 14]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3145, 1232, 6252]",4.0,,579572,2.0,3.0,mouselab-mdp,,2
"[1942, 8357, 11981]","[u'down', u'down', u'right']",,,"[4, 0, 1]",,,"[u'1', 5, 9, 17]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1942, 665, 2756]",11.0,,639219,3.0,0.0,mouselab-mdp,,2
"[2307, 9283, 12436]","[u'left', u'left', u'down']",,,"[4, 0, 1]",,,"[u'1', 4, 8, 15]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2307, 1262, 2270]",9.0,,700788,4.0,4.0,mouselab-mdp,,2
"[1242, 7419, 10160]","[u'up', u'up', u'right']",,,"[4, 0, 1]",,,"[u'1', 3, 7, 13]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1242, 437, 1886]",5.0,,756922,5.0,7.0,mouselab-mdp,,2
