PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,version
objectLevel,3.45,0.005,True,7,,,True,after_each_move,1.0,full,258,1A.1
featureBased,2.99,0.005,True,3,,,True,after_each_move,0.01,full,259,1A.1
featureBased,3.0,0.005,True,3,,,True,after_each_move,0.01,full,260,1A.1
none,1.41,0.005,True,0,,,False,after_each_move,0.01,none,261,1A.1
featureBased,0.0,0.005,False,4,,,True,after_each_move,1.0,full,262,1A.1
objectLevel,0.63,0.005,True,8,,,True,after_each_move,2.5,full,263,1A.1
none,1.67,0.005,True,1,,,False,after_each_move,1.0,none,264,1A.1
objectLevel,0.0,0.005,False,8,18.0,8.0,True,after_each_move,2.5,full,265,1A.1
objectLevel,0.22,0.005,True,8,,,True,after_each_move,2.5,full,266,1A.1
none,1.08,0.005,True,2,,,False,after_each_move,2.5,none,267,1A.1
featureBased,0.94,0.005,True,5,,,True,after_each_move,2.5,full,268,1A.1
featureBased,2.92,0.005,True,3,,,True,after_each_move,0.01,full,269,1A.1
none,1.44,0.005,True,1,,,False,after_each_move,1.0,none,270,1A.1
featureBased,0.99,0.005,True,5,,,True,after_each_move,2.5,full,271,1A.1
featureBased,2.28,0.005,True,4,,,True,after_each_move,1.0,full,272,1A.1
none,2.93,0.005,True,1,,,False,after_each_move,1.0,none,273,1A.1
objectLevel,2.56,0.005,True,6,,,True,after_each_move,0.01,full,274,1A.1
objectLevel,2.85,0.005,True,6,,,True,after_each_move,0.01,full,275,1A.1
objectLevel,0.0,0.005,False,7,,,True,after_each_move,1.0,full,276,1A.1
none,2.78,0.005,True,1,,,False,after_each_move,1.0,none,277,1A.1
none,2.75,0.005,True,0,,,False,after_each_move,0.01,none,278,1A.1
objectLevel,0.79,0.005,True,8,,,True,after_each_move,2.5,full,279,1A.1
objectLevel,1.56,0.005,True,6,,,True,after_each_move,0.01,full,280,1A.1
objectLevel,0.0,0.005,False,7,,,True,after_each_move,1.0,full,281,1A.1
objectLevel,0.84,0.005,True,8,,,True,after_each_move,2.5,full,282,1A.1
none,2.42,0.005,True,1,,,False,after_each_move,1.0,none,283,1A.1
none,1.29,0.005,True,2,,,False,after_each_move,2.5,none,284,1A.1
featureBased,2.61,0.005,True,4,,,True,after_each_move,1.0,full,285,1A.1
featureBased,2.53,0.005,True,3,,,True,after_each_move,0.01,full,286,1A.1
none,1.14,0.005,True,2,,,False,after_each_move,2.5,none,287,1A.1
featureBased,1.01,0.005,True,5,,,True,after_each_move,2.5,full,288,1A.1
featureBased,0.0,0.005,False,3,1.0,,True,after_each_move,0.01,full,289,1A.1
featureBased,2.99,0.005,True,3,,,True,after_each_move,0.01,full,290,1A.1
featureBased,2.73,0.005,True,3,,,True,after_each_move,0.01,full,291,1A.1
featureBased,0.0,0.005,False,3,,,True,after_each_move,0.01,full,292,1A.1
featureBased,0.75,0.005,True,4,,,True,after_each_move,1.0,full,293,1A.1
none,1.76,0.005,True,1,,,False,after_each_move,1.0,none,294,1A.1
