,bonus,bonusRate,branching,completed,condition,inspectCost,pid,startTime,with_feedback,version
68,0.0,0.0015,312,True,1,1,68,Thu Apr 05 2018 17:37:47 GMT-0400 (Eastern Daylight Time),True,A1.0
69,2.34,0.0015,312,True,0,1,69,Wed Apr 04 2018 16:01:18 GMT-0400 (EDT),False,A1.0
70,0.0,0.0015,312,True,0,1,70,Fri Apr 06 2018 20:58:37 GMT-0700 (Pacific Daylight Time),False,A1.0
71,0.0,0.0015,312,True,0,1,71,Fri Apr 06 2018 20:36:38 GMT-0400 (Eastern Daylight Time),False,A1.0
72,0.0,0.0015,312,True,1,1,72,Wed Apr 04 2018 12:49:14 GMT-0700 (Pacific Daylight Time),True,A1.0
73,0.0,0.0015,312,True,1,1,73,Thu Apr 05 2018 10:35:33 GMT-0500 (Central Daylight Time),True,A1.0
74,0.0,0.0015,312,True,0,1,74,Fri Apr 06 2018 14:35:39 GMT-0700 (Pacific Daylight Time),False,A1.0
75,2.44,0.0015,312,True,1,1,75,Sat Apr 07 2018 01:03:54 GMT-0500 (CDT),True,A1.0
76,0.45,0.0015,312,True,1,1,76,Fri Apr 06 2018 00:38:32 GMT-0500 (CDT),True,A1.0
77,1.85,0.0015,312,True,0,1,77,Fri Apr 06 2018 19:52:17 GMT-0400 (EDT),False,A1.0
78,0.0,0.0015,312,True,0,1,78,Fri Apr 06 2018 19:18:48 GMT-0400 (Eastern Daylight Time),False,A1.0
79,0.45,0.0015,312,True,1,1,79,Thu Apr 05 2018 12:06:16 GMT-0700 (Pacific Daylight Time),True,A1.0
80,0.0,0.0015,312,True,1,1,80,Fri Apr 06 2018 14:10:37 GMT-0400 (Eastern Daylight Time),True,A1.0
81,0.0,0.0015,312,True,0,1,81,Fri Apr 06 2018 19:38:11 GMT-0400 (Eastern Daylight Time),False,A1.0
82,0.0,0.0015,312,True,0,1,82,Fri Apr 06 2018 15:15:44 GMT-0400 (Eastern Daylight Time),False,A1.0
83,2.39,0.0015,312,True,1,1,83,Wed Apr 04 2018 16:16:57 GMT-0400 (Eastern Daylight Time),True,A1.0
84,2.11,0.0015,312,True,0,1,84,Thu Apr 05 2018 14:45:12 GMT-0700 (Pacific Daylight Time),False,A1.0
85,0.0,0.0015,312,True,0,1,85,Wed Apr 04 2018 13:11:25 GMT-0700 (Pacific Daylight Time),False,A1.0
86,2.08,0.0015,312,True,0,1,86,Fri Apr 06 2018 20:57:24 GMT-0400 (Eastern Daylight Time),False,A1.0
87,0.0,0.0015,312,True,0,1,87,Thu Apr 05 2018 19:35:30 GMT+0300 (Jerusalem Daylight Time),False,A1.0
88,0.0,0.0015,312,True,0,1,88,Fri Apr 06 2018 17:09:06 GMT-0500 (Central Daylight Time),False,A1.0
89,0.0,0.0015,312,True,1,1,89,Fri Apr 06 2018 13:05:15 GMT-0400 (EDT),True,A1.0
90,0.0,0.0015,312,True,0,1,90,Thu Apr 05 2018 14:16:09 GMT-0400 (Eastern Daylight Time),False,A1.0
91,0.0,0.0015,312,True,0,1,91,Thu Apr 05 2018 12:00:06 GMT-0400 (Eastern Daylight Time),False,A1.0
92,0.0,0.0015,312,True,0,1,92,Fri Apr 06 2018 17:06:06 GMT-0700 (Pacific Daylight Time),False,A1.0
93,0.0,0.0015,312,True,1,1,93,Thu Apr 05 2018 20:12:08 GMT-0400 (EDT),True,A1.0
94,0.0,0.0015,312,True,1,1,94,Fri Apr 06 2018 15:14:02 GMT-0700 (PDT),True,A1.0
95,2.07,0.0015,312,True,1,1,95,Fri Apr 06 2018 20:34:53 GMT-0400 (EDT),True,A1.0
96,0.0,0.0015,312,True,1,1,96,Wed Apr 04 2018 13:32:28 GMT-0600 (Mountain Daylight Time),True,A1.0
97,1.93,0.0015,312,True,0,1,97,Thu Apr 05 2018 12:20:44 GMT-0700 (Pacific Daylight Time),False,A1.0
98,0.0,0.0015,312,True,1,1,98,Fri Apr 06 2018 19:06:06 GMT-0400 (Eastern Daylight Time),True,A1.0
99,0.0,0.0015,312,True,0,1,99,Sat Apr 07 2018 01:26:32 GMT-0400 (EDT),False,A1.0
100,0.0,0.0015,312,True,1,1,100,Wed Apr 04 2018 12:17:49 GMT-0700 (Pacific Daylight Time),True,A1.0
101,2.03,0.0015,312,True,0,1,101,Thu Apr 05 2018 16:28:42 GMT-0500 (CDT),False,A1.0
102,0.48,0.0015,312,True,0,1,102,Fri Apr 06 2018 13:22:28 GMT-0500 (Central Daylight Time),False,A1.0
103,0.0,0.0015,312,True,0,1,103,Thu Apr 05 2018 14:48:13 GMT-0400 (Eastern Daylight Time),False,A1.0
