key_press,rt,time_elapsed,trial_type,pid
32.0,6339,44349,text,161
32.0,1717,718237,text,161
32.0,3112,26238,text,162
32.0,2268,23936,text,163
32.0,1576,15753,text,164
32.0,5953,35421,text,165
32.0,1784,20476,text,166
32.0,1568,13063,text,167
32.0,2581,17748,text,168
32.0,77402,111390,text,169
32.0,17144,129548,text,169
32.0,4854,135408,text,169
32.0,1801,679672,text,169
32.0,2709,35451,text,170
32.0,5332,21310,text,171
32.0,41244,81502,text,172
32.0,103115,185626,text,172
32.0,35786,222417,text,172
32.0,2644,1042338,text,172
32.0,3596,26582,text,173
32.0,19422,38629,text,174
32.0,10842,50478,text,174
32.0,12979,64461,text,174
32.0,2592,492360,text,174
32.0,1910,20606,text,175
32.0,1651,18739,text,176
32.0,6750,80087,text,177
32.0,1910,20458,text,178
32.0,5612,22756,text,179
32.0,3336,17525,text,180
32.0,1806,19509,text,181
32.0,5088,24168,text,182
32.0,9705,33574,text,183
32.0,2474,27642,text,184
32.0,12926,32607,text,185
32.0,2732,23452,text,186
32.0,2936,50957,text,187
32.0,3708,22463,text,188
32.0,3858,39832,text,189
32.0,4829,29216,text,190
32.0,2274,15211,text,191
32.0,2660,31668,text,192
32.0,29260,50122,text,193
32.0,12349,63482,text,193
32.0,7508,71992,text,193
32.0,1216,667318,text,193
32.0,3979,24950,text,194
32.0,3516,21559,text,195
32.0,2216,11216,text,196
32.0,3038,28952,text,197
32.0,2553,32056,text,198
32.0,17790,54810,text,199
32.0,25706,81520,text,199
32.0,23420,105954,text,199
32.0,5618,747506,text,199
32.0,3174,24106,text,200
32.0,1858,14719,text,201
32.0,4278,23250,text,202
32.0,3624,20715,text,203
32.0,2284,27117,text,204
32.0,3223,30754,text,205
32.0,5154,44251,text,206
32.0,13839,33773,text,207
32.0,22196,56985,text,207
32.0,11838,69827,text,207
32.0,2293,541724,text,207
32.0,2349,15781,text,208
32.0,12405,41510,text,209
39.0,1443,43958,text,209
32.0,7390,52352,text,209
32.0,1401,579381,text,209
32.0,37559,53478,text,210
32.0,20337,74825,text,210
32.0,13272,89103,text,210
32.0,1602,543736,text,210
32.0,1332,18714,text,211
32.0,2338,14642,text,212
32.0,1129,21041,text,213
32.0,2102,18949,text,214
32.0,1938,18335,text,215
32.0,2399,19188,text,216
32.0,1989,23246,text,217
32.0,4260,20447,text,218
32.0,1901,19278,text,219
32.0,1708,13981,text,220
32.0,15858,36710,text,221
32.0,19473,57190,text,221
32.0,13790,71988,text,221
32.0,1498,631176,text,221
32.0,4879,30841,text,222
32.0,1842,18296,text,223
32.0,1930,12974,text,224
32.0,3207,21690,text,225
32.0,3220,47109,text,226
32.0,4707,26650,text,227
32.0,2985,18994,text,228
32.0,46330,68636,text,229
32.0,34628,104276,text,229
32.0,19000,124284,text,229
32.0,1924,1652402,text,229
32.0,3898,17677,text,230
32.0,28651,44648,text,231
32.0,24299,69956,text,231
32.0,21077,92039,text,231
32.0,1497,630313,text,231
40.0,234670,262335,text,232
32.0,77738,341085,text,232
32.0,9638,351726,text,232
32.0,2726,1124399,text,232
32.0,2275,21036,text,233
32.0,2330,26604,text,234
32.0,2518,22440,text,235
32.0,14701,28246,text,236
32.0,14627,43876,text,236
32.0,10673,55551,text,236
32.0,4488,524948,text,236
32.0,2462,34868,text,237
32.0,33971,71359,text,238
32.0,26747,99110,text,238
32.0,17835,117951,text,238
32.0,3784,748097,text,238
32.0,86587,131394,text,239
32.0,38116,170532,text,239
32.0,23619,195275,text,239
32.0,3255,822744,text,239
32.0,12286,32154,text,240
32.0,9524,42682,text,240
32.0,5782,49472,text,240
32.0,1330,583074,text,240
32.0,15456,34405,text,241
37.0,1561,36971,text,241
32.0,7148,45123,text,241
32.0,1373,475281,text,241
32.0,3619,18899,text,242
32.0,7642,27548,text,242
32.0,6141,34702,text,242
32.0,1251,418225,text,242
32.0,8993,21912,text,243
32.0,5626,19320,text,244
32.0,21324,40245,text,245
32.0,20967,62219,text,245
32.0,12167,75386,text,245
32.0,1535,508950,text,245
32.0,4624,24011,text,246
32.0,2852,25802,text,247
32.0,56418,87065,text,248
32.0,48803,136886,text,248
32.0,27771,165667,text,248
32.0,2574,1005300,text,248
32.0,2336,19208,text,249
32.0,2332,15874,text,250
32.0,2454,20714,text,251
32.0,11402,24358,text,252
32.0,2701,22863,text,253
32.0,2856,22147,text,254
32.0,1370,12344,text,255
32.0,2547,21772,text,256
32.0,2420,83734,text,257
32.0,21038,40363,text,258
32.0,20715,62083,text,258
32.0,15085,78170,text,258
32.0,3116,713186,text,258
32.0,12019,58630,text,259
32.0,70147,129782,text,259
32.0,13786,144571,text,259
32.0,1292,659241,text,259
32.0,5684,43525,text,260
32.0,3505,22785,text,261
32.0,5958,25031,text,262
32.0,2256,26572,text,263
32.0,2173,15174,text,264
32.0,2250,29172,text,265
32.0,4260,34766,text,266
32.0,18156,45230,text,267
32.0,24204,70450,text,267
32.0,12654,84120,text,267
32.0,2664,942032,text,267
32.0,427043,469558,text,268
39.0,2003,472567,text,268
32.0,11737,485308,text,268
32.0,4042,1130547,text,268
32.0,7319,23886,text,269
32.0,3075,23452,text,270
32.0,1800,14564,text,271
32.0,6185,75729,text,272
32.0,22884,62223,text,273
32.0,16455,79680,text,273
32.0,11922,92606,text,273
32.0,2316,714141,text,273
32.0,2075,25277,text,274
32.0,18260,37794,text,275
32.0,20504,59318,text,275
32.0,8440,68772,text,275
32.0,1352,592970,text,275
32.0,2320,30671,text,276
32.0,8138,36506,text,277
32.0,1535,12898,text,278
32.0,21969,41273,text,279
32.0,60347,102623,text,279
32.0,10018,113647,text,279
32.0,1648,655246,text,279
32.0,1563,21729,text,280
32.0,1947,21621,text,281
32.0,3335,16235,text,282
32.0,3100,57377,text,283
32.0,2563,21793,text,284
32.0,12633,23556,text,285
32.0,17285,41844,text,285
32.0,6765,49612,text,285
32.0,1007,548106,text,285
32.0,20871,39352,text,286
32.0,18241,58604,text,286
32.0,14203,73812,text,286
32.0,1491,703342,text,286
32.0,2047,61998,text,287
32.0,2164,22036,text,288
32.0,4050,23740,text,289
32.0,3292,57862,text,290
32.0,30898,53838,text,291
32.0,28910,83780,text,291
32.0,8894,93688,text,291
32.0,3790,641590,text,291
17.0,2498,21109,text,292
17.0,909,23022,text,292
32.0,16863,40886,text,292
32.0,1171,506021,text,292
32.0,3312,33668,text,293
32.0,5635,18788,text,294
32.0,2151,20846,text,295
32.0,1471,28005,text,296
32.0,17873,36938,text,297
32.0,6360,44305,text,297
32.0,9689,54998,text,297
32.0,11297,737337,text,297
32.0,2630,14037,text,298
32.0,2268,21545,text,299
32.0,10787,39564,text,300
32.0,2266,14464,text,301
91.0,21075,52165,text,302
32.0,24178,77348,text,302
32.0,15588,93939,text,302
32.0,2950,828877,text,302
32.0,1351,20308,text,303
32.0,9495,26538,text,304
32.0,1751,16144,text,305
32.0,4042,31752,text,306
32.0,3558,27907,text,307
32.0,3658,37829,text,308
32.0,2402,86040,text,309
32.0,22728,53481,text,310
32.0,27635,82122,text,310
32.0,16773,99898,text,310
32.0,2247,985266,text,310
32.0,2878,20750,text,311
32.0,18522,44638,text,312
39.0,1606,47252,text,312
32.0,9418,57676,text,312
32.0,1640,592820,text,312
32.0,2339,20972,text,313
32.0,18064,32489,text,314
32.0,12428,45938,text,314
32.0,11046,57986,text,314
32.0,1884,490033,text,314
32.0,15553,28598,text,315
32.0,13320,42921,text,315
32.0,17499,61422,text,315
32.0,1249,575547,text,315
32.0,9439,41262,text,316
32.0,13317,36994,text,317
32.0,18069,56075,text,317
32.0,20084,77166,text,317
32.0,1518,593252,text,317
32.0,23392,46396,text,318
38.0,1894,49298,text,318
32.0,9332,59634,text,318
32.0,12174,533638,text,318
32.0,7040,47885,text,319
32.0,17933,39639,text,320
32.0,2354,15974,text,321
32.0,2836,18810,text,322
32.0,1462,15575,text,323
32.0,1762,21107,text,324
32.0,6968,24612,text,325
32.0,1742,19999,text,326
32.0,3041,28984,text,327
32.0,21610,48036,text,328
32.0,31148,80188,text,328
32.0,10661,91851,text,328
32.0,2254,1670339,text,328
32.0,4793,24679,text,329
32.0,5197,31296,text,330
32.0,2645,30428,text,331
32.0,2908,17314,text,332
32.0,1665,13239,text,333
32.0,25817,47879,text,334
32.0,27489,76385,text,334
32.0,9426,86817,text,334
32.0,1667,1005428,text,334
32.0,4534,19266,text,335
32.0,6028,26616,text,336
32.0,26443,44559,text,337
32.0,25394,70966,text,337
32.0,12285,84254,text,337
32.0,1617,921435,text,337
32.0,3145,18827,text,338
32.0,5740,37039,text,339
32.0,4496,22260,text,340
32.0,7316,39138,text,341
32.0,3329,23792,text,342
32.0,2122,21840,text,343
32.0,2038,23316,text,344
32.0,2502,23372,text,345
32.0,1474,18171,text,346
32.0,1744,15721,text,347
32.0,1692,8296,text,348
32.0,3918,13226,text,348
32.0,10852,25094,text,348
32.0,1598,511280,text,348
