action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
"[5254, 5855, 6403]","[u'left', u'left', u'up']",train_inspect_cost,,,"[0, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'2', u'12', u'6', u'7', u'3'], u'time': [509, 946, 1946, 2639, 3126, 4289, 4681]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 24, -8]","[5252, 113, 59]",17.0,"[None, None, None]",,136310,21.0,94491.0,mouselab-mdp,5
"[5897, 6450, 7016]","[u'left', u'left', u'up']",train_inspect_cost,,,"[0, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'1', u'12', u'2', u'11', u'7', u'13', u'3'], u'time': [819, 1297, 1753, 3030, 3473, 3961, 4761, 5110, 5565]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 8, 8]","[5896, 38, 52]",-1.0,"[None, None, None]",,145380,22.0,2877.0,mouselab-mdp,5
"[5225, 5799, 6296]","[u'up', u'up', u'right']",train_inspect_cost,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'1', u'2', u'12', u'6'], u'time': [515, 878, 3517, 4155, 4892]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-24, -8, 8]","[5224, 55, 1]",-29.0,"[None, None, None]",,153599,23.0,37857.0,mouselab-mdp,5
"[2205, 2745, 3740]","[u'up', u'up', u'right']",train_inspect_cost,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'12'], u'time': [762, 1300, 1733]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 40, 24]","[2204, 47, 491]",85.0,"[None, None, None]",,159280,24.0,95300.0,mouselab-mdp,5
"[18777, 19308, 19854]","[u'up', u'up', u'right']",train_final,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'12', u'6'], u'time': [16300, 17472, 18068]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 40, 8]","[18776, 31, 49]",37.0,"[None, None, None]",,184083,25.0,68146.0,mouselab-mdp,5
"[24324, 24912, 25535]","[u'up', u'up', u'left']",train_final,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'12', u'9', u'10', u'13', u'3', u'4', u'16', u'15', u'11', u'6', u'7', u'5', u'14', u'8'], u'time': [1090, 1606, 2473, 3188, 4237, 5713, 6985, 7629, 9174, 10021, 11562, 12364, 13410, 15043, 18679]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 8, -8]","[24323, 88, 111]",-23.0,"[None, None, None]",,212011,26.0,16107.0,mouselab-mdp,5
"[5374, 5964, 6532]","[u'left', u'left', u'down']",train_final,,,"[0, 3, 7, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'12', u'6', u'13', u'14', u'3', u'7'], u'time': [984, 1622, 2095, 2959, 3501, 4107, 4759]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 8, 8]","[5373, 89, 74]",33.0,"[None, None, None]",,220481,27.0,76996.0,mouselab-mdp,5
"[14594, 15128, 15675]","[u'right', u'right', u'up']",train_final,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'13', u'3', u'12', u'11', u'2', u'9', u'10', u'1', u'4', u'16', u'15', u'5'], u'time': [883, 2139, 3009, 3870, 4538, 5268, 5939, 6511, 7081, 8001, 9245, 9932, 11554]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, -8, 8]","[14594, 36, 50]",-21.0,"[None, None, None]",,238034,28.0,40901.0,mouselab-mdp,5
"[13373, 13982, 14830]","[u'right', u'right', u'up']",train_final,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'12', u'11', u'9', u'10', u'4', u'16', u'7', u'13', u'3', u'14', u'5', u'1', u'8', u'15'], u'time': [1028, 1596, 2016, 2567, 3422, 3933, 4585, 5146, 5800, 6149, 6557, 7236, 7913, 8340, 9749, 10074]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-24, -8, -8]","[13372, 109, 361]",-56.0,"[None, None, None]",,254906,29.0,44058.0,mouselab-mdp,5
"[4123, 4763, 5314]","[u'right', u'right', u'up']",test,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'1'], u'time': [2030, 2940, 3427]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 24]","[4122, 137, 52]",21.0,"[None, None, None]",,265130,30.0,31021.0,mouselab-mdp,5
