PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
none,0.0,0.01,False,0,24,4,False,after_each_move,1.25,none,145,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,1C.1
none,0.69,0.01,True,0,24,4,False,after_each_move,1.25,none,146,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",68.5,"[1, 8, 0, 3, 12, 10]",True,1C.1
none,0.56,0.01,True,0,24,4,False,after_each_move,1.25,none,147,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",56.0,"[0, 10, 7, 11, 6, 14]",True,1C.1
featureBased,0.0,0.01,False,1,24,4,True,after_each_move,1.25,full,148,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,1C.1
demonstration,2.36,0.01,True,2,24,4,False,after_each_move,1.25,full,149,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",236.25,"[6, 14, 15, 8, 2, 1]",True,1C.1
demonstration,2.41,0.01,True,2,24,4,False,after_each_move,1.25,full,150,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",241.25,"[6, 5, 10, 7, 4, 14]",True,1C.1
none,1.38,0.01,True,0,24,4,False,after_each_move,1.25,none,151,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",137.5,"[8, 5, 14, 1, 12, 15]",True,1C.1
featureBased,1.72,0.01,True,1,24,4,True,after_each_move,1.25,full,152,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",172.0,"[8, 10, 9, 2, 6, 13]",True,1C.1
none,0.26,0.01,True,0,24,4,False,after_each_move,1.25,none,153,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",26.25,"[7, 3, 6, 8, 15, 4]",True,1C.1
demonstration,1.85,0.01,True,2,24,4,False,after_each_move,1.25,full,154,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",185.0,"[9, 8, 14, 10, 11, 6]",True,1C.1
demonstration,1.61,0.01,True,2,24,4,False,after_each_move,1.25,full,155,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",161.0,"[14, 4, 1, 15, 3, 10]",True,1C.1
demonstration,2.43,0.01,True,2,24,4,False,after_each_move,1.25,full,156,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",243.25,"[9, 0, 2, 12, 7, 5]",True,1C.1
demonstration,1.35,0.01,True,2,24,4,False,after_each_move,1.25,full,157,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",135.0,"[6, 12, 5, 9, 14, 13]",True,1C.1
demonstration,2.16,0.01,True,2,24,4,False,after_each_move,1.25,full,158,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",216.0,"[7, 9, 4, 3, 14, 5]",True,1C.1
featureBased,0.8,0.01,True,1,24,4,True,after_each_move,1.25,full,159,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",80.0,"[12, 3, 2, 9, 7, 1]",True,1C.1
featureBased,0.0,0.01,False,1,24,4,True,after_each_move,1.25,full,160,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,1C.1
none,0.59,0.01,True,0,24,4,False,after_each_move,1.25,none,161,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",58.75,"[7, 10, 14, 5, 3, 11]",True,1C.1
