action_times,actions,button_pressed,correct,delays,information_used_correctly,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[30506, 31721, 51363]","[u'left', u'left', u'down']",,,[],[],"[u'0', 3, 7, 14]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'1', u'4', u'3', u'5', u'9', u'10', u'7', u'13', u'14', u'11', u'12', u'16', u'8', u'15'], u'time': [3681, 4177, 4781, 5231, 5671, 7796, 8550, 9146, 10406, 11542, 12668, 13557, 14053, 14715, 15052, 15447]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[30505, 710, 19135]",-1.0,,224558,2.0,,mouselab-mdp,,3
"[8405, 12657, 13569]","[u'right', u'right', u'down']",,,[],[],"[u'0', 1, 5, 10]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'10', u'9'], u'time': [10629, 11087, 11592]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8405, 3747, 405]",12.0,,274036,3.0,,mouselab-mdp,,3
"[16124, 17385, 18723]","[u'right', u'right', u'down']",,,[],[],"[u'0', 1, 5, 10]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'4', u'1', u'6', u'8', u'5', u'9', u'10'], u'time': [1246, 2797, 3337, 3820, 5453, 6713, 7545, 11190, 11763]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[16124, 754, 826]",-4.0,,322906,4.0,,mouselab-mdp,,3
"[14192, 14958, 16645]","[u'up', u'up', u'right']",,,[],[],"[u'0', 2, 6, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'12', u'4', u'8', u'16', u'15'], u'time': [1596, 2081, 2496, 3216, 4150, 4522, 5061, 5578]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14192, 235, 1173]",7.0,,371552,5.0,,mouselab-mdp,,3
"[10886, 11808, 13553]","[u'left', u'left', u'down']",,,[],[],"[u'0', 3, 7, 14]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'14', u'13', u'1', u'5', u'9', u'10'], u'time': [1889, 2431, 3060, 3667, 4545, 5119, 5669, 6232]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10886, 412, 1222]",7.0,,424440,6.0,,mouselab-mdp,,3
"[11876, 13023, 14553]","[u'left', u'left', u'up']",,,[],[],"[u'0', 3, 7, 13]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'4', u'1', u'6', u'11', u'12', u'9', u'5', u'10', u'16', u'8', u'15', u'14', u'7', u'13'], u'time': [1530, 1946, 2429, 2811, 3623, 3973, 4288, 4746, 5096, 5456, 6390, 6761, 7109, 7965, 8348, 8673]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11876, 635, 1015]",-1.0,,472332,7.0,,mouselab-mdp,,3
"[7765, 8665, 9971]","[u'down', u'down', u'left']",,,[],[],"[u'0', 4, 8, 15]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'4', u'16', u'8', u'15'], u'time': [1020, 1571, 2494, 2967, 3506]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7765, 388, 794]",10.0,,540541,8.0,,mouselab-mdp,,3
"[8137, 8902, 10871]","[u'right', u'right', u'up']",,,[],[],"[u'0', 1, 5, 9]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'1', u'2', u'4', u'5', u'9'], u'time': [1265, 1965, 2415, 2887, 4338, 4969]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8137, 257, 1460]",9.0,,644211,9.0,,mouselab-mdp,,3
"[21390, 22459, 23617]","[u'right', u'right', u'down']",,,[],[],"[u'0', 1, 5, 10]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'1', u'4', u'8', u'5', u'9', u'10', u'7', u'14', u'13', u'6', u'11'], u'time': [3229, 4184, 4756, 5300, 6524, 10045, 11326, 11832, 13126, 13598, 14150, 14835, 15648]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[21390, 552, 642]",-8.0,,693126,10.0,,mouselab-mdp,,3
"[31779, 32565, 33431]","[u'right', u'right', u'down']",,,[],[],"[u'0', 1, 5, 10]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'1', u'5', u'7', u'10', u'9', u'13', u'14', u'2', u'4', u'6', u'11', u'12', u'8', u'16', u'15'], u'time': [2331, 2790, 3904, 4489, 6065, 6638, 9000, 9439, 10307, 10881, 12275, 12871, 13669, 15030, 15324, 15639]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[31779, 276, 358]",-21.0,,745810,11.0,,mouselab-mdp,,3
