p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,96997,,96998,,,instructions,"[{""page_index"":0,""viewing_time"":43723},{""page_index"":1,""viewing_time"":33361},{""page_index"":2,""viewing_time"":19912}]",35
,,,,,,,,,,,,,,51748,,51748,,,instructions,"[{""page_index"":0,""viewing_time"":18577},{""page_index"":1,""viewing_time"":20930},{""page_index"":2,""viewing_time"":12240}]",36
,,,,,,,,,,,,,,26998,,27000,,,instructions,"[{""page_index"":0,""viewing_time"":14863},{""page_index"":1,""viewing_time"":9341},{""page_index"":2,""viewing_time"":2793}]",37
,,,,,,,,,,,,,,33034,,81379,,,instructions,"[{""page_index"":0,""viewing_time"":26093},{""page_index"":1,""viewing_time"":5452},{""page_index"":2,""viewing_time"":1489}]",37
,,,,,,,,,,,,,,33458,,131917,,,instructions,"[{""page_index"":0,""viewing_time"":11433},{""page_index"":1,""viewing_time"":15316},{""page_index"":2,""viewing_time"":6708}]",37
,,,,,,,,,,,,,,233790,,233794,,,instructions,"[{""page_index"":0,""viewing_time"":102801},{""page_index"":1,""viewing_time"":79231},{""page_index"":2,""viewing_time"":51755}]",38
,,,,,,,,,,,,,,101608,,397113,,,instructions,"[{""page_index"":0,""viewing_time"":86024},{""page_index"":1,""viewing_time"":9655},{""page_index"":2,""viewing_time"":5928}]",38
,,,,,,,,,,,,,,286348,,286349,,,instructions,"[{""page_index"":0,""viewing_time"":194322},{""page_index"":1,""viewing_time"":60881},{""page_index"":2,""viewing_time"":31143}]",39
,,,,,,,,,,,,,,79189,,79189,,,instructions,"[{""page_index"":0,""viewing_time"":26511},{""page_index"":1,""viewing_time"":35949},{""page_index"":2,""viewing_time"":16728}]",40
,,,,,,,,,,,,,,41639,,154902,,,instructions,"[{""page_index"":0,""viewing_time"":21256},{""page_index"":1,""viewing_time"":16114},{""page_index"":2,""viewing_time"":4269}]",40
,,,,,,,,,,,,,,78561,,78563,,,instructions,"[{""page_index"":0,""viewing_time"":22507},{""page_index"":1,""viewing_time"":31254},{""page_index"":2,""viewing_time"":24797}]",41
,,,,,,,,,,,,,,128167,,128167,,,instructions,"[{""page_index"":0,""viewing_time"":36479},{""page_index"":1,""viewing_time"":44799},{""page_index"":2,""viewing_time"":37776},{""page_index"":1,""viewing_time"":3496},{""page_index"":0,""viewing_time"":3817},{""page_index"":1,""viewing_time"":1031},{""page_index"":2,""viewing_time"":768}]",42
,,,,,,,,,,,,,,81465,,81467,,,instructions,"[{""page_index"":0,""viewing_time"":37453},{""page_index"":1,""viewing_time"":29600},{""page_index"":2,""viewing_time"":14409}]",43
,,,,,,,,,,,,,,36329,,137536,,,instructions,"[{""page_index"":0,""viewing_time"":21896},{""page_index"":1,""viewing_time"":10329},{""page_index"":2,""viewing_time"":4103}]",43
,,,,,,,,,,,,,,188289,,188293,,,instructions,"[{""page_index"":0,""viewing_time"":51423},{""page_index"":1,""viewing_time"":34004},{""page_index"":2,""viewing_time"":18414},{""page_index"":1,""viewing_time"":7082},{""page_index"":0,""viewing_time"":27564},{""page_index"":1,""viewing_time"":24639},{""page_index"":2,""viewing_time"":25161}]",44
,,,,,,,,,,,,,,112994,,112996,,,instructions,"[{""page_index"":0,""viewing_time"":42469},{""page_index"":1,""viewing_time"":35927},{""page_index"":2,""viewing_time"":34597}]",45
,,,,,,,,,,,,,,190924,,190927,,,instructions,"[{""page_index"":0,""viewing_time"":78451},{""page_index"":1,""viewing_time"":19132},{""page_index"":2,""viewing_time"":4456},{""page_index"":1,""viewing_time"":400},{""page_index"":0,""viewing_time"":42580},{""page_index"":1,""viewing_time"":11499},{""page_index"":2,""viewing_time"":34404}]",46
,,,,,,,,,,,,,,260276,,260277,,,instructions,"[{""page_index"":0,""viewing_time"":57501},{""page_index"":1,""viewing_time"":5680},{""page_index"":0,""viewing_time"":964},{""page_index"":1,""viewing_time"":73976},{""page_index"":2,""viewing_time"":32903},{""page_index"":1,""viewing_time"":636},{""page_index"":0,""viewing_time"":83884},{""page_index"":1,""viewing_time"":1637},{""page_index"":2,""viewing_time"":3095}]",47
,,,,,,,,,,,,,,57947,,57949,,,instructions,"[{""page_index"":0,""viewing_time"":20036},{""page_index"":1,""viewing_time"":16402},{""page_index"":2,""viewing_time"":21508}]",48
,,,,,,,,,,,,,,150835,,150837,,,instructions,"[{""page_index"":0,""viewing_time"":85120},{""page_index"":1,""viewing_time"":41878},{""page_index"":2,""viewing_time"":23835}]",49
,,,,,,,,,,,,,,112143,,112146,,,instructions,"[{""page_index"":0,""viewing_time"":38247},{""page_index"":1,""viewing_time"":47845},{""page_index"":2,""viewing_time"":26048}]",50
,,,,,,,,,,,,,,161370,,161373,,,instructions,"[{""page_index"":0,""viewing_time"":66225},{""page_index"":1,""viewing_time"":54619},{""page_index"":2,""viewing_time"":40523}]",51
,,,,,,,,,,,,,,221624,,221626,,,instructions,"[{""page_index"":0,""viewing_time"":68584},{""page_index"":1,""viewing_time"":112111},{""page_index"":2,""viewing_time"":40928}]",52
,,,,,,,,,,,,,,110796,,110798,,,instructions,"[{""page_index"":0,""viewing_time"":44102},{""page_index"":1,""viewing_time"":15647},{""page_index"":2,""viewing_time"":51045}]",53
,,,,,,,,,,,,,,20293,,155052,,,instructions,"[{""page_index"":0,""viewing_time"":12564},{""page_index"":1,""viewing_time"":3512},{""page_index"":2,""viewing_time"":4216}]",53
,,,,,,,,,,,,,,137971,,137974,,,instructions,"[{""page_index"":0,""viewing_time"":60890},{""page_index"":1,""viewing_time"":48432},{""page_index"":2,""viewing_time"":28646}]",54
,,,,,,,,,,,,,,194778,,194780,,,instructions,"[{""page_index"":0,""viewing_time"":81923},{""page_index"":1,""viewing_time"":77031},{""page_index"":2,""viewing_time"":35824}]",55
,,,,,,,,,,,,,,83568,,83569,,,instructions,"[{""page_index"":0,""viewing_time"":50392},{""page_index"":1,""viewing_time"":26719},{""page_index"":2,""viewing_time"":6457}]",56
,,,,,,,,,,,,,,61477,,179781,,,instructions,"[{""page_index"":0,""viewing_time"":25861},{""page_index"":1,""viewing_time"":21600},{""page_index"":2,""viewing_time"":14016}]",56
,,,,,,,,,,,,,,24686,,227676,,,instructions,"[{""page_index"":0,""viewing_time"":4518},{""page_index"":1,""viewing_time"":15064},{""page_index"":2,""viewing_time"":5104}]",56
,,,,,,,,,,,,,,126018,,126019,,,instructions,"[{""page_index"":0,""viewing_time"":39636},{""page_index"":1,""viewing_time"":48512},{""page_index"":2,""viewing_time"":37869}]",57
,,,,,,,,,,,,,,13776,,13777,,,instructions,"[{""page_index"":0,""viewing_time"":8646},{""page_index"":1,""viewing_time"":4133},{""page_index"":2,""viewing_time"":997}]",58
,,,,,,,,,,,,,,218256,,218258,,,instructions,"[{""page_index"":0,""viewing_time"":108159},{""page_index"":1,""viewing_time"":90294},{""page_index"":2,""viewing_time"":19800}]",59
,,,,,,,,,,,,,,82583,,82584,,,instructions,"[{""page_index"":0,""viewing_time"":38297},{""page_index"":1,""viewing_time"":27522},{""page_index"":2,""viewing_time"":16764}]",60
,,,,,,,,,,,,,,205072,,205074,,,instructions,"[{""page_index"":0,""viewing_time"":108738},{""page_index"":1,""viewing_time"":68303},{""page_index"":2,""viewing_time"":28030}]",61
,,,,,,,,,,,,,,98135,,375465,,,instructions,"[{""page_index"":0,""viewing_time"":23947},{""page_index"":1,""viewing_time"":44867},{""page_index"":2,""viewing_time"":14787},{""page_index"":1,""viewing_time"":5802},{""page_index"":2,""viewing_time"":8732}]",61
,,,,,,,,,,,,,,136731,,136732,,,instructions,"[{""page_index"":0,""viewing_time"":60418},{""page_index"":1,""viewing_time"":44961},{""page_index"":2,""viewing_time"":31352}]",62
,,,,,,,,,,,,,,151116,,151119,,,instructions,"[{""page_index"":0,""viewing_time"":63039},{""page_index"":1,""viewing_time"":59604},{""page_index"":2,""viewing_time"":28471}]",63
,,,,,,,,,,,,,,205377,,205378,,,instructions,"[{""page_index"":0,""viewing_time"":129857},{""page_index"":1,""viewing_time"":25784},{""page_index"":2,""viewing_time"":49734}]",64
,,,,,,,,,,,,,,82567,,324816,,,instructions,"[{""page_index"":0,""viewing_time"":20341},{""page_index"":1,""viewing_time"":17112},{""page_index"":2,""viewing_time"":45113}]",64
,,,,,,,,,,,,,,93759,,468742,,,instructions,"[{""page_index"":0,""viewing_time"":36928},{""page_index"":1,""viewing_time"":38713},{""page_index"":2,""viewing_time"":18117}]",64
,,,,,,,,,,,,,,226200,,226204,,,instructions,"[{""page_index"":0,""viewing_time"":140523},{""page_index"":1,""viewing_time"":46571},{""page_index"":2,""viewing_time"":39104}]",65
,,,,,,,,,,,,,,138666,,138666,,,instructions,"[{""page_index"":0,""viewing_time"":61434},{""page_index"":1,""viewing_time"":57488},{""page_index"":2,""viewing_time"":19743}]",66
,,,,,,,,,,,,,,68441,,68441,,,instructions,"[{""page_index"":0,""viewing_time"":27886},{""page_index"":1,""viewing_time"":25286},{""page_index"":2,""viewing_time"":15268}]",67
,,,,,,,,,,,,,,143813,,143814,,,instructions,"[{""page_index"":0,""viewing_time"":56696},{""page_index"":1,""viewing_time"":62714},{""page_index"":2,""viewing_time"":24402}]",68
,,,,,,,,,,,,,,54235,,229956,,,instructions,"[{""page_index"":0,""viewing_time"":18460},{""page_index"":1,""viewing_time"":17783},{""page_index"":2,""viewing_time"":17992}]",68
,,,,,,,,,,,,,,44013,,44016,,,instructions,"[{""page_index"":0,""viewing_time"":5177},{""page_index"":1,""viewing_time"":26718},{""page_index"":2,""viewing_time"":12116}]",69
,,,,,,,,,,,,,,131721,,220256,,,instructions,"[{""page_index"":0,""viewing_time"":43723},{""page_index"":1,""viewing_time"":38143},{""page_index"":0,""viewing_time"":7239},{""page_index"":1,""viewing_time"":8576},{""page_index"":2,""viewing_time"":34038}]",69
,,,,,,,,,,,,,,62262,,62263,,,instructions,"[{""page_index"":0,""viewing_time"":27141},{""page_index"":1,""viewing_time"":21143},{""page_index"":2,""viewing_time"":13977}]",70
,,,,,,,,,,,,,,21588,,114881,,,instructions,"[{""page_index"":0,""viewing_time"":14240},{""page_index"":1,""viewing_time"":5321},{""page_index"":2,""viewing_time"":2027}]",70
,,,,,,,,,,,,,,141861,,141863,,,instructions,"[{""page_index"":0,""viewing_time"":51835},{""page_index"":1,""viewing_time"":60130},{""page_index"":2,""viewing_time"":29896}]",71
,,,,,,,,,,,,,,90772,,90773,,,instructions,"[{""page_index"":0,""viewing_time"":45976},{""page_index"":1,""viewing_time"":25111},{""page_index"":2,""viewing_time"":19684}]",72
,,,,,,,,,,,,,,33180,,33181,,,instructions,"[{""page_index"":0,""viewing_time"":22050},{""page_index"":1,""viewing_time"":6407},{""page_index"":2,""viewing_time"":4722}]",73
