key_press,rt,time_elapsed,trial_type,pid
32.0,860,274308,text,22
32.0,920,351817,text,22
32.0,1430,62056,text,23
32.0,869,105320,text,23
32.0,927,138816,text,23
32.0,791,202880,text,23
32.0,1351,253607,text,23
32.0,1305,106210,text,24
32.0,975,178255,text,24
32.0,781,226197,text,24
32.0,954,342955,text,24
32.0,875,433825,text,24
32.0,1120,107481,text,25
32.0,1019,181847,text,25
32.0,963,228335,text,25
32.0,870,254163,text,25
32.0,928,287009,text,25
32.0,1757,109839,text,26
32.0,1497,231854,text,26
18.0,871,288895,text,26
32.0,1097,368582,text,26
32.0,1049,441478,text,26
32.0,1592,105157,text,27
32.0,1131,160951,text,27
32.0,1174,210181,text,27
32.0,1759,309228,text,27
32.0,1362,451500,text,27
32.0,741,61182,text,28
32.0,1077,129640,text,28
32.0,503,172877,text,28
32.0,827,270475,text,28
32.0,638,363539,text,28
32.0,791,44094,text,29
32.0,1169,89023,text,29
32.0,1129,122034,text,29
32.0,769,168650,text,29
32.0,573,226862,text,29
32.0,1293,48528,text,30
32.0,711,106018,text,30
32.0,719,138921,text,30
32.0,735,214769,text,30
32.0,1191,277024,text,30
32.0,2241,73024,text,31
32.0,1648,126095,text,31
32.0,1138,159270,text,31
32.0,929,211044,text,31
32.0,1098,278914,text,31
32.0,1770,64915,text,32
32.0,910,113591,text,32
32.0,879,151449,text,32
32.0,1124,193206,text,32
32.0,787,229159,text,32
32.0,747,55976,text,33
32.0,721,98932,text,33
38.0,282,131408,text,33
32.0,564,222655,text,33
32.0,595,299187,text,33
32.0,1286,44859,text,34
32.0,1270,83099,text,34
38.0,23,108298,text,34
32.0,1135,182506,text,34
32.0,1070,230490,text,34
32.0,1110,85076,text,35
32.0,748,125322,text,35
32.0,904,161013,text,35
32.0,576,228641,text,35
32.0,744,288915,text,35
32.0,801,69059,text,36
32.0,827,112600,text,36
32.0,3074,154612,text,36
32.0,1158,245382,text,36
32.0,989,293149,text,36
32.0,1135,92343,text,37
32.0,1252,170904,text,37
32.0,1026,220234,text,37
32.0,900,274131,text,37
32.0,904,357834,text,37
32.0,1066,170310,text,38
32.0,981,233395,text,38
32.0,902,279511,text,38
32.0,694,393945,text,38
32.0,786,454691,text,38
32.0,1393,95911,text,39
32.0,785,154185,text,39
32.0,625,190679,text,39
32.0,974,288387,text,39
32.0,638,385159,text,39
32.0,2022,110130,text,40
