bonus,bonusRate,branching,completed,condition,delay_hours,delay_window,demo,feedback,inspectCost,pid,principle_only,stage,startTime,variance,with_feedback,version
0.55,0.002,312,TRUE,0,20,12,FALSE,FALSE,1,62,TRUE,1,Tue Apr 17 2018 14:24:49 GMT-0700 (Pacific Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,36,FALSE,1,Tue Apr 17 2018 14:25:06 GMT-0700 (US Mountain Standard Time),2_4_24,TRUE,I0.9
0.55,0.002,312,TRUE,1,20,12,TRUE,FALSE,1,146,FALSE,1,Tue Apr 17 2018 14:40:23 GMT-0700 (Pacific Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,17,FALSE,1,Tue Apr 17 2018 15:00:58 GMT-0600 (Mountain Daylight Time),2_4_24,TRUE,I0.9
0.55,0.002,312,TRUE,1,20,12,TRUE,FALSE,1,74,FALSE,1,Tue Apr 17 2018 15:04:21 GMT-0700 (Pacific Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,1,20,12,TRUE,FALSE,1,65,FALSE,1,Tue Apr 17 2018 15:08:33 GMT-0700 (Pacific Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,1,20,12,TRUE,FALSE,1,81,FALSE,1,Tue Apr 17 2018 15:10:13 GMT-0600 (Mountain Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,0,20,12,FALSE,FALSE,1,106,TRUE,1,Tue Apr 17 2018 15:11:56 GMT-0700 (PDT),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,132,FALSE,1,Tue Apr 17 2018 15:33:50 GMT-0600 (Mountain Daylight Time),2_4_24,TRUE,I0.9
0.55,0.002,312,TRUE,0,20,12,FALSE,FALSE,1,1,TRUE,1,Tue Apr 17 2018 15:42:10 GMT-0700 (Pacific Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,30,FALSE,1,Tue Apr 17 2018 15:50:48 GMT-0500 (Central Daylight Time),2_4_24,TRUE,I0.9
0.55,0.002,312,TRUE,0,20,12,FALSE,FALSE,1,88,TRUE,1,Tue Apr 17 2018 15:51:04 GMT-0500 (Central Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,71,FALSE,1,Tue Apr 17 2018 15:51:23 GMT-0500 (Central Daylight Time),2_4_24,TRUE,I0.9
0.55,0.002,312,TRUE,1,20,12,TRUE,FALSE,1,98,FALSE,1,Tue Apr 17 2018 15:53:45 GMT-0700 (Pacific Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,0,20,12,FALSE,FALSE,1,59,TRUE,1,Tue Apr 17 2018 15:53:58 GMT-0500 (Central Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,25,FALSE,1,Tue Apr 17 2018 15:54:07 GMT-0500 (Central Daylight Time),2_4_24,TRUE,I0.9
0.55,0.002,312,TRUE,1,20,12,TRUE,FALSE,1,112,FALSE,1,Tue Apr 17 2018 15:54:09 GMT-0500 (Central Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,0,20,12,FALSE,FALSE,1,154,TRUE,1,Tue Apr 17 2018 15:54:51 GMT-0500 (Central Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,0,20,12,FALSE,FALSE,1,135,TRUE,1,Tue Apr 17 2018 15:59:54 GMT-0500 (CDT),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,1,20,12,TRUE,FALSE,1,83,FALSE,1,Tue Apr 17 2018 16:04:05 GMT-0700 (PDT),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,3,FALSE,1,Tue Apr 17 2018 16:04:52 GMT-0500 (Central Daylight Time),2_4_24,TRUE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,26,FALSE,1,Tue Apr 17 2018 16:05:28 GMT-0500 (Central Daylight Time),2_4_24,TRUE,I0.9
0.55,0.002,312,TRUE,0,20,12,FALSE,FALSE,1,56,TRUE,1,Tue Apr 17 2018 16:06:50 GMT-0600 (Mountain Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,0,20,12,FALSE,FALSE,1,77,TRUE,1,Tue Apr 17 2018 16:20:37 GMT-0500 (Central Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,139,FALSE,1,Tue Apr 17 2018 16:24:47 GMT-0500 (Central Daylight Time),2_4_24,TRUE,I0.9
0.55,0.002,312,TRUE,0,20,12,FALSE,FALSE,1,70,TRUE,1,Tue Apr 17 2018 16:29:58 GMT-0700 (Pacific Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,99,FALSE,1,Tue Apr 17 2018 16:40:13 GMT-0500 (Central Daylight Time),2_4_24,TRUE,I0.9
