key_press,rt,time_elapsed,trial_type,pid
32.0,40746,303998,text,65
32.0,34989,339993,text,65
32.0,8838,349834,text,65
32.0,9205,35628,text,66
32.0,7344,43986,text,66
32.0,10782,105808,text,66
32.0,18615,125450,text,66
32.0,17764,144234,text,66
32.0,17970,163218,text,66
32.0,9052,173288,text,66
32.0,8329,12135,text,66
32.0,6261,19407,text,66
32.0,4798,25214,text,66
32.0,25277,76977,text,67
32.0,8183,86165,text,67
32.0,45287,309458,text,67
32.0,80585,391051,text,67
32.0,99103,491163,text,67
32.0,277072,769243,text,67
32.0,11366,781615,text,67
32.0,20935,26693,text,68
32.0,22821,50535,text,68
32.0,53541,105090,text,68
32.0,16959,66508,text,68
32.0,9335,76863,text,68
32.0,8922,148732,text,68
38.0,24229,173979,text,68
32.0,76930,251929,text,68
32.0,38260,291204,text,68
32.0,15580,307804,text,68
32.0,16274,25716,text,69
32.0,25229,51949,text,69
32.0,10087,63037,text,69
32.0,41617,68460,text,69
32.0,16422,85883,text,69
32.0,11763,166118,text,69
32.0,29060,196180,text,69
39.0,34941,232124,text,69
39.0,10739,243866,text,69
32.0,3590,248457,text,69
32.0,14938,20957,text,70
32.0,17905,39866,text,70
32.0,17584,58453,text,70
32.0,11615,77043,text,70
32.0,5707,83765,text,70
32.0,22788,203509,text,70
32.0,2416,206931,text,70
32.0,14115,22256,text,71
32.0,14208,37469,text,71
32.0,9160,47643,text,71
32.0,21947,75179,text,71
32.0,24984,101168,text,71
32.0,15001,227032,text,71
37.0,31807,259846,text,71
32.0,29164,290015,text,71
32.0,26100,317119,text,71
32.0,15353,333486,text,71
32.0,63879,122935,text,72
32.0,18639,142579,text,72
32.0,35473,339456,text,72
32.0,13823,354283,text,72
32.0,58252,62343,text,72
39.0,2582,65933,text,72
32.0,23110,90046,text,72
32.0,2770,6780,text,72
32.0,2614,10418,text,72
32.0,1272,12712,text,72
39.0,24906,31554,text,73
32.0,25122,57688,text,73
32.0,15738,74448,text,73
32.0,23802,72192,text,73
32.0,13050,86276,text,73
32.0,17750,166808,text,73
32.0,4584,172398,text,73
32.0,55366,96366,text,74
32.0,11409,108778,text,74
32.0,19858,152902,text,74
32.0,41214,195119,text,74
32.0,14111,210230,text,74
32.0,7198,218431,text,74
32.0,1839,221270,text,74
32.0,8556,11215,text,75
32.0,7411,19629,text,75
32.0,7259,27889,text,75
32.0,1714,5574,text,75
32.0,663,7237,text,75
32.0,1331,37810,text,75
32.0,2763,41575,text,75
32.0,3321,45898,text,75
32.0,3255,50156,text,75
32.0,16075,67234,text,75
32.0,12526,53479,text,76
32.0,4006,58486,text,76
32.0,5002,105747,text,76
32.0,15858,122610,text,76
32.0,9342,132954,text,76
32.0,14909,148865,text,76
32.0,3311,153177,text,76
32.0,8800,14121,text,76
32.0,10291,25417,text,76
32.0,7580,33999,text,76
32.0,48599,108189,text,77
32.0,15398,124606,text,77
32.0,13144,180770,text,77
32.0,2851,184625,text,77
32.0,28084,31906,text,77
32.0,26424,59337,text,77
32.0,9986,70329,text,77
32.0,30128,78344,text,78
32.0,9050,88418,text,78
32.0,22130,169870,text,78
32.0,32008,202888,text,78
32.0,15852,219760,text,78
32.0,91154,311922,text,78
32.0,9888,322818,text,78
32.0,19033,48230,text,79
32.0,14296,63541,text,79
32.0,14222,133187,text,79
32.0,4760,138956,text,79
32.0,26550,31105,text,79
32.0,25943,58054,text,79
32.0,9278,68337,text,79
32.0,28095,104995,text,80
32.0,1288673,1394674,text,80
32.0,3676,1483477,text,80
32.0,2428,1486907,text,80
32.0,83951,94069,text,80
32.0,128038,223122,text,80
32.0,34059,258186,text,80
32.0,29282,64460,text,81
32.0,12746,78218,text,81
32.0,4177,239635,text,81
32.0,69316,309956,text,81
32.0,35094,346055,text,81
32.0,60510,407570,text,81
32.0,30464,439041,text,81
32.0,22270,30123,text,81
32.0,15796,46921,text,81
32.0,5861,53785,text,81
32.0,19322,24636,text,82
32.0,29455,55098,text,82
32.0,11544,67650,text,82
32.0,26288,56890,text,82
32.0,11367,69270,text,82
32.0,7232,148185,text,82
32.0,3959,153149,text,82
32.0,19275,86445,text,83
32.0,50508,137959,text,83
32.0,10717,182347,text,83
32.0,33385,216739,text,83
32.0,27641,245384,text,83
32.0,16550,262938,text,83
32.0,17708,281652,text,83
32.0,10013,16352,text,83
32.0,17701,35056,text,83
32.0,13687,49752,text,83
32.0,17029,24209,text,84
32.0,7997,33211,text,84
32.0,13555,47768,text,84
32.0,20513,84216,text,84
32.0,11504,96724,text,84
17.0,7096,158056,text,84
32.0,37337,196397,text,84
39.0,42327,239727,text,84
39.0,37124,277854,text,84
39.0,19034,297892,text,84
32.0,5236,31087,text,85
32.0,7475,39567,text,85
32.0,10878,76765,text,85
32.0,6727,84495,text,85
32.0,7356,92854,text,85
32.0,8730,102588,text,85
32.0,2444,106038,text,85
32.0,8917,11860,text,85
32.0,4895,17760,text,85
32.0,7271,26034,text,85
32.0,56175,68790,text,86
32.0,24045,93853,text,86
32.0,7129,101997,text,86
32.0,22305,64489,text,86
32.0,6201,71706,text,86
32.0,6970,110410,text,86
32.0,5541,116955,text,86
32.0,20897,27948,text,87
32.0,24772,53722,text,87
32.0,6494,61226,text,87
32.0,2153,5366,text,87
17.0,2517,8885,text,87
32.0,17639,62291,text,87
32.0,3449,66743,text,87
32.0,24188,61525,text,88
32.0,9978,72515,text,88
17.0,8683,144684,text,88
32.0,8803,154490,text,88
32.0,14831,64235,text,89
32.0,6946,72184,text,89
32.0,8356,117088,text,89
32.0,3532,121623,text,89
32.0,21005,30491,text,89
32.0,19386,50885,text,89
32.0,8973,60861,text,89
32.0,30365,36756,text,90
32.0,29109,66869,text,90
32.0,8209,76079,text,90
32.0,4400,7413,text,90
32.0,6560,14974,text,90
32.0,2909,44558,text,90
32.0,778970,824529,text,90
32.0,11764,63268,text,91
32.0,7759,72034,text,91
32.0,10699,162006,text,91
32.0,38831,201846,text,91
32.0,20573,223424,text,91
32.0,31609,256039,text,91
32.0,10369,267410,text,91
32.0,9082,16153,text,91
32.0,12754,29916,text,91
32.0,9996,40920,text,91
32.0,14108,48276,text,92
32.0,19144,68424,text,92
32.0,10412,124055,text,92
32.0,53577,178637,text,92
32.0,29786,209427,text,92
32.0,32128,242562,text,92
32.0,19894,263458,text,92
32.0,14618,21411,text,92
32.0,11214,33634,text,92
32.0,4945,39589,text,92
32.0,19288,70963,text,93
32.0,10422,82387,text,93
32.0,13140,173884,text,93
32.0,71980,246868,text,93
32.0,44392,292264,text,93
32.0,26618,319890,text,93
