action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
"[2011, 2705]","[u'down', u'right']",train_basic,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, 7]","[2008, 196]",0.0,"[None, None]",,67901,7.0,87976537.0,mouselab-mdp,1
"[3392, 4302]","[u'up', u'right']",train_basic,,,"[u'0', u'1', u'2']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 2]","[3389, 410]",4.0,"[None, None]",,74756,8.0,97465198.0,mouselab-mdp,1
"[1596, 2224]","[u'down', u'right']",train_basic,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, 7]","[1594, 123]",5.0,"[None, None]",,79404,9.0,19265559.0,mouselab-mdp,1
"[11566, 12411]","[u'up', u'right']",train_hidden,,,"[u'0', u'1', u'2']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, -2]","[11563, 352]",5.0,"[None, None]",,96681,10.0,56130015.0,mouselab-mdp,1
"[2657, 3342]","[u'up', u'left']",train_hidden,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, -7]","[2656, 181]",-9.0,"[None, None]",,102386,11.0,16672852.0,mouselab-mdp,1
"[934, 1852]","[u'down', u'right']",train_hidden,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, -2]","[932, 420]",5.0,"[None, None]",,106469,12.0,52122735.0,mouselab-mdp,1
"[1533, 2164]","[u'up', u'left']",train_hidden,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, 7]","[1530, 131]",5.0,"[None, None]",,110929,13.0,19502999.0,mouselab-mdp,1
"[2127, 2891]","[u'up', u'right']",train_hidden,,,"[u'0', u'1', u'2']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, -7]","[2125, 275]",-9.0,"[None, None]",,116131,14.0,43579519.0,mouselab-mdp,1
"[22046, 22763]","[u'down', u'right']",train_inspector,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'2', u'3', u'6', u'4', u'5'], u'time': [12217, 12727, 13591, 14599, 14951, 16111]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, 7]","[22045, 218]",5.0,"[None, None]",,143253,15.0,82703595.0,mouselab-mdp,1
"[9141, 10224]","[u'up', u'left']",train_inspector,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'1', u'2', u'5', u'6', u'4'], u'time': [2650, 3113, 4433, 5128, 5873, 6273]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[12, -2]","[9140, 578]",10.0,"[None, None]",,155470,16.0,89362368.0,mouselab-mdp,1
