action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,499149,,,499149,,,instructions,"[{""page_index"":0,""viewing_time"":130179},{""page_index"":1,""viewing_time"":247703},{""page_index"":2,""viewing_time"":71226},{""page_index"":3,""viewing_time"":50040}]",32
,,,,,,,,,240206,,,845598,,,instructions,"[{""page_index"":0,""viewing_time"":68719},{""page_index"":1,""viewing_time"":51112},{""page_index"":2,""viewing_time"":71501},{""page_index"":3,""viewing_time"":48874}]",32
,,,,,,,,,43463,,,946622,,,instructions,"[{""page_index"":0,""viewing_time"":3701},{""page_index"":1,""viewing_time"":691},{""page_index"":0,""viewing_time"":4376},{""page_index"":1,""viewing_time"":2338},{""page_index"":0,""viewing_time"":2942},{""page_index"":1,""viewing_time"":1286},{""page_index"":2,""viewing_time"":3990},{""page_index"":3,""viewing_time"":24139}]",32
,,,,,,,,,203489,,,203491,,,instructions,"[{""page_index"":0,""viewing_time"":59145},{""page_index"":1,""viewing_time"":61576},{""page_index"":2,""viewing_time"":57104},{""page_index"":3,""viewing_time"":25663}]",33
,,,,,,,,,173965,,,173967,,,instructions,"[{""page_index"":0,""viewing_time"":48524},{""page_index"":1,""viewing_time"":70734},{""page_index"":2,""viewing_time"":30192},{""page_index"":3,""viewing_time"":24511}]",34
,,,,,,,,,101418,,,329146,,,instructions,"[{""page_index"":0,""viewing_time"":46193},{""page_index"":1,""viewing_time"":25624},{""page_index"":2,""viewing_time"":19112},{""page_index"":3,""viewing_time"":10487}]",34
,,,,,,,,,53467,,,399217,,,instructions,"[{""page_index"":0,""viewing_time"":5985},{""page_index"":1,""viewing_time"":6904},{""page_index"":2,""viewing_time"":16864},{""page_index"":3,""viewing_time"":23712}]",34
,,,,,,,,,28656,,,479157,,,instructions,"[{""page_index"":0,""viewing_time"":5864},{""page_index"":1,""viewing_time"":5192},{""page_index"":2,""viewing_time"":6304},{""page_index"":3,""viewing_time"":11295}]",34
,,,,,,,,,9579,,,509141,,,instructions,"[{""page_index"":0,""viewing_time"":4538},{""page_index"":1,""viewing_time"":2024},{""page_index"":2,""viewing_time"":1319},{""page_index"":3,""viewing_time"":1697}]",34
,,,,,,,,,51291,,,51303,,,instructions,"[{""page_index"":0,""viewing_time"":4011},{""page_index"":1,""viewing_time"":19218},{""page_index"":2,""viewing_time"":13908},{""page_index"":3,""viewing_time"":14154}]",35
,,,,,,,,,179605,,,280990,,,instructions,"[{""page_index"":0,""viewing_time"":23902},{""page_index"":1,""viewing_time"":23723},{""page_index"":2,""viewing_time"":45953},{""page_index"":1,""viewing_time"":28445},{""page_index"":0,""viewing_time"":14657},{""page_index"":1,""viewing_time"":2583},{""page_index"":2,""viewing_time"":2160},{""page_index"":3,""viewing_time"":38182}]",35
,,,,,,,,,63791,,,603228,,,instructions,"[{""page_index"":0,""viewing_time"":19117},{""page_index"":1,""viewing_time"":25789},{""page_index"":2,""viewing_time"":2112},{""page_index"":1,""viewing_time"":3067},{""page_index"":2,""viewing_time"":10757},{""page_index"":3,""viewing_time"":2949}]",35
,,,,,,,,,25919,,,650705,,,instructions,"[{""page_index"":0,""viewing_time"":10355},{""page_index"":1,""viewing_time"":4133},{""page_index"":0,""viewing_time"":3543},{""page_index"":1,""viewing_time"":2626},{""page_index"":2,""viewing_time"":3293},{""page_index"":3,""viewing_time"":1969}]",35
,,,,,,,,,18430,,,753752,,,instructions,"[{""page_index"":0,""viewing_time"":4248},{""page_index"":1,""viewing_time"":1351},{""page_index"":2,""viewing_time"":6586},{""page_index"":3,""viewing_time"":6245}]",35
,,,,,,,,,5731,,,771588,,,instructions,"[{""page_index"":0,""viewing_time"":2216},{""page_index"":1,""viewing_time"":1003},{""page_index"":2,""viewing_time"":1738},{""page_index"":3,""viewing_time"":774}]",35
,,,,,,,,,361131,,,361132,,,instructions,"[{""page_index"":0,""viewing_time"":84652},{""page_index"":1,""viewing_time"":79845},{""page_index"":2,""viewing_time"":113431},{""page_index"":3,""viewing_time"":26626},{""page_index"":2,""viewing_time"":6140},{""page_index"":1,""viewing_time"":3578},{""page_index"":0,""viewing_time"":20038},{""page_index"":1,""viewing_time"":8678},{""page_index"":2,""viewing_time"":7668},{""page_index"":3,""viewing_time"":10475}]",36
,,,,,,,,,138020,,,138020,,,instructions,"[{""page_index"":0,""viewing_time"":29483},{""page_index"":1,""viewing_time"":6421},{""page_index"":0,""viewing_time"":6915},{""page_index"":1,""viewing_time"":2453},{""page_index"":0,""viewing_time"":3099},{""page_index"":1,""viewing_time"":8803},{""page_index"":0,""viewing_time"":17085},{""page_index"":1,""viewing_time"":2232},{""page_index"":2,""viewing_time"":24592},{""page_index"":3,""viewing_time"":36936}]",37
,,,,,,,,,182032,,,182034,,,instructions,"[{""page_index"":0,""viewing_time"":28911},{""page_index"":1,""viewing_time"":32799},{""page_index"":2,""viewing_time"":30856},{""page_index"":3,""viewing_time"":89464}]",38
,,,,,,,,,43596,,,260770,,,instructions,"[{""page_index"":0,""viewing_time"":7807},{""page_index"":1,""viewing_time"":9257},{""page_index"":2,""viewing_time"":16178},{""page_index"":3,""viewing_time"":10353}]",38
,,,,,,,,,82474,,,372305,,,instructions,"[{""page_index"":0,""viewing_time"":17954},{""page_index"":1,""viewing_time"":33653},{""page_index"":2,""viewing_time"":28875},{""page_index"":3,""viewing_time"":1992}]",38
,,,,,,,,,5696,,,401733,,,instructions,"[{""page_index"":0,""viewing_time"":1606},{""page_index"":1,""viewing_time"":1249},{""page_index"":2,""viewing_time"":616},{""page_index"":3,""viewing_time"":2224}]",38
,,,,,,,,,132253,,,132254,,,instructions,"[{""page_index"":0,""viewing_time"":52305},{""page_index"":1,""viewing_time"":16828},{""page_index"":2,""viewing_time"":36099},{""page_index"":3,""viewing_time"":27020}]",39
,,,,,,,,,193820,,,193822,,,instructions,"[{""page_index"":0,""viewing_time"":48656},{""page_index"":1,""viewing_time"":63801},{""page_index"":2,""viewing_time"":40306},{""page_index"":3,""viewing_time"":41056}]",40
