action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[7745, 10766, 11732]","[u'right', u'right', u'down']",,,"[-1, -1, -1]","[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'2', u'5', u'12', u'13', u'7', u'6', u'10', u'11'], u'time': [649, 1031, 1805, 2328, 3789, 3802, 4614, 5709, 6495, 6973]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7745, 4, 24]",46.0,,636668,9.0,6.0,mouselab-mdp,,1
"[8688, 12407, 13525]","[u'right', u'right', u'up']",,,"[-1, -1, -1]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'5', u'2', u'8', u'14', u'6', u'10', u'11', u'7', u'9'], u'time': [728, 1323, 1807, 2223, 2943, 3304, 4583, 4942, 5637, 6928, 7553]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8688, 8, 4]",26.0,,697496,10.0,5.0,mouselab-mdp,,1
"[12255, 15046, 15883]","[u'left', u'left', u'up']",,,"[-1, -1, -1]","[u'1', 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'5', u'2', u'16', u'17', u'9', u'7', u'12', u'13', u'10', u'6', u'11', u'15', u'8', u'14'], u'time': [2126, 2498, 2958, 3370, 4324, 4745, 5018, 6572, 7598, 7922, 8419, 8704, 9039, 9841, 10124, 10438]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12255, 5, 332]",38.0,,751401,11.0,0.0,mouselab-mdp,,1
"[29451, 32351, 33281]","[u'left', u'left', u'down']",,,"[-1, -1, -1]","[u'1', 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'2', u'5', u'8', u'14', u'15', u'12', u'7', u'13'], u'time': [24724, 25101, 25476, 25925, 26572, 26941, 27298, 28245, 28508, 28755]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[29450, 28, 4]",31.0,,809105,12.0,9.0,mouselab-mdp,,1
"[4916, 16241, 18555]","[u'right', u'right', u'up']",,,"[10, -1, -1]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4915, 337, 1545]",22.0,,261021,1.0,10.0,mouselab-mdp,,2
"[2919, 14487, 15260]","[u'down', u'down', u'left']",,,"[9, -1, -1]","[u'1', 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2919, 1584, 3]",24.0,,323652,2.0,9.0,mouselab-mdp,,2
"[2305, 22141, 22916]","[u'left', u'left', u'up']",,,"[17, -1, 13]","[u'1', 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2305, 1847, 9]",-3.0,,404828,3.0,6.0,mouselab-mdp,,2
"[349, 14785, 15561]","[u'up', u'up', u'left']",,,"[10, -1, 7]","[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[349, 3450, 2]",27.0,,497203,4.0,4.0,mouselab-mdp,,2
"[407, 10108, 11963]","[u'right', u'right', u'down']",,,"[5, -1, -1]","[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[407, 3708, 1071]",21.0,,553771,5.0,7.0,mouselab-mdp,,2
"[4497, 7897, 10244]","[u'right', u'right', u'up']",,,"[-1, -1, 11]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4497, 2385, 1573]",-20.0,,705553,6.0,3.0,mouselab-mdp,,2
