action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[15004, 20741, 21916]","[u'right', u'right', u'down']",,,"[0, 0, 0]","[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'13', u'11', u'10', u'17', u'16', u'15', u'14', u'4', u'8', u'5', u'2', u'6', u'3', u'7'], u'time': [1141, 1853, 3484, 4108, 5021, 5764, 6509, 7101, 7694, 8468, 9493, 10748, 11485, 12780, 13268]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15004, 7, 561]",37.85,,660528,9.0,6.0,mouselab-mdp,,2
"[15319, 23782, 25127]","[u'right', u'right', u'up']",,,"[2, 0, 0]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'15', u'12', u'13', u'10', u'11', u'16', u'17', u'7', u'3', u'6', u'2', u'5'], u'time': [1000, 1632, 2487, 3080, 3704, 4304, 5200, 5888, 6512, 7184, 8151, 9016, 10343]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15319, 807, 636]",33.87,,717488,10.0,2.0,mouselab-mdp,,2
"[18993, 24387, 25280]","[u'up', u'up', u'left']",,,"[0, 0, 0]","[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'13', u'10', u'11', u'16', u'17', u'15', u'14', u'4', u'5', u'8', u'6', u'2', u'9', u'3', u'7'], u'time': [921, 1705, 2401, 3041, 3905, 4826, 5649, 6233, 6953, 7729, 8889, 10026, 10874, 12897, 13809, 14473]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[18993, 6, 365]",36.84,,769888,11.0,9.0,mouselab-mdp,,2
"[18635, 26315, 27931]","[u'right', u'right', u'up']",,,"[1, 0, 0]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'15', u'4', u'12', u'13', u'3', u'7', u'2', u'11', u'6', u'10', u'5', u'9', u'16', u'17'], u'time': [940, 1556, 2172, 3540, 4220, 4916, 5612, 7268, 7837, 8308, 8812, 11668, 12189, 12700, 13340]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[18635, 1388, 984]",33.85,,823984,12.0,3.0,mouselab-mdp,,2
"[15080, 88373, 92405]","[u'right', u'right', u'up']",,,"[64, 0, 11]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'4', u'5', u'3', u'10'], u'time': [5391, 8283, 9483, 11003, 91009]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15078, 3340, 2645]",0.5,,641180,1.0,1.0,mouselab-mdp,,3
"[12965, 70586, 72178]","[u'up', u'up', u'right']",,,"[48, 0, 0]","[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'4', u'5', u'3'], u'time': [3378, 7020, 9796, 11370]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12965, 4066, 160]",22.0,,777015,2.0,4.0,mouselab-mdp,,3
"[6792, 42375, 46351]","[u'right', u'right', u'down']",,,"[24, 0, 0]","[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4'], u'time': [3477, 5215]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[6792, 6726, 2584]",-4.0,,888064,3.0,0.0,mouselab-mdp,,3
"[55000, 73302, 79701]","[u'right', u'right', u'down']",,,"[12, 0, 7]","[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'11'], u'time': [53760, 76199]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[55000, 1745, 4960]",30.0,,983274,4.0,8.0,mouselab-mdp,,3
"[5399, 36853, 52882]","[u'left', u'left', u'down']",,,"[24, 0, 0]","[u'1', 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4'], u'time': [2307, 4219]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5399, 2567, 14626]",-5.0,,1081542,5.0,3.0,mouselab-mdp,,3
"[2678, 12900, 24549]","[u'up', u'up', u'left']",,,"[0, 0, 0]","[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2678, 6346, 10233]",25.0,,1139118,6.0,5.0,mouselab-mdp,,3
