p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,,,2458,,267416,,,instructions,"[{""page_index"":0,""viewing_time"":1503},{""page_index"":1,""viewing_time"":345},{""page_index"":2,""viewing_time"":609}]",26
,,,,,,,,,,,,,,45822,,325430,,,instructions,"[{""page_index"":0,""viewing_time"":21589},{""page_index"":1,""viewing_time"":18098},{""page_index"":2,""viewing_time"":6135}]",26
,,,,,,,,,,,,,,4551,,356970,,,instructions,"[{""page_index"":0,""viewing_time"":2511},{""page_index"":1,""viewing_time"":417},{""page_index"":0,""viewing_time"":645},{""page_index"":1,""viewing_time"":545},{""page_index"":2,""viewing_time"":433}]",26
,,,,,,,,,,,,,,3206,,378370,,,instructions,"[{""page_index"":0,""viewing_time"":2100},{""page_index"":1,""viewing_time"":649},{""page_index"":2,""viewing_time"":456}]",26
,,,,,,,,,,,,,,83462,,83463,,,instructions,"[{""page_index"":0,""viewing_time"":34943},{""page_index"":1,""viewing_time"":6736},{""page_index"":2,""viewing_time"":7912},{""page_index"":1,""viewing_time"":1319},{""page_index"":0,""viewing_time"":1912},{""page_index"":1,""viewing_time"":14762},{""page_index"":2,""viewing_time"":15877}]",27
,,,,,,,,,,,,,,396961,,396965,,,instructions,"[{""page_index"":0,""viewing_time"":232360},{""page_index"":1,""viewing_time"":115589},{""page_index"":2,""viewing_time"":49009}]",28
,,,,,,,,,,,,,,127396,,127400,,,instructions,"[{""page_index"":0,""viewing_time"":54125},{""page_index"":1,""viewing_time"":46672},{""page_index"":2,""viewing_time"":26598}]",29
,,,,,,,,,,,,,,153512,,153517,,,instructions,"[{""page_index"":0,""viewing_time"":85038},{""page_index"":1,""viewing_time"":44581},{""page_index"":2,""viewing_time"":23887}]",30
,,,,,,,,,,,,,,51319,,51320,,,instructions,"[{""page_index"":0,""viewing_time"":14748},{""page_index"":1,""viewing_time"":21825},{""page_index"":2,""viewing_time"":14746}]",31
,,,,,,,,,,,,,,19009,,95092,,,instructions,"[{""page_index"":0,""viewing_time"":13239},{""page_index"":1,""viewing_time"":4223},{""page_index"":2,""viewing_time"":1546}]",31
,,,,,,,,,,,,,,161556,,161556,,,instructions,"[{""page_index"":0,""viewing_time"":71790},{""page_index"":1,""viewing_time"":62716},{""page_index"":2,""viewing_time"":27048}]",32
,,,,,,,,,,,,,,55750,,55754,,,instructions,"[{""page_index"":0,""viewing_time"":28674},{""page_index"":1,""viewing_time"":11933},{""page_index"":2,""viewing_time"":15141}]",33
,,,,,,,,,,,,,,60415,,145482,,,instructions,"[{""page_index"":0,""viewing_time"":21165},{""page_index"":1,""viewing_time"":26054},{""page_index"":2,""viewing_time"":13194}]",33
