pid,temp,p_error,logp,satisfice,prune,model,trial_idx,k
310,1e-10,1.0,-20.76040438389537,5.0,-30.0,breadth_first,29,3
310,1e-10,1.0,-20.76040438389537,5.0,-30.0,progressive_deepening,29,3
310,1e-05,1.0,-20.76040438389537,5.0,-30.0,best_first,29,4
310,1e-05,0.8200000000000001,-20.315289797599327,,,optimal,29,2
310,1e-10,1.0,-20.76040438389537,,,random,29,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,0,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,0,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,0,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,0,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,0,2
312,1e-10,1.0,-2.5649493574615367,,,random,0,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,1,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,1,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,1,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,1,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,1,2
312,1e-10,1.0,-2.5649493574615367,,,random,1,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,2,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,2,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,2,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,2,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,2,2
312,1e-10,1.0,-2.5649493574615367,,,random,2,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,3,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,3,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,3,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,3,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,3,2
312,1e-10,1.0,-2.5649493574615367,,,random,3,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,4,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,4,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,4,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,4,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,4,2
312,1e-10,1.0,-2.5649493574615367,,,random,4,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,5,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,5,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,5,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,5,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,5,2
312,1e-10,1.0,-2.5649493574615367,,,random,5,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,6,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,6,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,6,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,6,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,6,2
312,1e-10,1.0,-2.5649493574615367,,,random,6,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,7,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,7,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,7,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,7,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,7,2
312,1e-10,1.0,-2.5649493574615367,,,random,7,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,8,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,8,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,8,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,8,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,8,2
312,1e-10,1.0,-2.5649493574615367,,,random,8,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,9,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,9,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,9,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,9,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,9,2
312,1e-10,1.0,-2.5649493574615367,,,random,9,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,10,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,10,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,10,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,10,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,10,2
312,1e-10,1.0,-2.5649493574615367,,,random,10,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,11,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,11,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,11,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,11,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,11,2
312,1e-10,1.0,-2.5649493574615367,,,random,11,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,12,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,12,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,12,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,12,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,12,2
312,1e-10,1.0,-2.5649493574615367,,,random,12,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,13,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,13,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,13,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,13,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,13,2
312,1e-10,1.0,-2.5649493574615367,,,random,13,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,14,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,14,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,14,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,14,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,14,2
312,1e-10,1.0,-2.5649493574615367,,,random,14,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,15,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,15,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,15,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,15,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,15,2
312,1e-10,1.0,-2.5649493574615367,,,random,15,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,16,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,16,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,16,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,16,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,16,2
312,1e-10,1.0,-2.5649493574615367,,,random,16,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,17,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,17,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,17,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,17,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,17,2
312,1e-10,1.0,-2.5649493574615367,,,random,17,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,18,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,18,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,18,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,18,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,18,2
312,1e-10,1.0,-2.5649493574615367,,,random,18,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,19,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,19,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,19,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,19,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,19,2
312,1e-10,1.0,-2.5649493574615367,,,random,19,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,20,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,20,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,20,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,20,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,20,2
312,1e-10,1.0,-2.5649493574615367,,,random,20,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,21,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,21,3
