,pid,temp,p_error,logp,satisfice,prune,model,trial_idx
49,3,1e-10,0.95,-13.983364371545422,5.0,-30.0,breadth_first,8
50,3,1e-10,0.95,-13.983364371545422,5.0,-30.0,progressive_deepening,8
51,3,1e-05,0.95,-13.983364371545422,5.0,-30.0,best_first,8
52,3,1.0481131341546852,0.01,-13.452746233207455,,,optimal,8
53,3,1e-10,1.0,-14.02700249205801,,,random,8
54,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,9
55,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,9
56,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,9
57,3,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,9
58,3,1e-05,0.01,-1.8063675729911357,,,optimal,9
59,3,1e-10,1.0,-5.049856007249537,,,random,9
60,3,1e-10,0.6,-8.398633456691682,5.0,-30.0,depth_first,10
61,3,1e-10,0.6,-8.398633456691682,5.0,-30.0,breadth_first,10
62,3,1e-10,0.6,-8.398633456691682,5.0,-30.0,progressive_deepening,10
63,3,1e-05,0.6,-8.398633456691682,5.0,-30.0,best_first,10
64,3,1e-05,0.28,-5.380878799103198,,,optimal,10
65,3,1e-10,1.0,-9.750336373041954,,,random,10
66,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,depth_first,11
67,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,breadth_first,11
68,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,progressive_deepening,11
69,3,1e-05,0.8300000000000001,-9.381105804877004,5.0,-30.0,best_first,11
70,3,0.08286427728546843,0.4,-7.950541372655375,,,optimal,11
71,3,1e-10,1.0,-9.750336373041954,,,random,11
72,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,12
73,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,12
74,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,12
75,3,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,12
76,3,1e-05,0.01,-1.8063675729911357,,,optimal,12
77,3,1e-10,1.0,-5.049856007249537,,,random,12
78,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,13
79,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,13
80,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,13
81,3,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,13
82,3,1e-05,0.01,-1.8063675729911357,,,optimal,13
83,3,1e-10,1.0,-5.049856007249537,,,random,13
84,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,14
85,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,14
86,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,14
87,3,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,14
88,3,1e-05,0.01,-1.8063675729911357,,,optimal,14
89,3,1e-10,1.0,-5.049856007249537,,,random,14
90,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,15
91,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,15
92,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,15
93,3,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,15
94,3,1e-05,0.01,-1.8063675729911357,,,optimal,15
95,3,1e-10,1.0,-5.049856007249537,,,random,15
96,3,1e-10,1.0,-15.972912641113323,5.0,-30.0,depth_first,16
97,3,1e-10,1.0,-15.972912641113323,5.0,-30.0,breadth_first,16
98,3,1e-10,1.0,-15.972912641113323,5.0,-30.0,progressive_deepening,16
99,3,1e-05,1.0,-15.972912641113323,5.0,-30.0,best_first,16
100,3,0.4498432668969444,0.01,-13.49991865152072,,,optimal,16
101,3,1e-10,1.0,-15.972912641113323,,,random,16
102,3,1e-10,0.73,-6.76883995007713,5.0,-30.0,depth_first,17
103,3,1e-10,0.73,-6.76883995007713,5.0,-30.0,breadth_first,17
104,3,1e-10,0.73,-6.76883995007713,5.0,-30.0,progressive_deepening,17
105,3,1e-05,0.73,-6.76883995007713,5.0,-30.0,best_first,17
106,3,1e-05,0.01,-3.4215794435813742,,,optimal,17
107,3,1e-10,1.0,-7.447751280047907,,,random,17
108,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,depth_first,18
109,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,breadth_first,18
110,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,progressive_deepening,18
111,3,1e-05,0.8300000000000001,-9.381105804877004,5.0,-30.0,best_first,18
112,3,1e-05,0.01,-4.8141660364000645,,,optimal,18
113,3,1e-10,1.0,-9.750336373041954,,,random,18
114,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,19
115,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,19
116,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,19
117,3,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,19
118,3,1e-05,0.01,-1.8063675729911357,,,optimal,19
119,3,1e-10,1.0,-5.049856007249537,,,random,19
120,3,1e-10,0.95,-13.983364371545422,5.0,-30.0,depth_first,20
121,3,1e-10,0.95,-13.983364371545422,5.0,-30.0,breadth_first,20
122,3,1e-10,0.95,-13.983364371545422,5.0,-30.0,progressive_deepening,20
123,3,1e-05,0.95,-13.983364371545422,5.0,-30.0,best_first,20
124,3,1e-05,0.26,-10.928757134878204,,,optimal,20
125,3,1e-10,1.0,-14.02700249205801,,,random,20
126,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,21
127,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,21
128,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,21
129,3,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,21
130,3,1e-05,0.01,-1.8063675729911357,,,optimal,21
131,3,1e-10,1.0,-5.049856007249537,,,random,21
132,3,1e-10,0.95,-13.983364371545422,5.0,-30.0,depth_first,22
133,3,1e-10,0.95,-13.983364371545422,5.0,-30.0,breadth_first,22
134,3,1e-10,0.95,-13.983364371545422,5.0,-30.0,progressive_deepening,22
135,3,1e-05,0.95,-13.983364371545422,5.0,-30.0,best_first,22
136,3,1e-05,0.01,-6.620506064393825,,,optimal,22
137,3,1e-10,1.0,-14.02700249205801,,,random,22
138,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,23
139,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,23
140,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,23
141,3,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,23
142,3,1e-05,0.01,-1.8063675729911357,,,optimal,23
143,3,1e-10,1.0,-5.049856007249537,,,random,23
144,3,1e-10,1.0,-15.972912641113323,5.0,-30.0,depth_first,24
145,3,1e-10,1.0,-15.972912641113323,5.0,-30.0,breadth_first,24
146,3,1e-10,1.0,-15.972912641113323,5.0,-30.0,progressive_deepening,24
147,3,1e-05,1.0,-15.972912641113323,5.0,-30.0,best_first,24
148,3,1e-05,0.01,-6.629114438930426,,,optimal,24
149,3,1e-10,1.0,-15.972912641113323,,,random,24
150,3,1e-10,0.9,-11.781216348107359,5.0,-30.0,depth_first,25
151,3,1e-10,0.9,-11.781216348107359,5.0,-30.0,breadth_first,25
152,3,1e-10,0.9,-11.781216348107359,5.0,-30.0,progressive_deepening,25
153,3,1e-05,0.9,-11.781216348107359,5.0,-30.0,best_first,25
154,3,1e-05,0.01,-5.91969082609729,,,optimal,25
155,3,1e-10,1.0,-11.947560950378175,,,random,25
156,3,1e-10,1.0,-15.972912641113323,5.0,-30.0,depth_first,26
157,3,1e-10,1.0,-15.972912641113323,5.0,-30.0,breadth_first,26
158,3,1e-10,1.0,-15.972912641113323,5.0,-30.0,progressive_deepening,26
159,3,1e-05,1.0,-15.972912641113323,5.0,-30.0,best_first,26
160,3,1e-05,0.01,-6.629114438930426,,,optimal,26
161,3,1e-10,1.0,-15.972912641113323,,,random,26
162,3,1e-10,0.87,-21.623613619970474,30.0,-20.0,depth_first,27
163,3,1e-10,0.87,-21.623613619970474,30.0,-20.0,breadth_first,27
164,3,1e-10,0.87,-21.623613619970474,30.0,-20.0,progressive_deepening,27
165,3,10.0,0.89,-21.682096026889308,30.0,-20.0,best_first,27
166,3,1e-05,0.39,-17.389137324240046,,,optimal,27
167,3,1e-10,1.0,-21.85901667256348,,,random,27
168,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,depth_first,28
169,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,breadth_first,28
170,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,progressive_deepening,28
171,3,1e-05,0.8300000000000001,-9.381105804877004,5.0,-30.0,best_first,28
172,3,1e-05,0.01,-4.8141660364000645,,,optimal,28
173,3,1e-10,1.0,-9.750336373041954,,,random,28
174,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,depth_first,29
175,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,breadth_first,29
176,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,progressive_deepening,29
177,3,1e-05,0.8300000000000001,-9.381105804877004,5.0,-30.0,best_first,29
178,3,1e-05,0.01,-4.8141660364000645,,,optimal,29
179,3,1e-10,1.0,-9.750336373041954,,,random,29
180,6,1e-10,1.0,-22.552163853123428,5.0,-30.0,depth_first,0
181,6,1e-10,1.0,-22.552163853123428,5.0,-30.0,breadth_first,0
182,6,1e-10,1.0,-22.552163853123428,5.0,-30.0,progressive_deepening,0
183,6,1e-05,1.0,-22.552163853123428,5.0,-30.0,best_first,0
184,6,10.0,0.05,-22.539124438637646,,,optimal,0
185,6,1e-10,1.0,-22.552163853123428,,,random,0
186,6,1e-10,0.88,-22.092842357987422,5.0,-30.0,depth_first,1
187,6,1e-10,1.0,-22.552163853123428,5.0,-30.0,breadth_first,1
188,6,1e-10,0.88,-22.092842357987422,5.0,-30.0,progressive_deepening,1
189,6,1e-05,1.0,-22.552163853123428,5.0,-30.0,best_first,1
190,6,10.0,0.01,-22.39475262030521,,,optimal,1
191,6,1e-10,1.0,-22.552163853123428,,,random,1
192,6,1e-10,1.0,-21.85901667256348,5.0,-30.0,depth_first,2
193,6,1e-10,1.0,-21.85901667256348,5.0,-30.0,breadth_first,2
194,6,1e-10,1.0,-21.85901667256348,5.0,-30.0,progressive_deepening,2
195,6,1e-05,1.0,-21.85901667256348,5.0,-30.0,best_first,2
196,6,1.8420699693267164,0.01,-21.489093377487148,,,optimal,2
197,6,1e-10,1.0,-21.85901667256348,,,random,2
198,6,1e-10,0.93,-22.45292797504545,30.0,-30.0,depth_first,3
199,6,1e-10,1.0,-22.552163853123428,5.0,-30.0,breadth_first,3
200,6,1e-10,0.93,-22.45292797504545,30.0,-30.0,progressive_deepening,3
201,6,1e-05,0.93,-22.45292797504545,30.0,-30.0,best_first,3
202,6,1e-05,0.46,-18.228829524682318,,,optimal,3
203,6,1e-10,1.0,-22.552163853123428,,,random,3
204,6,1e-10,0.55,-16.10372985846708,25.0,-30.0,depth_first,4
205,6,1e-10,0.99,-19.37245183777372,5.0,-30.0,breadth_first,4
206,6,1e-10,0.5700000000000001,-16.63643858346108,25.0,-20.0,progressive_deepening,4
207,6,10.0,0.77,-18.811305312383613,25.0,-20.0,best_first,4
208,6,0.5963623316594636,0.01,-16.579008306155778,,,optimal,4
209,6,1e-10,1.0,-19.37411002277548,,,random,4
210,6,1e-10,1.0,-19.37411002277548,5.0,-30.0,depth_first,5
211,6,1e-10,1.0,-19.37411002277548,5.0,-30.0,breadth_first,5
212,6,1e-10,1.0,-19.37411002277548,5.0,-30.0,progressive_deepening,5
213,6,1e-05,1.0,-19.37411002277548,5.0,-30.0,best_first,5
214,6,1.389495494373136,0.01,-19.09505092994944,,,optimal,5
215,6,1e-10,1.0,-19.37411002277548,,,random,5
216,6,1e-10,1.0,-21.85901667256348,5.0,-30.0,depth_first,6
217,6,1e-10,1.0,-21.85901667256348,5.0,-30.0,breadth_first,6
218,6,1e-10,1.0,-21.85901667256348,5.0,-30.0,progressive_deepening,6
219,6,1e-05,1.0,-21.85901667256348,5.0,-30.0,best_first,6
220,6,2.44205309454865,0.01,-21.60560821451228,,,optimal,6
221,6,1e-10,1.0,-21.85901667256348,,,random,6
222,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,depth_first,7
223,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,breadth_first,7
224,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,progressive_deepening,7
225,6,1e-05,1.0,-15.972912641113323,5.0,-30.0,best_first,7
226,6,1e-05,0.01,-6.629114438930426,,,optimal,7
227,6,1e-10,1.0,-15.972912641113323,,,random,7
228,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,depth_first,8
229,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,breadth_first,8
230,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,progressive_deepening,8
231,6,1e-05,1.0,-15.972912641113323,5.0,-30.0,best_first,8
232,6,0.5963623316594636,0.13,-15.137792434668178,,,optimal,8
233,6,1e-10,1.0,-15.972912641113323,,,random,8
234,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,depth_first,9
235,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,breadth_first,9
236,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,progressive_deepening,9
237,6,1e-05,1.0,-15.972912641113323,5.0,-30.0,best_first,9
238,6,0.5963623316594636,0.13,-15.137792434668178,,,optimal,9
239,6,1e-10,1.0,-15.972912641113323,,,random,9
240,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,depth_first,10
241,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,breadth_first,10
242,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,progressive_deepening,10
243,6,1e-05,1.0,-15.972912641113323,5.0,-30.0,best_first,10
244,6,0.5963623316594636,0.01,-14.473791311069029,,,optimal,10
245,6,1e-10,1.0,-15.972912641113323,,,random,10
246,6,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,11
247,6,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,11
248,6,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,11
249,6,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,11
250,6,1e-05,0.01,-1.8063675729911357,,,optimal,11
251,6,1e-10,1.0,-5.049856007249537,,,random,11
252,6,1e-10,0.95,-13.983364371545422,5.0,-30.0,depth_first,12
253,6,1e-10,0.95,-13.983364371545422,5.0,-30.0,breadth_first,12
254,6,1e-10,0.95,-13.983364371545422,5.0,-30.0,progressive_deepening,12
255,6,1e-05,0.95,-13.983364371545422,5.0,-30.0,best_first,12
256,6,1e-05,0.01,-6.620506064393825,,,optimal,12
257,6,1e-10,1.0,-14.02700249205801,,,random,12
258,6,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,13
259,6,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,13
260,6,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,13
261,6,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,13
262,6,1e-05,0.01,-1.8063675729911357,,,optimal,13
263,6,1e-10,1.0,-5.049856007249537,,,random,13
264,6,1e-10,0.95,-13.983364371545422,5.0,-30.0,depth_first,14
265,6,1e-10,0.95,-13.983364371545422,5.0,-30.0,breadth_first,14
266,6,1e-10,0.95,-13.983364371545422,5.0,-30.0,progressive_deepening,14
267,6,1e-05,0.95,-13.983364371545422,5.0,-30.0,best_first,14
268,6,1e-05,0.01,-6.620506064393825,,,optimal,14
269,6,1e-10,1.0,-14.02700249205801,,,random,14
270,6,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,depth_first,15
271,6,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,breadth_first,15
272,6,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,progressive_deepening,15
273,6,1e-05,0.8300000000000001,-9.381105804877004,5.0,-30.0,best_first,15
274,6,1e-05,0.01,-4.8141660364000645,,,optimal,15
275,6,1e-10,1.0,-9.750336373041954,,,random,15
276,6,1e-10,0.9,-11.781216348107359,5.0,-30.0,depth_first,16
277,6,1e-10,0.9,-11.781216348107359,5.0,-30.0,breadth_first,16
278,6,1e-10,0.9,-11.781216348107359,5.0,-30.0,progressive_deepening,16
279,6,1e-05,0.9,-11.781216348107359,5.0,-30.0,best_first,16
280,6,1e-05,0.01,-5.91969082609729,,,optimal,16
281,6,1e-10,1.0,-11.947560950378175,,,random,16
282,6,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,depth_first,17
283,6,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,breadth_first,17
284,6,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,progressive_deepening,17
285,6,1e-05,0.8300000000000001,-9.381105804877004,5.0,-30.0,best_first,17
286,6,1e-05,0.01,-4.8141660364000645,,,optimal,17
287,6,1e-10,1.0,-9.750336373041954,,,random,17
288,6,1e-10,0.95,-13.983364371545422,5.0,-30.0,depth_first,18
289,6,1e-10,0.95,-13.983364371545422,5.0,-30.0,breadth_first,18
290,6,1e-10,0.95,-13.983364371545422,5.0,-30.0,progressive_deepening,18
291,6,1e-05,0.95,-13.983364371545422,5.0,-30.0,best_first,18
292,6,1e-05,0.01,-6.620506064393825,,,optimal,18
293,6,1e-10,1.0,-14.02700249205801,,,random,18
294,6,1e-10,0.9,-11.781216348107359,5.0,-30.0,depth_first,19
295,6,1e-10,0.9,-11.781216348107359,5.0,-30.0,breadth_first,19
296,6,1e-10,0.9,-11.781216348107359,5.0,-30.0,progressive_deepening,19
297,6,1e-05,0.9,-11.781216348107359,5.0,-30.0,best_first,19
298,6,1e-05,0.01,-5.91969082609729,,,optimal,19
299,6,1e-10,1.0,-11.947560950378175,,,random,19
300,6,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,20
301,6,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,20
302,6,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,20
303,6,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,20
304,6,1e-05,0.01,-1.8063675729911357,,,optimal,20
305,6,1e-10,1.0,-5.049856007249537,,,random,20
306,6,1e-10,0.9,-11.781216348107359,5.0,-30.0,depth_first,21
307,6,1e-10,0.9,-11.781216348107359,5.0,-30.0,breadth_first,21
308,6,1e-10,0.9,-11.781216348107359,5.0,-30.0,progressive_deepening,21
309,6,1e-05,0.9,-11.781216348107359,5.0,-30.0,best_first,21
310,6,1e-05,0.01,-5.91969082609729,,,optimal,21
311,6,1e-10,1.0,-11.947560950378175,,,random,21
312,6,1e-10,0.72,-20.61807660441336,30.0,-20.0,depth_first,22
313,6,1e-10,0.86,-21.572469537449088,25.0,-20.0,breadth_first,22
314,6,1e-10,0.72,-20.61807660441336,30.0,-20.0,progressive_deepening,22
315,6,1e-05,0.72,-20.61807660441336,30.0,-20.0,best_first,22
316,6,1e-05,0.26,-15.300628211970587,,,optimal,22
317,6,1e-10,1.0,-21.85901667256348,,,random,22
318,6,1e-10,0.73,-6.76883995007713,5.0,-30.0,depth_first,23
319,6,1e-10,0.73,-6.76883995007713,5.0,-30.0,breadth_first,23
320,6,1e-10,0.73,-6.76883995007713,5.0,-30.0,progressive_deepening,23
321,6,1e-05,0.73,-6.76883995007713,5.0,-30.0,best_first,23
322,6,1e-05,0.01,-3.4215794435813742,,,optimal,23
323,6,1e-10,1.0,-7.447751280047907,,,random,23
324,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,depth_first,24
325,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,breadth_first,24
326,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,progressive_deepening,24
327,6,1e-05,1.0,-15.972912641113323,5.0,-30.0,best_first,24
328,6,1e-05,0.01,-6.629114438930426,,,optimal,24
329,6,1e-10,1.0,-15.972912641113323,,,random,24
330,6,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,depth_first,25
331,6,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,breadth_first,25
332,6,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,progressive_deepening,25
333,6,1e-05,0.8300000000000001,-9.381105804877004,5.0,-30.0,best_first,25
334,6,1e-05,0.01,-4.8141660364000645,,,optimal,25
335,6,1e-10,1.0,-9.750336373041954,,,random,25
336,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,depth_first,26
337,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,breadth_first,26
338,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,progressive_deepening,26
339,6,1e-05,1.0,-15.972912641113323,5.0,-30.0,best_first,26
340,6,1e-05,0.01,-6.629114438930426,,,optimal,26
341,6,1e-10,1.0,-15.972912641113323,,,random,26
342,6,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,27
343,6,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,27
344,6,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,27
345,6,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,27
346,6,1e-05,0.01,-1.8063675729911357,,,optimal,27
347,6,1e-10,1.0,-5.049856007249537,,,random,27
348,6,1e-10,0.9,-11.781216348107359,5.0,-30.0,depth_first,28
349,6,1e-10,0.9,-11.781216348107359,5.0,-30.0,breadth_first,28
350,6,1e-10,0.9,-11.781216348107359,5.0,-30.0,progressive_deepening,28
351,6,1e-05,0.9,-11.781216348107359,5.0,-30.0,best_first,28
352,6,1e-05,0.01,-5.91969082609729,,,optimal,28
353,6,1e-10,1.0,-11.947560950378175,,,random,28
354,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,depth_first,29
355,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,breadth_first,29
356,6,1e-10,1.0,-15.972912641113323,5.0,-30.0,progressive_deepening,29
357,6,1e-05,1.0,-15.972912641113323,5.0,-30.0,best_first,29
358,6,1e-05,0.01,-6.629114438930426,,,optimal,29
359,6,1e-10,1.0,-15.972912641113323,,,random,29
360,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,0
361,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,0
362,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,0
363,7,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,0
364,7,1e-05,1.0,-2.5649493574615367,,,optimal,0
365,7,1e-10,1.0,-2.5649493574615367,,,random,0
366,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,1
367,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,1
368,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,1
369,7,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,1
370,7,1e-05,1.0,-2.5649493574615367,,,optimal,1
371,7,1e-10,1.0,-2.5649493574615367,,,random,1
372,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,2
373,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,2
374,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,2
375,7,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,2
376,7,1e-05,1.0,-2.5649493574615367,,,optimal,2
377,7,1e-10,1.0,-2.5649493574615367,,,random,2
378,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,3
379,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,3
380,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,3
381,7,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,3
382,7,1e-05,1.0,-2.5649493574615367,,,optimal,3
