,action,pid,state,trial_id,trial_index
76,4,3,"(0, Cat, -4, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,11
77,11,3,"(0, Cat, -4, Cat, -24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,11
78,13,3,"(0, Cat, -4, Cat, -24, Cat, Cat, Cat, Cat, Cat, Cat, 48, Cat)",-2147483648,11
79,11,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,12
80,13,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, 48, Cat)",-2147483648,12
81,11,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,13
82,13,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, 48, Cat)",-2147483648,13
83,11,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,14
84,13,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, 48, Cat)",-2147483648,14
85,11,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,15
86,13,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, 48, Cat)",-2147483648,15
87,3,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,16
88,4,3,"(0, Cat, Cat, 24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,16
89,11,3,"(0, Cat, Cat, 24, -48, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,16
90,7,3,"(0, Cat, Cat, 24, -48, Cat, Cat, Cat, Cat, Cat, Cat, 48, Cat)",-2147483648,16
91,8,3,"(0, Cat, Cat, 24, -48, Cat, Cat, -24, Cat, Cat, Cat, 48, Cat)",-2147483648,16
92,12,3,"(0, Cat, Cat, 24, -48, Cat, Cat, -24, 24, Cat, Cat, 48, Cat)",-2147483648,16
93,13,3,"(0, Cat, Cat, 24, -48, Cat, Cat, -24, 24, Cat, Cat, 48, -24)",-2147483648,16
94,11,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,17
95,12,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, 24, Cat)",-2147483648,17
96,13,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, 24, 48)",-2147483648,17
97,11,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,18
98,4,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, -24, Cat)",-2147483648,18
