pid,temp,p_error,logp,satisfice,prune,model,trial_idx
172,1e-05,0.01,-5.91969082609729,,,optimal,28
172,1e-10,1.0,-11.947560950378174,,,random,28
172,1e-10,1.0,-15.972912641113323,5,-30,depth_first,29
172,1e-10,1.0,-15.972912641113323,5,-30,breadth_first,29
172,1e-10,1.0,-15.972912641113323,5,-30,progressive_deepening,29
172,1e-05,1.0,-15.972912641113323,5,-30,best_first,29
172,1e-05,0.01,-6.629114438930426,,,optimal,29
172,1e-10,1.0,-15.972912641113323,,,random,29
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,0
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,0
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,0
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,0
174,1e-05,1.0,-2.5649493574615367,,,optimal,0
174,1e-10,1.0,-2.5649493574615367,,,random,0
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,1
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,1
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,1
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,1
174,1e-05,1.0,-2.5649493574615367,,,optimal,1
174,1e-10,1.0,-2.5649493574615367,,,random,1
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,2
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,2
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,2
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,2
174,1e-05,1.0,-2.5649493574615367,,,optimal,2
174,1e-10,1.0,-2.5649493574615367,,,random,2
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,3
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,3
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,3
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,3
174,1e-05,1.0,-2.5649493574615367,,,optimal,3
174,1e-10,1.0,-2.5649493574615367,,,random,3
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,4
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,4
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,4
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,4
174,1e-05,1.0,-2.5649493574615367,,,optimal,4
174,1e-10,1.0,-2.5649493574615367,,,random,4
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,5
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,5
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,5
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,5
174,1e-05,1.0,-2.5649493574615367,,,optimal,5
174,1e-10,1.0,-2.5649493574615367,,,random,5
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,6
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,6
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,6
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,6
174,1e-05,1.0,-2.5649493574615367,,,optimal,6
174,1e-10,1.0,-2.5649493574615367,,,random,6
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,7
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,7
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,7
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,7
174,1e-05,1.0,-2.5649493574615367,,,optimal,7
174,1e-10,1.0,-2.5649493574615367,,,random,7
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,8
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,8
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,8
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,8
174,1e-05,1.0,-2.5649493574615367,,,optimal,8
174,1e-10,1.0,-2.5649493574615367,,,random,8
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,9
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,9
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,9
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,9
174,1e-05,1.0,-2.5649493574615367,,,optimal,9
174,1e-10,1.0,-2.5649493574615367,,,random,9
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,10
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,10
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,10
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,10
174,1e-05,1.0,-2.5649493574615367,,,optimal,10
174,1e-10,1.0,-2.5649493574615367,,,random,10
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,11
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,11
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,11
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,11
174,1e-05,1.0,-2.5649493574615367,,,optimal,11
174,1e-10,1.0,-2.5649493574615367,,,random,11
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,12
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,12
