p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,,74920,,196394,,,instructions,"[{""page_index"":0,""viewing_time"":7139},{""page_index"":1,""viewing_time"":21226},{""page_index"":2,""viewing_time"":20148},{""page_index"":3,""viewing_time"":26406}]",18
,,,,,,,,,,,,,,,48046,,284645,,,instructions,"[{""page_index"":0,""viewing_time"":10323},{""page_index"":1,""viewing_time"":13332},{""page_index"":2,""viewing_time"":14590},{""page_index"":3,""viewing_time"":9800}]",18
,,,,,,,,,,,,,,,102494,,418095,,,instructions,"[{""page_index"":0,""viewing_time"":18925},{""page_index"":1,""viewing_time"":33413},{""page_index"":2,""viewing_time"":37205},{""page_index"":3,""viewing_time"":12950}]",18
,,,,,,,,,,,,,,,26196,,474328,,,instructions,"[{""page_index"":0,""viewing_time"":21575},{""page_index"":1,""viewing_time"":2420},{""page_index"":2,""viewing_time"":1032},{""page_index"":3,""viewing_time"":1168}]",18
,,,,,,,,,,,,,,,66803,,568415,,,instructions,"[{""page_index"":0,""viewing_time"":13397},{""page_index"":1,""viewing_time"":19760},{""page_index"":2,""viewing_time"":18328},{""page_index"":3,""viewing_time"":15317}]",18
,,,,,,,,,,,,,,,220260,,220260,,,instructions,"[{""page_index"":0,""viewing_time"":71651},{""page_index"":1,""viewing_time"":62016},{""page_index"":2,""viewing_time"":49591},{""page_index"":3,""viewing_time"":37001}]",19
,,,,,,,,,,,,,,,152745,,443619,,,instructions,"[{""page_index"":0,""viewing_time"":36263},{""page_index"":1,""viewing_time"":24713},{""page_index"":2,""viewing_time"":81939},{""page_index"":3,""viewing_time"":9830}]",19
,,,,,,,,,,,,,,,155582,,155585,,,instructions,"[{""page_index"":0,""viewing_time"":41504},{""page_index"":1,""viewing_time"":58613},{""page_index"":2,""viewing_time"":30557},{""page_index"":3,""viewing_time"":24906}]",20
,,,,,,,,,,,,,,,27156,,296676,,,instructions,"[{""page_index"":0,""viewing_time"":19101},{""page_index"":1,""viewing_time"":5156},{""page_index"":2,""viewing_time"":1962},{""page_index"":3,""viewing_time"":936}]",20
,,,,,,,,,,,,,,,67384,,386555,,,instructions,"[{""page_index"":0,""viewing_time"":35063},{""page_index"":1,""viewing_time"":14508},{""page_index"":2,""viewing_time"":16937},{""page_index"":3,""viewing_time"":875}]",20
,,,,,,,,,,,,,,,24857,,445627,,,instructions,"[{""page_index"":0,""viewing_time"":15956},{""page_index"":1,""viewing_time"":5129},{""page_index"":2,""viewing_time"":1793},{""page_index"":3,""viewing_time"":1978}]",20
