action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,37872,,,156828,,,instructions,"[{""page_index"":0,""viewing_time"":6867},{""page_index"":1,""viewing_time"":5663},{""page_index"":2,""viewing_time"":19742},{""page_index"":3,""viewing_time"":5598}]",28
,,,,,,,,,44328,,,235175,,,instructions,"[{""page_index"":0,""viewing_time"":8351},{""page_index"":1,""viewing_time"":5790},{""page_index"":2,""viewing_time"":12290},{""page_index"":3,""viewing_time"":17895}]",28
,,,,,,,,,152761,,,152763,,,instructions,"[{""page_index"":0,""viewing_time"":52088},{""page_index"":1,""viewing_time"":50803},{""page_index"":2,""viewing_time"":30024},{""page_index"":3,""viewing_time"":19844}]",29
,,,,,,,,,125593,,,125593,,,instructions,"[{""page_index"":0,""viewing_time"":30503},{""page_index"":1,""viewing_time"":41849},{""page_index"":2,""viewing_time"":37046},{""page_index"":3,""viewing_time"":16195}]",30
,,,,,,,,,103263,,,103264,,,instructions,"[{""page_index"":0,""viewing_time"":35660},{""page_index"":1,""viewing_time"":27675},{""page_index"":2,""viewing_time"":18093},{""page_index"":3,""viewing_time"":21834}]",31
,,,,,,,,,121049,,,506674,,,instructions,"[{""page_index"":0,""viewing_time"":18048},{""page_index"":1,""viewing_time"":50526},{""page_index"":2,""viewing_time"":39410},{""page_index"":3,""viewing_time"":13063}]",31
,,,,,,,,,28071,,,579818,,,instructions,"[{""page_index"":0,""viewing_time"":4976},{""page_index"":1,""viewing_time"":5926},{""page_index"":2,""viewing_time"":6794},{""page_index"":3,""viewing_time"":10374}]",31
,,,,,,,,,152671,,,152673,,,instructions,"[{""page_index"":0,""viewing_time"":48737},{""page_index"":1,""viewing_time"":30407},{""page_index"":2,""viewing_time"":63026},{""page_index"":3,""viewing_time"":10501}]",32
,,,,,,,,,100980,,,291539,,,instructions,"[{""page_index"":0,""viewing_time"":2994},{""page_index"":1,""viewing_time"":1290},{""page_index"":2,""viewing_time"":19971},{""page_index"":3,""viewing_time"":22876},{""page_index"":2,""viewing_time"":18049},{""page_index"":1,""viewing_time"":24185},{""page_index"":0,""viewing_time"":7764},{""page_index"":1,""viewing_time"":731},{""page_index"":2,""viewing_time"":2194},{""page_index"":3,""viewing_time"":926}]",32
,,,,,,,,,76074,,,76075,,,instructions,"[{""page_index"":0,""viewing_time"":29749},{""page_index"":1,""viewing_time"":19908},{""page_index"":2,""viewing_time"":14316},{""page_index"":3,""viewing_time"":12100}]",33
,,,,,,,,,81471,,,81473,,,instructions,"[{""page_index"":0,""viewing_time"":23404},{""page_index"":1,""viewing_time"":39608},{""page_index"":2,""viewing_time"":18458}]",34
,,,,,,,,,23721,,,23721,,,instructions,"[{""page_index"":0,""viewing_time"":15923},{""page_index"":1,""viewing_time"":3969},{""page_index"":2,""viewing_time"":3828}]",35
,,,,,,,,,35042,,,83677,,,instructions,"[{""page_index"":0,""viewing_time"":22413},{""page_index"":1,""viewing_time"":5910},{""page_index"":2,""viewing_time"":6718}]",35
,,,,,,,,,7593,,,7594,,,instructions,"[{""page_index"":0,""viewing_time"":4169},{""page_index"":1,""viewing_time"":1575},{""page_index"":2,""viewing_time"":1848}]",36
,,,,,,,,,23535,,,45481,,,instructions,"[{""page_index"":0,""viewing_time"":5240},{""page_index"":1,""viewing_time"":10910},{""page_index"":2,""viewing_time"":7384}]",36
,,,,,,,,,134413,,,134414,,,instructions,"[{""page_index"":0,""viewing_time"":38916},{""page_index"":1,""viewing_time"":43940},{""page_index"":2,""viewing_time"":32664},{""page_index"":3,""viewing_time"":18892}]",37
,,,,,,,,,31448,,,220375,,,instructions,"[{""page_index"":0,""viewing_time"":2478},{""page_index"":1,""viewing_time"":8000},{""page_index"":2,""viewing_time"":19486},{""page_index"":3,""viewing_time"":1484}]",37
,,,,,,,,,48702,,,48703,,,instructions,"[{""page_index"":0,""viewing_time"":6276},{""page_index"":1,""viewing_time"":33365},{""page_index"":2,""viewing_time"":9060}]",38
,,,,,,,,,61503,,,61503,,,instructions,"[{""page_index"":0,""viewing_time"":15816},{""page_index"":1,""viewing_time"":17890},{""page_index"":2,""viewing_time"":16646},{""page_index"":3,""viewing_time"":11150}]",39
,,,,,,,,,60892,,,153667,,,instructions,"[{""page_index"":0,""viewing_time"":10789},{""page_index"":1,""viewing_time"":10675},{""page_index"":2,""viewing_time"":20458},{""page_index"":3,""viewing_time"":10561},{""page_index"":2,""viewing_time"":1896},{""page_index"":1,""viewing_time"":4071},{""page_index"":2,""viewing_time"":1568},{""page_index"":3,""viewing_time"":873}]",39
,,,,,,,,,38674,,,38677,,,instructions,"[{""page_index"":0,""viewing_time"":15116},{""page_index"":1,""viewing_time"":18051},{""page_index"":2,""viewing_time"":5503}]",40
,,,,,,,,,41352,,,105879,,,instructions,"[{""page_index"":0,""viewing_time"":22297},{""page_index"":1,""viewing_time"":8030},{""page_index"":2,""viewing_time"":11024}]",40
,,,,,,,,,7573,,,139102,,,instructions,"[{""page_index"":0,""viewing_time"":881},{""page_index"":1,""viewing_time"":762},{""page_index"":2,""viewing_time"":5929}]",40
,,,,,,,,,2444,,,166025,,,instructions,"[{""page_index"":0,""viewing_time"":1156},{""page_index"":1,""viewing_time"":673},{""page_index"":2,""viewing_time"":612}]",40
,,,,,,,,,2500,,,181021,,,instructions,"[{""page_index"":0,""viewing_time"":1124},{""page_index"":1,""viewing_time"":649},{""page_index"":2,""viewing_time"":726}]",40
,,,,,,,,,3270,,,213636,,,instructions,"[{""page_index"":0,""viewing_time"":1926},{""page_index"":1,""viewing_time"":525},{""page_index"":2,""viewing_time"":817}]",40
,,,,,,,,,2250,,,225878,,,instructions,"[{""page_index"":0,""viewing_time"":908},{""page_index"":1,""viewing_time"":632},{""page_index"":2,""viewing_time"":708}]",40
,,,,,,,,,60093,,,296237,,,instructions,"[{""page_index"":0,""viewing_time"":29670},{""page_index"":1,""viewing_time"":17985},{""page_index"":2,""viewing_time"":12436}]",40
,,,,,,,,,198133,,,198135,,,instructions,"[{""page_index"":0,""viewing_time"":65191},{""page_index"":1,""viewing_time"":12},{""page_index"":2,""viewing_time"":92045},{""page_index"":3,""viewing_time"":40884}]",41
,,,,,,,,,195087,,,459592,,,instructions,"[{""page_index"":0,""viewing_time"":61538},{""page_index"":1,""viewing_time"":57669},{""page_index"":2,""viewing_time"":53865},{""page_index"":3,""viewing_time"":22015}]",41
,,,,,,,,,147717,,,697895,,,instructions,"[{""page_index"":0,""viewing_time"":30903},{""page_index"":1,""viewing_time"":31602},{""page_index"":2,""viewing_time"":79183},{""page_index"":3,""viewing_time"":6028}]",41
,,,,,,,,,184998,,,185002,,,instructions,"[{""page_index"":0,""viewing_time"":56490},{""page_index"":1,""viewing_time"":49492},{""page_index"":0,""viewing_time"":13172},{""page_index"":1,""viewing_time"":12314},{""page_index"":2,""viewing_time"":30609},{""page_index"":3,""viewing_time"":22920}]",42
,,,,,,,,,49729,,,49729,,,instructions,"[{""page_index"":0,""viewing_time"":13305},{""page_index"":1,""viewing_time"":13023},{""page_index"":2,""viewing_time"":15560},{""page_index"":3,""viewing_time"":7840}]",43
,,,,,,,,,31894,,,103049,,,instructions,"[{""page_index"":0,""viewing_time"":20501},{""page_index"":1,""viewing_time"":5736},{""page_index"":2,""viewing_time"":2808},{""page_index"":3,""viewing_time"":2848}]",43
,,,,,,,,,97740,,,97742,,,instructions,"[{""page_index"":0,""viewing_time"":47336},{""page_index"":1,""viewing_time"":16176},{""page_index"":2,""viewing_time"":24364},{""page_index"":3,""viewing_time"":9862}]",44
,,,,,,,,,27752,,,150411,,,instructions,"[{""page_index"":0,""viewing_time"":8305},{""page_index"":1,""viewing_time"":4933},{""page_index"":2,""viewing_time"":5820},{""page_index"":3,""viewing_time"":8693}]",44
,,,,,,,,,161892,,,161892,,,instructions,"[{""page_index"":0,""viewing_time"":69277},{""page_index"":1,""viewing_time"":61588},{""page_index"":2,""viewing_time"":31026}]",45
,,,,,,,,,34707,,,34709,,,instructions,"[{""page_index"":0,""viewing_time"":16106},{""page_index"":1,""viewing_time"":9963},{""page_index"":2,""viewing_time"":8638}]",46
,,,,,,,,,29120,,,80753,,,instructions,"[{""page_index"":0,""viewing_time"":16019},{""page_index"":1,""viewing_time"":5928},{""page_index"":2,""viewing_time"":7172}]",46
,,,,,,,,,10264,,,10264,,,instructions,"[{""page_index"":0,""viewing_time"":2120},{""page_index"":1,""viewing_time"":3288},{""page_index"":2,""viewing_time"":1675},{""page_index"":3,""viewing_time"":3180}]",47
,,,,,,,,,17310,,,54784,,,instructions,"[{""page_index"":0,""viewing_time"":1364},{""page_index"":1,""viewing_time"":1069},{""page_index"":2,""viewing_time"":13648},{""page_index"":3,""viewing_time"":1229}]",47
,,,,,,,,,9606,,,83156,,,instructions,"[{""page_index"":0,""viewing_time"":1168},{""page_index"":1,""viewing_time"":1099},{""page_index"":2,""viewing_time"":6558},{""page_index"":3,""viewing_time"":781}]",47
,,,,,,,,,17675,,,113369,,,instructions,"[{""page_index"":0,""viewing_time"":1680},{""page_index"":1,""viewing_time"":5997},{""page_index"":2,""viewing_time"":6550},{""page_index"":3,""viewing_time"":3447}]",47
,,,,,,,,,9186,,,138120,,,instructions,"[{""page_index"":0,""viewing_time"":1249},{""page_index"":1,""viewing_time"":2219},{""page_index"":2,""viewing_time"":3061},{""page_index"":3,""viewing_time"":2657}]",47
,,,,,,,,,64400,,,64404,,,instructions,"[{""page_index"":0,""viewing_time"":23155},{""page_index"":1,""viewing_time"":22926},{""page_index"":2,""viewing_time"":11246},{""page_index"":3,""viewing_time"":7069}]",48
,,,,,,,,,6079,,,106857,,,instructions,"[{""page_index"":0,""viewing_time"":2172},{""page_index"":1,""viewing_time"":1508},{""page_index"":2,""viewing_time"":1195},{""page_index"":3,""viewing_time"":1202}]",48
,,,,,,,,,336607,,,336609,,,instructions,"[{""page_index"":0,""viewing_time"":120361},{""page_index"":1,""viewing_time"":120454},{""page_index"":2,""viewing_time"":65480},{""page_index"":3,""viewing_time"":30311}]",49
,,,,,,,,,150886,,,566557,,,instructions,"[{""page_index"":0,""viewing_time"":34183},{""page_index"":1,""viewing_time"":43976},{""page_index"":2,""viewing_time"":41647},{""page_index"":3,""viewing_time"":31080}]",49
,,,,,,,,,92042,,,92042,,,instructions,"[{""page_index"":0,""viewing_time"":47329},{""page_index"":1,""viewing_time"":18371},{""page_index"":2,""viewing_time"":12771},{""page_index"":3,""viewing_time"":13569}]",50
,,,,,,,,,282587,,,282587,,,instructions,"[{""page_index"":0,""viewing_time"":229576},{""page_index"":1,""viewing_time"":27808},{""page_index"":2,""viewing_time"":25199}]",51
,,,,,,,,,120728,,,120734,,,instructions,"[{""page_index"":0,""viewing_time"":34249},{""page_index"":1,""viewing_time"":49375},{""page_index"":2,""viewing_time"":13206},{""page_index"":3,""viewing_time"":23893}]",52
,,,,,,,,,87479,,,87480,,,instructions,"[{""page_index"":0,""viewing_time"":27347},{""page_index"":1,""viewing_time"":29015},{""page_index"":2,""viewing_time"":14140},{""page_index"":3,""viewing_time"":16976}]",53
,,,,,,,,,26661,,,150559,,,instructions,"[{""page_index"":0,""viewing_time"":4025},{""page_index"":1,""viewing_time"":2768},{""page_index"":2,""viewing_time"":12037},{""page_index"":3,""viewing_time"":7830}]",53
,,,,,,,,,43807,,,209724,,,instructions,"[{""page_index"":0,""viewing_time"":3991},{""page_index"":1,""viewing_time"":15379},{""page_index"":2,""viewing_time"":15367},{""page_index"":3,""viewing_time"":9069}]",53
,,,,,,,,,194168,,,194170,,,instructions,"[{""page_index"":0,""viewing_time"":106763},{""page_index"":1,""viewing_time"":30677},{""page_index"":2,""viewing_time"":36567},{""page_index"":3,""viewing_time"":20160}]",54
,,,,,,,,,58422,,,282730,,,instructions,"[{""page_index"":0,""viewing_time"":2900},{""page_index"":1,""viewing_time"":3992},{""page_index"":2,""viewing_time"":14264},{""page_index"":3,""viewing_time"":11752},{""page_index"":2,""viewing_time"":6041},{""page_index"":1,""viewing_time"":6759},{""page_index"":0,""viewing_time"":6376},{""page_index"":1,""viewing_time"":848},{""page_index"":2,""viewing_time"":3192},{""page_index"":3,""viewing_time"":2297}]",54
,,,,,,,,,226848,,,226848,,,instructions,"[{""page_index"":0,""viewing_time"":98780},{""page_index"":1,""viewing_time"":35252},{""page_index"":2,""viewing_time"":56954},{""page_index"":3,""viewing_time"":35862}]",55
,,,,,,,,,125354,,,125356,,,instructions,"[{""page_index"":0,""viewing_time"":101866},{""page_index"":1,""viewing_time"":11336},{""page_index"":2,""viewing_time"":12148}]",56
,,,,,,,,,41131,,,192664,,,instructions,"[{""page_index"":0,""viewing_time"":11301},{""page_index"":1,""viewing_time"":20857},{""page_index"":2,""viewing_time"":8970}]",56
,,,,,,,,,149694,,,149695,,,instructions,"[{""page_index"":0,""viewing_time"":65270},{""page_index"":1,""viewing_time"":38954},{""page_index"":2,""viewing_time"":23294},{""page_index"":3,""viewing_time"":22176}]",57
,,,,,,,,,136139,,,136140,,,instructions,"[{""page_index"":0,""viewing_time"":55373},{""page_index"":1,""viewing_time"":56514},{""page_index"":2,""viewing_time"":24251}]",58
,,,,,,,,,45852,,,45856,,,instructions,"[{""page_index"":0,""viewing_time"":10122},{""page_index"":1,""viewing_time"":15005},{""page_index"":2,""viewing_time"":20722}]",59
