PR_type,bonus,completed,condition,feedback,info_cost,message,pid,version
featureBased,0.27999999999999997,True,2,True,2.8,full,121,0.5
featureBased,1.25,True,0,True,0.01,full,122,0.5
featureBased,0.4475,True,0,True,0.01,full,123,0.5
featureBased,0.0,False,0,True,0.01,full,124,0.5
objectLevel,0.34,True,5,True,2.8,full,125,0.5
featureBased,1.3800000000000001,True,1,True,1.6,full,126,0.5
objectLevel,2.0500000000000003,True,5,True,2.8,full,127,0.5
objectLevel,0.0,False,4,True,1.6,full,128,0.5
objectLevel,1.8920000000000003,True,3,True,0.01,full,129,0.5
objectLevel,0.0,True,4,True,1.6,full,130,0.5
objectLevel,0.08000000000000002,True,5,True,2.8,full,131,0.5
objectLevel,0.06,True,5,True,2.8,full,132,0.5
objectLevel,0.0,True,3,True,0.01,full,133,0.5
objectLevel,1.1,True,4,True,1.6,full,134,0.5
objectLevel,1.05,True,4,True,1.6,full,135,0.5
featureBased,1.697,True,0,True,0.01,full,136,0.5
objectLevel,0.25,True,4,True,1.6,full,137,0.5
featureBased,0.42000000000000004,True,1,True,1.6,full,138,0.5
objectLevel,0.34,True,4,True,1.6,full,139,0.5
objectLevel,1.8420000000000003,True,3,True,0.01,full,140,0.5
objectLevel,0.7200000000000001,True,4,True,1.6,full,141,0.5
featureBased,1.42,True,2,True,2.8,full,142,0.5
featureBased,0.9400000000000001,True,1,True,1.6,full,143,0.5
objectLevel,0.30000000000000004,True,4,True,1.6,full,144,0.5
featureBased,0.0,True,1,True,1.6,full,145,0.5
featureBased,0.0,True,2,True,2.8,full,146,0.5
objectLevel,0.96,True,4,True,1.6,full,147,0.5
objectLevel,0.0,True,5,True,2.8,full,148,0.5
objectLevel,2.095,True,3,True,0.01,full,149,0.5
featureBased,1.6989999999999998,True,0,True,0.01,full,150,0.5
featureBased,0.15000000000000002,True,2,True,2.8,full,151,0.5
featureBased,2.092,True,0,True,0.01,full,152,0.5
featureBased,0.08000000000000002,True,2,True,2.8,full,153,0.5
objectLevel,0.05,True,4,True,1.6,full,154,0.5
objectLevel,1.54,True,5,True,2.8,full,155,0.5
featureBased,2.2935,True,0,True,0.01,full,156,0.5
objectLevel,0.30000000000000004,True,5,True,2.8,full,157,0.5
objectLevel,1.6920000000000002,True,3,True,0.01,full,158,0.5
featureBased,0.4,True,2,True,2.8,full,159,0.5
featureBased,1.4800000000000002,True,2,True,2.8,full,160,0.5
featureBased,1.77,True,2,True,2.8,full,161,0.5
objectLevel,0.47000000000000003,True,5,True,2.8,full,162,0.5
objectLevel,1.8600000000000003,True,5,True,2.8,full,163,0.5
featureBased,2.0420000000000003,True,0,True,0.01,full,164,0.5
objectLevel,0.0,True,4,True,1.6,full,165,0.5
objectLevel,1.6920000000000002,True,3,True,0.01,full,166,0.5
featureBased,1.74,True,1,True,1.6,full,167,0.5
featureBased,0.0,False,1,True,1.6,full,168,0.5
featureBased,1.8920000000000003,True,0,True,0.01,full,169,0.5
objectLevel,1.3,True,4,True,1.6,full,170,0.5
featureBased,1.6800000000000002,True,1,True,1.6,full,171,0.5
objectLevel,1.6920000000000002,True,3,True,0.01,full,172,0.5
objectLevel,1.8920000000000003,True,3,True,0.01,full,173,0.5
objectLevel,1.6980000000000002,True,3,True,0.01,full,174,0.5
objectLevel,2.294,True,3,True,0.01,full,175,0.5
objectLevel,0.7000000000000001,True,4,True,1.6,full,176,0.5
featureBased,0.9400000000000001,True,1,True,1.6,full,177,0.5
objectLevel,0.0,True,4,True,1.6,full,178,0.5
objectLevel,0.0,False,4,True,1.6,full,179,0.5
featureBased,1.6920000000000002,True,0,True,0.01,full,180,0.5
objectLevel,0.4,True,4,True,1.6,full,181,0.5
featureBased,1.62,True,1,True,1.6,full,182,0.5
featureBased,1.26,True,2,True,2.8,full,183,0.5
objectLevel,0.0,False,4,True,1.6,full,184,0.5
objectLevel,1.6940000000000002,True,3,True,0.01,full,185,0.5
objectLevel,0.0,False,4,True,1.6,full,186,0.5
objectLevel,1.6920000000000002,True,3,True,0.01,full,187,0.5
objectLevel,0.0,True,4,True,1.6,full,188,0.5
featureBased,0.0,False,0,True,0.01,full,189,0.5
featureBased,0.38,True,2,True,2.8,full,190,0.5
featureBased,0.0,True,2,True,2.8,full,191,0.5
objectLevel,1.092,True,3,True,0.01,full,192,0.5
featureBased,1.8420000000000003,True,0,True,0.01,full,193,0.5
objectLevel,1.1,True,4,True,1.6,full,194,0.5
featureBased,0.34,True,1,True,1.6,full,195,0.5
objectLevel,2.2920000000000003,True,3,True,0.01,full,196,0.5
objectLevel,0.82,True,4,True,1.6,full,197,0.5
featureBased,0.86,True,1,True,1.6,full,198,0.5
featureBased,0.0,True,1,True,1.6,full,199,0.5
featureBased,1.8920000000000003,True,0,True,0.01,full,200,0.5
objectLevel,0.30000000000000004,True,3,True,0.01,full,201,0.5
objectLevel,0.4,True,5,True,2.8,full,202,0.5
