action_times,actions,button_pressed,correct,delays,information_used_correctly,key_press,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,,126863,,,126866,,,instructions,"[{""page_index"":0,""viewing_time"":65157},{""page_index"":1,""viewing_time"":17623},{""page_index"":2,""viewing_time"":37130},{""page_index"":3,""viewing_time"":6950}]",25
,,,,,,,,,,,,,108676,,,300714,,,instructions,"[{""page_index"":0,""viewing_time"":8132},{""page_index"":1,""viewing_time"":35338},{""page_index"":2,""viewing_time"":25761},{""page_index"":3,""viewing_time"":39442}]",25
,,,,,,,,,,,,,55894,,,384234,,,instructions,"[{""page_index"":0,""viewing_time"":8456},{""page_index"":1,""viewing_time"":11196},{""page_index"":2,""viewing_time"":34490},{""page_index"":3,""viewing_time"":1751}]",25
,,,,,,,,,,,,,31619,,,31621,,,instructions,"[{""page_index"":0,""viewing_time"":5211},{""page_index"":1,""viewing_time"":6104},{""page_index"":2,""viewing_time"":5888},{""page_index"":3,""viewing_time"":14414}]",26
,,,,,,,,,,,,,110233,,,168086,,,instructions,"[{""page_index"":0,""viewing_time"":20943},{""page_index"":1,""viewing_time"":17681},{""page_index"":2,""viewing_time"":56384},{""page_index"":3,""viewing_time"":15224}]",26
,,,,,,,,,,,,,6866,,,214901,,,instructions,"[{""page_index"":0,""viewing_time"":1762},{""page_index"":1,""viewing_time"":511},{""page_index"":0,""viewing_time"":1792},{""page_index"":1,""viewing_time"":472},{""page_index"":2,""viewing_time"":1672},{""page_index"":3,""viewing_time"":656}]",26
,,,,,,,,,,,,,157667,,,157669,,,instructions,"[{""page_index"":0,""viewing_time"":36176},{""page_index"":1,""viewing_time"":27187},{""page_index"":2,""viewing_time"":74356},{""page_index"":3,""viewing_time"":19946}]",27
,,,,,,,,,,,,,171317,,,171318,,,instructions,"[{""page_index"":0,""viewing_time"":50323},{""page_index"":1,""viewing_time"":14088},{""page_index"":2,""viewing_time"":73223},{""page_index"":3,""viewing_time"":33683}]",28
,,,,,,,,,,,,,301491,,,301491,,,instructions,"[{""page_index"":0,""viewing_time"":38370},{""page_index"":1,""viewing_time"":38022},{""page_index"":2,""viewing_time"":146330},{""page_index"":3,""viewing_time"":32293},{""page_index"":2,""viewing_time"":4627},{""page_index"":1,""viewing_time"":4024},{""page_index"":0,""viewing_time"":17293},{""page_index"":1,""viewing_time"":7599},{""page_index"":2,""viewing_time"":8974},{""page_index"":3,""viewing_time"":3957}]",29
,,,,,,,,,,,,,323101,,,323102,,,instructions,"[{""page_index"":0,""viewing_time"":174480},{""page_index"":1,""viewing_time"":83389},{""page_index"":2,""viewing_time"":37047},{""page_index"":3,""viewing_time"":28184}]",30
,,,,,,,,,,,,,127288,,,127289,,,instructions,"[{""page_index"":0,""viewing_time"":31436},{""page_index"":1,""viewing_time"":30122},{""page_index"":2,""viewing_time"":41206},{""page_index"":3,""viewing_time"":24524}]",31
,,,,,,,,,,,,,269850,,,269852,,,instructions,"[{""page_index"":0,""viewing_time"":81465},{""page_index"":1,""viewing_time"":69628},{""page_index"":2,""viewing_time"":80278},{""page_index"":3,""viewing_time"":38478}]",32
,,,,,,,,,,,,,180679,,,180680,,,instructions,"[{""page_index"":0,""viewing_time"":73470},{""page_index"":1,""viewing_time"":41800},{""page_index"":2,""viewing_time"":32903},{""page_index"":3,""viewing_time"":32505}]",33
,,,,,,,,,,,,,121206,,,121208,,,instructions,"[{""page_index"":0,""viewing_time"":32711},{""page_index"":1,""viewing_time"":9810},{""page_index"":2,""viewing_time"":55509},{""page_index"":3,""viewing_time"":23175}]",34
,,,,,,,,,,,,,88294,,,259336,,,instructions,"[{""page_index"":0,""viewing_time"":18722},{""page_index"":1,""viewing_time"":21510},{""page_index"":2,""viewing_time"":41345},{""page_index"":3,""viewing_time"":6716}]",34
,,,,,,,,,,,,,115505,,,115507,,,instructions,"[{""page_index"":0,""viewing_time"":27530},{""page_index"":1,""viewing_time"":4315},{""page_index"":2,""viewing_time"":53074},{""page_index"":3,""viewing_time"":30585}]",35
,,,,,,,,,,,,,64060,,,64061,,,instructions,"[{""page_index"":0,""viewing_time"":11908},{""page_index"":1,""viewing_time"":10336},{""page_index"":2,""viewing_time"":21239},{""page_index"":3,""viewing_time"":20576}]",36
