PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
featureBased,3.22,0.01,True,3,24,4,True,after_each_move,0.25,full,149,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",322.25,"[3, 13, 6, 5, 15, 14]",True,1.6
objectLevel,2.35,0.01,True,6,24,4,True,after_each_move,0.25,full,150,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",235.25,"[3, 11, 13, 7, 12, 8]",True,1.6
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,151,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-4.0,"[9, 12, 13, 2, 7, 6]",True,1.6
objectLevel,0.0,0.01,False,8,24,4,True,after_each_move,4.0,full,152,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",,,True,1.6
featureBased,0.0,0.01,True,4,24,4,True,after_each_move,1.0,full,153,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",-61.0,"[8, 4, 14, 6, 10, 9]",True,1.6
objectLevel,1.75,0.01,True,6,24,4,True,after_each_move,0.25,full,154,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",175.0,"[0, 1, 13, 11, 12, 5]",True,1.6
objectLevel,2.18,0.01,True,6,24,4,True,after_each_move,0.25,full,155,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",218.25,"[12, 4, 15, 10, 1, 14]",True,1.6
featureBased,0.0,0.01,False,3,24,4,True,after_each_move,0.25,full,156,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",,,True,1.6
none,2.84,0.01,True,0,24,4,False,after_each_move,0.25,none,157,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",283.75,"[3, 2, 10, 7, 8, 0]",True,1.6
none,3.33,0.01,True,0,24,4,False,after_each_move,0.25,none,158,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",332.5,"[6, 13, 7, 14, 2, 8]",True,1.6
none,0.08,0.01,True,2,24,4,False,after_each_move,4.0,none,159,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",8.0,"[12, 2, 3, 7, 9, 0]",True,1.6
featureBased,1.67,0.01,True,4,24,4,True,after_each_move,1.0,full,160,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",167.0,"[8, 1, 13, 4, 14, 7]",True,1.6
featureBased,0.84,0.01,True,5,24,4,True,after_each_move,4.0,full,161,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",84.0,"[15, 12, 0, 13, 14, 6]",True,1.6
none,0.0,0.01,True,1,24,4,False,after_each_move,1.0,none,162,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",-16.0,"[0, 3, 14, 13, 11, 12]",True,1.6
featureBased,3.44,0.01,True,3,24,4,True,after_each_move,0.25,full,163,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",343.75,"[8, 6, 7, 4, 11, 10]",True,1.6
objectLevel,2.41,0.01,True,6,24,4,True,after_each_move,0.25,full,164,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",241.0,"[15, 14, 3, 12, 5, 11]",True,1.6
featureBased,2.34,0.01,True,4,24,4,True,after_each_move,1.0,full,165,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",234.0,"[1, 3, 7, 5, 10, 8]",True,1.6
featureBased,0.16,0.01,True,5,24,4,True,after_each_move,4.0,full,166,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",16.0,"[0, 13, 9, 14, 6, 10]",True,1.6
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,167,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-164.0,"[0, 11, 15, 1, 13, 5]",True,1.6
featureBased,2.45,0.01,True,4,24,4,True,after_each_move,1.0,full,168,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",245.0,"[14, 8, 9, 13, 1, 5]",True,1.6
objectLevel,3.02,0.01,True,6,24,4,True,after_each_move,0.25,full,169,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",301.75,"[7, 4, 12, 3, 15, 14]",True,1.6
none,1.21,0.01,True,1,24,4,False,after_each_move,1.0,none,170,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",121.0,"[14, 2, 7, 0, 8, 3]",True,1.6
