PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
none,2.28,0.01,True,0,24,4,False,after_each_move,1.25,full,43,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",227.5,"[10, 1, 13, 0, 7, 3]",True,2.3
featureBased,1.68,0.01,True,2,24,4,True,after_each_move,1.25,full,44,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",167.5,"[2, 15, 9, 7, 5, 14]",True,2.3
none,0.0,0.01,False,1,24,4,False,after_each_move,1.25,simple,45,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,2.3
featureBased,2.18,0.01,True,2,24,4,True,after_each_move,1.25,full,46,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",217.75,"[12, 1, 15, 7, 3, 14]",True,2.3
none,0.0,0.01,False,1,24,4,False,after_each_move,1.25,simple,47,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,2.3
featureBased,1.37,0.01,True,3,24,4,True,after_each_move,1.25,simple,48,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",136.75,"[15, 4, 12, 13, 1, 3]",True,2.3
none,2.14,0.01,True,1,24,4,False,after_each_move,1.25,simple,49,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",213.75,"[4, 13, 8, 2, 3, 5]",True,2.3
none,2.23,0.01,True,0,24,4,False,after_each_move,1.25,full,50,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",223.0,"[12, 6, 7, 5, 9, 3]",True,2.3
none,0.0,0.01,True,1,24,4,False,after_each_move,1.25,simple,51,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",-24.0,"[4, 12, 9, 1, 5, 2]",True,2.3
featureBased,2.23,0.01,True,3,24,4,True,after_each_move,1.25,simple,52,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",222.75,"[12, 5, 4, 10, 3, 11]",True,2.3
none,1.28,0.01,True,1,24,4,False,after_each_move,1.25,simple,53,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",128.0,"[2, 6, 8, 14, 3, 11]",True,2.3
none,0.0,0.01,False,0,24,4,False,after_each_move,1.25,full,54,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,2.3
featureBased,0.25,0.01,True,2,24,4,True,after_each_move,1.25,full,55,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",25.25,"[11, 3, 5, 13, 12, 14]",True,2.3
none,2.04,0.01,True,1,24,4,False,after_each_move,1.25,simple,56,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",204.0,"[7, 13, 2, 4, 8, 11]",True,2.3
