pid,temp,p_error,logp,satisfice,prune,model,trial_idx
3,1e-10,1.0,-15.972912641113323,5,-30,breadth_first,16
3,1e-10,1.0,-15.972912641113323,5,-30,progressive_deepening,16
3,1e-05,1.0,-15.972912641113323,5,-30,best_first,16
3,0.4498432668969444,0.01,-13.49991865152072,,,optimal,16
3,1e-10,1.0,-15.972912641113323,,,random,16
3,1e-10,0.73,-6.76883995007713,5,-30,depth_first,17
3,1e-10,0.73,-6.76883995007713,5,-30,breadth_first,17
3,1e-10,0.73,-6.76883995007713,5,-30,progressive_deepening,17
3,1e-05,0.73,-6.76883995007713,5,-30,best_first,17
3,1e-05,0.01,-3.4215794435813742,,,optimal,17
3,1e-10,1.0,-7.447751280047908,,,random,17
3,1e-10,0.8300000000000001,-9.381105804877004,5,-30,depth_first,18
3,1e-10,0.8300000000000001,-9.381105804877004,5,-30,breadth_first,18
3,1e-10,0.8300000000000001,-9.381105804877004,5,-30,progressive_deepening,18
3,1e-05,0.8300000000000001,-9.381105804877004,5,-30,best_first,18
3,1e-05,0.01,-4.8141660364000645,,,optimal,18
3,1e-10,1.0,-9.750336373041954,,,random,18
3,1e-10,0.55,-3.864301788447619,5,-30,depth_first,19
3,1e-10,0.55,-3.864301788447619,5,-30,breadth_first,19
3,1e-10,0.55,-3.864301788447619,5,-30,progressive_deepening,19
3,1e-05,0.55,-3.864301788447619,5,-30,best_first,19
3,1e-05,0.01,-1.8063675729911355,,,optimal,19
3,1e-10,1.0,-5.049856007249537,,,random,19
3,1e-10,0.9500000000000001,-13.983364371545422,5,-30,depth_first,20
3,1e-10,0.9500000000000001,-13.983364371545422,5,-30,breadth_first,20
3,1e-10,0.9500000000000001,-13.983364371545422,5,-30,progressive_deepening,20
3,1e-05,0.9500000000000001,-13.983364371545422,5,-30,best_first,20
3,1e-05,0.26,-10.928757134878204,,,optimal,20
3,1e-10,1.0,-14.02700249205801,,,random,20
3,1e-10,0.55,-3.864301788447619,5,-30,depth_first,21
3,1e-10,0.55,-3.864301788447619,5,-30,breadth_first,21
3,1e-10,0.55,-3.864301788447619,5,-30,progressive_deepening,21
3,1e-05,0.55,-3.864301788447619,5,-30,best_first,21
3,1e-05,0.01,-1.8063675729911355,,,optimal,21
3,1e-10,1.0,-5.049856007249537,,,random,21
3,1e-10,0.9500000000000001,-13.983364371545422,5,-30,depth_first,22
3,1e-10,0.9500000000000001,-13.983364371545422,5,-30,breadth_first,22
3,1e-10,0.9500000000000001,-13.983364371545422,5,-30,progressive_deepening,22
3,1e-05,0.9500000000000001,-13.983364371545422,5,-30,best_first,22
3,1e-05,0.01,-6.620506064393825,,,optimal,22
3,1e-10,1.0,-14.02700249205801,,,random,22
3,1e-10,0.55,-3.864301788447619,5,-30,depth_first,23
3,1e-10,0.55,-3.864301788447619,5,-30,breadth_first,23
3,1e-10,0.55,-3.864301788447619,5,-30,progressive_deepening,23
3,1e-05,0.55,-3.864301788447619,5,-30,best_first,23
3,1e-05,0.01,-1.8063675729911355,,,optimal,23
3,1e-10,1.0,-5.049856007249537,,,random,23
3,1e-10,1.0,-15.972912641113323,5,-30,depth_first,24
3,1e-10,1.0,-15.972912641113323,5,-30,breadth_first,24
3,1e-10,1.0,-15.972912641113323,5,-30,progressive_deepening,24
3,1e-05,1.0,-15.972912641113323,5,-30,best_first,24
3,1e-05,0.01,-6.629114438930426,,,optimal,24
3,1e-10,1.0,-15.972912641113323,,,random,24
3,1e-10,0.9,-11.78121634810736,5,-30,depth_first,25
3,1e-10,0.9,-11.78121634810736,5,-30,breadth_first,25
3,1e-10,0.9,-11.78121634810736,5,-30,progressive_deepening,25
3,1e-05,0.9,-11.78121634810736,5,-30,best_first,25
3,1e-05,0.01,-5.91969082609729,,,optimal,25
3,1e-10,1.0,-11.947560950378174,,,random,25
3,1e-10,1.0,-15.972912641113323,5,-30,depth_first,26
3,1e-10,1.0,-15.972912641113323,5,-30,breadth_first,26
3,1e-10,1.0,-15.972912641113323,5,-30,progressive_deepening,26
3,1e-05,1.0,-15.972912641113323,5,-30,best_first,26
