bonus,bonusRate,branching,completed,condition,inspectCost,pid,startTime,with_feedback,version
0.09,0.002,312,True,0.0,1,67,Tue Feb 27 2018 16:59:33 GMT-0500 (Eastern Standard Time),False,1A.5
1.66,0.002,312,True,0.0,1,68,Tue Feb 27 2018 17:20:19 GMT-0800 (Pacific Standard Time),False,1A.5
1.51,0.002,312,True,0.0,1,69,Tue Feb 27 2018 17:22:18 GMT-0500 (Eastern Standard Time),False,1A.5
1.55,0.002,312,True,1.0,1,70,Tue Feb 27 2018 14:49:35 GMT-0800 (Pacific Standard Time),True,1A.5
0.15,0.002,312,True,0.0,1,71,Wed Feb 28 2018 12:17:22 GMT-0500 (Eastern Standard Time),False,1A.5
1.54,0.002,312,True,0.0,1,72,Wed Feb 28 2018 12:18:36 GMT-0500 (Eastern Standard Time),False,1A.5
0.0,0.002,312,True,0.0,1,73,Tue Feb 27 2018 16:36:21 GMT-0600 (Central Standard Time),False,1A.5
1.71,0.002,312,True,1.0,1,74,Wed Feb 28 2018 12:52:32 GMT-0600 (CST),True,1A.5
1.19,0.002,312,True,0.0,1,75,Wed Feb 28 2018 10:45:37 GMT-0800 (Pacific Standard Time),False,1A.5
1.53,0.002,312,True,1.0,1,76,Tue Feb 27 2018 17:52:30 GMT-0500 (Eastern Standard Time),True,1A.5
1.5,0.002,312,True,0.0,1,77,Tue Feb 27 2018 19:09:02 GMT-0500 (Eastern Standard Time),False,1A.5
1.47,0.002,312,True,0.0,1,78,Tue Feb 27 2018 17:16:29 GMT-0500 (Eastern Standard Time),False,1A.5
0.62,0.002,312,True,0.0,1,79,Tue Feb 27 2018 17:07:53 GMT-0500 (Eastern Standard Time),False,1A.5
0.2,0.002,312,True,1.0,1,80,Tue Feb 27 2018 17:05:08 GMT-0500 (Eastern Standard Time),True,1A.5
1.79,0.002,312,True,,1,81,Tue Feb 27 2018 16:18:34 GMT-0500 (Eastern Standard Time),,1A.5
1.24,0.002,312,True,0.0,1,82,Wed Feb 28 2018 11:24:36 GMT-0700 (US Mountain Standard Time),False,1A.5
1.93,0.002,312,True,0.0,1,83,Wed Feb 28 2018 12:22:04 GMT-0500 (Eastern Standard Time),False,1A.5
1.52,0.002,312,True,1.0,1,84,Wed Feb 28 2018 12:16:51 GMT-0500 (EST),True,1A.5
1.32,0.002,312,True,1.0,1,85,Tue Feb 27 2018 22:42:06 GMT-0500 (EST),True,1A.5
1.76,0.002,312,True,0.0,1,86,Tue Feb 27 2018 19:33:38 GMT-0500 (EST),False,1A.5
1.59,0.002,312,True,1.0,1,87,Wed Feb 28 2018 12:52:12 GMT-0500 (Eastern Standard Time),True,1A.5
1.61,0.002,312,True,1.0,1,88,Tue Feb 27 2018 16:59:10 GMT-0600 (Central Standard Time),True,1A.5
1.62,0.002,312,True,0.0,1,89,Tue Feb 27 2018 15:15:36 GMT-0700 (Mountain Standard Time),False,1A.5
1.55,0.002,312,True,1.0,1,90,Tue Feb 27 2018 17:34:04 GMT-0600 (Central Standard Time),True,1A.5
1.61,0.002,312,True,1.0,1,91,Tue Feb 27 2018 20:35:08 GMT-0600 (Central Standard Time),True,1A.5
0.0,0.002,312,True,0.0,1,92,Wed Feb 28 2018 12:16:46 GMT-0500 (Eastern Standard Time),False,1A.5
1.3,0.002,312,True,1.0,1,93,Wed Feb 28 2018 11:18:27 GMT-0600 (Central Standard Time),True,1A.5
1.54,0.002,312,True,0.0,1,94,Tue Feb 27 2018 15:58:36 GMT-0600 (Central Standard Time),False,1A.5
1.68,0.002,312,True,0.0,1,95,Tue Feb 27 2018 17:11:55 GMT-0500 (Eastern Standard Time),False,1A.5
1.66,0.002,312,True,1.0,1,96,Wed Feb 28 2018 11:17:17 GMT-0600 (Central Standard Time),True,1A.5
1.67,0.002,312,True,1.0,1,97,Tue Feb 27 2018 16:53:08 GMT-0600 (CST),True,1A.5
