PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,time_limit,version
none,1.39,0.01,True,1,24,4,False,after_each_move,1.25,none,73,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",139.25,True,1.8
none,0.0,0.01,True,1,24,4,False,after_each_move,1.25,none,74,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",-24.0,True,1.8
none,3.05,0.01,True,0,24,4,False,after_each_move,0.1,none,75,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",305.0,True,1.8
none,0.58,0.01,True,1,24,4,False,after_each_move,1.25,none,76,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",58.25,True,1.8
none,1.2,0.01,True,1,24,4,False,after_each_move,1.25,none,77,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",120.0,True,1.8
none,0.0,0.01,True,0,24,4,False,after_each_move,0.1,none,78,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",-18.2,True,1.8
none,0.41,0.01,True,1,24,4,False,after_each_move,1.25,none,79,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",40.5,True,1.8
none,0.07,0.01,True,0,24,4,False,after_each_move,0.1,none,80,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",7.4,True,1.8
none,3.41,0.01,True,0,24,4,False,after_each_move,0.1,none,81,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",340.9,True,1.8
none,0.14,0.01,True,0,24,4,False,after_each_move,0.1,none,82,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",14.3,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,83,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-100.0,True,1.8
none,3.25,0.01,True,0,24,4,False,after_each_move,0.1,none,84,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",324.7,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,85,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-48.0,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,86,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-40.0,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,87,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-56.0,True,1.8
none,0.0,0.01,True,1,24,4,False,after_each_move,1.25,none,88,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",-13.75,True,1.8
none,3.35,0.01,True,0,24,4,False,after_each_move,0.1,none,89,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",334.6,True,1.8
none,0.72,0.01,True,2,24,4,False,after_each_move,4.0,none,90,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",72.0,True,1.8
none,1.23,0.01,True,1,24,4,False,after_each_move,1.25,none,91,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",123.25,True,1.8
none,1.44,0.01,True,1,24,4,False,after_each_move,1.25,none,92,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",143.5,True,1.8
none,0.0,0.01,False,2,24,4,False,after_each_move,4.0,none,93,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",,True,1.8
none,0.0,0.01,False,0,24,4,False,after_each_move,0.1,none,94,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,95,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-116.0,True,1.8
none,0.0,0.01,False,2,24,4,False,after_each_move,4.0,none,96,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",,True,1.8
none,3.48,0.01,True,0,24,4,False,after_each_move,0.1,none,97,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",348.5,True,1.8
none,0.31,0.01,True,1,24,4,False,after_each_move,1.25,none,98,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",30.75,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,99,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-60.0,True,1.8
none,1.34,0.01,True,1,24,4,False,after_each_move,1.25,none,100,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",133.75,True,1.8
none,0.88,0.01,True,0,24,4,False,after_each_move,0.1,none,101,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",88.0,True,1.8
none,0.0,0.01,True,1,24,4,False,after_each_move,1.25,none,102,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",-75.75,True,1.8
