action_times,actions,button_pressed,correct,delays,information_used_correctly,key_press,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[7002, 8002, 10002]","[u'right', u'right', u'down']",,,[],[],,"[u'1', 2, 6, 11]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [2, 3, 4, 5, 6, 11], u'time': [1005, 2005, 3005, 4006, 6223, 9006]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,[],52.0,,262928,5.0,8.0,mouselab-mdp,,1
"[7001, 8002, 10002]","[u'up', u'up', u'right']",,,[],[],,"[u'1', 3, 7, 13]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [2, 6, 3, 4, 7, 12], u'time': [1006, 3849, 4005, 5005, 6005, 9006]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,[],49.0,,278455,6.0,4.0,mouselab-mdp,,1
"[7001, 8001, 10002]","[u'down', u'down', u'right']",,,[],[],,"[u'1', 5, 9, 17]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [2, 3, 4, 8, 5, 9, 16], u'time': [1005, 2005, 3005, 4005, 5005, 6005, 9005]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,[],44.0,,293880,7.0,9.0,mouselab-mdp,,1
"[5001, 6001, 8001]","[u'up', u'up', u'left']",,,[],[],,"[u'1', 3, 7, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [2, 3, 4, 7, 12], u'time': [1006, 2666, 3019, 4005, 7004]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,[],47.0,,306020,8.0,12.0,mouselab-mdp,,1
"[12602, 14603, 16000]","[u'right', u'right', u'down']",,,[],[],,"[u'1', 2, 6, 11]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [2, 3, 4, 5, 7, 6, 9, 8, 16, 17, 11], u'time': [1005, 2005, 3005, 4006, 5005, 6005, 7005, 8005, 9005, 11094, 15004]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,[],17.0,,326759,9.0,11.0,mouselab-mdp,,1
"[7001, 8001, 10001]","[u'up', u'up', u'right']",,,[],[],,"[u'1', 3, 7, 13]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [2, 6, 3, 4, 7, 12], u'time': [2843, 3005, 4005, 5005, 6004, 9005]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,[],49.0,,345258,10.0,3.0,mouselab-mdp,,1
"[2382, 8390, 10059]","[u'up', u'up', u'left']",,,[],[],,"[u'1', 3, 7, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2381, 5496, 1166]",14.0,,402338,11.0,0.0,mouselab-mdp,,1
"[4017, 7544, 12143]","[u'down', u'down', u'right']",,,[],[],,"[u'1', 5, 9, 17]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'17', u'16'], u'time': [2710, 9384, 10861]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4017, 3021, 4096]",21.0,,452893,12.0,6.0,mouselab-mdp,,1
"[6420, 9086, 14963]","[u'down', u'down', u'left']",,,[],[],,"[u'1', 5, 9, 16]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'2', u'3', u'5', u'17', u'16'], u'time': [1503, 3399, 4302, 5006, 11271, 12366]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[6419, 2171, 5370]",0.0,,522685,13.0,5.0,mouselab-mdp,,1
"[10912, 11870, 15797]","[u'up', u'up', u'left']",,,[],[],,"[u'1', 3, 7, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'4', u'5', u'7', u'9', u'13', u'12'], u'time': [2327, 3118, 3910, 4886, 6069, 7126, 13693, 14494]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10912, 455, 3417]",41.0,,575733,14.0,15.0,mouselab-mdp,,1
