PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,score,test_idx,version
none,2.4,0.005,True,0,18,8,False,after_each_move,1,none,126,480.0,"[1, 0, 7, 15, 10, 14]",1C.0
featureBased,1.68,0.005,True,1,18,8,True,after_each_move,1,full,127,336.0,"[7, 15, 0, 5, 12, 2]",1C.0
featureBased,3.35,0.005,True,1,18,8,True,after_each_move,1,full,128,670.0,"[15, 9, 4, 1, 11, 3]",1C.0
featureBased,0.0,0.005,False,1,18,8,True,after_each_move,1,full,129,,,1C.0
none,2.62,0.005,True,0,18,8,False,after_each_move,1,none,130,524.0,"[9, 10, 3, 1, 12, 2]",1C.0
none,3.16,0.005,True,0,18,8,False,after_each_move,1,none,131,631.0,"[7, 12, 13, 11, 10, 1]",1C.0
demonstration,3.35,0.005,True,2,18,8,False,after_each_move,1,full,132,669.0,"[2, 13, 9, 6, 5, 8]",1C.0
none,2.79,0.005,True,0,18,8,False,after_each_move,1,none,133,558.0,"[13, 3, 9, 4, 14, 2]",1C.0
featureBased,2.76,0.005,True,1,18,8,True,after_each_move,1,full,134,552.0,"[7, 10, 1, 8, 5, 15]",1C.0
demonstration,3.44,0.005,True,2,18,8,False,after_each_move,1,full,135,687.0,"[15, 7, 2, 4, 13, 5]",1C.0
none,0.0,0.005,False,0,18,8,False,after_each_move,1,none,136,,,1C.0
demonstration,0.0,0.005,False,2,18,8,False,after_each_move,1,full,137,,,1C.0
none,0.89,0.005,True,0,18,8,False,after_each_move,1,none,138,178.0,"[9, 6, 0, 3, 15, 10]",1C.0
none,2.81,0.005,True,0,18,8,False,after_each_move,1,none,139,561.0,"[6, 13, 8, 9, 12, 3]",1C.0
demonstration,3.32,0.005,True,2,18,8,False,after_each_move,1,full,140,664.0,"[15, 4, 5, 14, 2, 1]",1C.0
none,1.68,0.005,True,0,18,8,False,after_each_move,1,none,141,335.0,"[1, 3, 11, 4, 14, 0]",1C.0
featureBased,2.3,0.005,True,1,18,8,True,after_each_move,1,full,142,459.0,"[4, 13, 3, 15, 12, 9]",1C.0
none,3.08,0.005,True,0,18,8,False,after_each_move,1,none,143,615.0,"[2, 13, 15, 6, 4, 7]",1C.0
featureBased,2.56,0.005,True,1,18,8,True,after_each_move,1,full,144,512.0,"[5, 8, 12, 10, 7, 0]",1C.0
featureBased,2.52,0.005,True,1,18,8,True,after_each_move,1,full,145,504.0,"[5, 6, 14, 10, 9, 0]",1C.0
demonstration,3.26,0.005,True,2,18,8,False,after_each_move,1,full,146,651.0,"[8, 6, 10, 4, 0, 3]",1C.0
featureBased,3.04,0.005,True,1,18,8,True,after_each_move,1,full,147,607.0,"[9, 5, 10, 12, 3, 8]",1C.0
none,1.17,0.005,True,0,18,8,False,after_each_move,1,none,148,234.0,"[15, 9, 3, 6, 14, 7]",1C.0
demonstration,3.46,0.005,True,2,18,8,False,after_each_move,1,full,149,691.0,"[3, 9, 4, 13, 2, 15]",1C.0
demonstration,3.02,0.005,True,2,18,8,False,after_each_move,1,full,150,603.0,"[5, 15, 13, 2, 8, 0]",1C.0
none,2.59,0.005,True,0,18,8,False,after_each_move,1,none,151,517.0,"[1, 2, 15, 7, 4, 5]",1C.0
featureBased,0.74,0.005,True,1,18,8,True,after_each_move,1,full,152,147.0,"[2, 11, 9, 4, 8, 7]",1C.0
demonstration,2.84,0.005,True,2,18,8,False,after_each_move,1,full,153,568.0,"[6, 9, 12, 15, 3, 2]",1C.0
featureBased,3.07,0.005,True,1,18,8,True,after_each_move,1,full,154,613.0,"[4, 2, 6, 9, 14, 10]",1C.0
demonstration,3.41,0.005,True,2,18,8,False,after_each_move,1,full,155,681.0,"[14, 1, 9, 10, 2, 4]",1C.0
none,0.0,0.005,False,0,18,8,False,after_each_move,1,none,156,,,1C.0
featureBased,0.0,0.005,False,1,18,8,True,after_each_move,1,full,157,,,1C.0
none,3.04,0.005,True,0,18,8,False,after_each_move,1,none,158,608.0,"[1, 11, 6, 14, 9, 13]",1C.0
demonstration,3.26,0.005,True,2,18,8,False,after_each_move,1,full,159,651.0,"[9, 0, 6, 1, 2, 7]",1C.0
none,0.83,0.005,True,0,18,8,False,after_each_move,1,none,160,165.0,"[4, 13, 7, 14, 12, 1]",1C.0
demonstration,3.13,0.005,True,2,18,8,False,after_each_move,1,full,161,626.0,"[0, 14, 11, 2, 6, 10]",1C.0
none,1.01,0.005,True,0,18,8,False,after_each_move,1,none,162,201.0,"[0, 10, 12, 1, 4, 11]",1C.0
featureBased,2.96,0.005,True,1,18,8,True,after_each_move,1,full,163,591.0,"[5, 7, 10, 0, 14, 13]",1C.0
none,2.07,0.005,True,0,18,8,False,after_each_move,1,none,164,414.0,"[9, 4, 5, 7, 1, 15]",1C.0
demonstration,3.41,0.005,True,2,18,8,False,after_each_move,1,full,165,682.0,"[2, 7, 15, 1, 6, 14]",1C.0
none,1.97,0.005,True,0,18,8,False,after_each_move,1,none,166,394.0,"[4, 9, 7, 0, 13, 6]",1C.0
featureBased,2.57,0.005,True,1,18,8,True,after_each_move,1,full,167,513.0,"[11, 13, 2, 5, 3, 7]",1C.0
featureBased,2.61,0.005,True,1,18,8,True,after_each_move,1,full,168,522.0,"[10, 2, 14, 7, 4, 8]",1C.0
none,2.62,0.005,True,0,18,8,False,after_each_move,1,none,169,524.0,"[3, 5, 13, 0, 1, 15]",1C.0
none,2.5,0.005,True,0,18,8,False,after_each_move,1,none,170,500.0,"[5, 13, 4, 2, 11, 8]",1C.0
