,pid,info_cost,PR_type,message,trial_index,trial_i,delays,score,n_click,clicks,click_times,path,action_times
52,3,1,featureBased,full,5,11,"[0, 0, 0]",22.0,6,"[7, 8, 9, 6, 10, 11]","[1733, 3535, 4541, 5603, 7454, 8753]","[1, 2, 6, 11]","[10976, 16810, 18735]"
53,3,1,featureBased,full,6,4,"[1, 0, 0]",48.0,7,"[7, 8, 9, 6, 13, 16, 12]","[1763, 2731, 3796, 4630, 5610, 7718, 12377]","[1, 3, 7, 13]","[14113, 23293, 24616]"
54,3,1,featureBased,full,7,15,"[7, 0, 0]",8.0,6,"[7, 8, 9, 6, 13, 11]","[1388, 2716, 3705, 4626, 6143, 8607]","[1, 2, 6, 11]","[10666, 25726, 26928]"
55,3,1,featureBased,full,8,8,"[0, 0, 0]",53.0,5,"[7, 8, 9, 6, 11]","[1435, 2685, 3735, 4815, 5895]","[1, 2, 6, 11]","[7027, 12951, 14482]"
56,3,1,featureBased,full,9,1,"[0, 0, 0]",34.0,6,"[6, 7, 8, 9, 13, 12]","[1569, 2724, 3811, 4845, 5847, 9341]","[1, 3, 7, 13]","[10236, 16538, 17702]"
57,3,1,featureBased,full,10,13,"[1, 0, 0]",42.0,8,"[7, 8, 9, 6, 13, 14, 15, 12]","[1756, 3085, 4100, 5266, 6883, 9016, 12758, 15463]","[1, 3, 7, 12]","[16482, 25105, 26165]"
58,3,1,featureBased,full,11,0,[],57.0,5,"[7, 8, 9, 6, 14]","[742, 1628, 2596, 3416, 4345]","[1, 4, 8, 14]","[5462, 6633, 7254]"
59,3,1,featureBased,full,12,6,[],53.0,4,"[7, 6, 10, 11]","[955, 2078, 3304, 4469]","[1, 2, 6, 11]","[5349, 6294, 7145]"
60,3,1,featureBased,full,13,10,[],12.0,4,"[6, 10, 17, 16]","[972, 2344, 11186, 15122]","[1, 5, 9, 17]","[6916, 16283, 17630]"
61,3,1,featureBased,full,14,2,[],53.0,2,"[7, 13]","[4589, 5711]","[1, 3, 7, 13]","[7609, 8818, 9937]"
62,3,1,featureBased,full,15,7,[],22.0,6,"[7, 6, 9, 8, 14, 11]","[1458, 2499, 3626, 4679, 9238, 23838]","[1, 4, 8, 14]","[31702, 32955, 34272]"
63,3,1,featureBased,full,16,9,[],46.0,5,"[7, 6, 9, 16, 17]","[1422, 2598, 4181, 5797, 6931]","[1, 5, 9, 17]","[8043, 9101, 9924]"
