action_times,actions,button_pressed,correct,delays,information_used_correctly,key_press,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,,4368,,,414600,,,instructions,"[{""page_index"":0,""viewing_time"":991},{""page_index"":1,""viewing_time"":936},{""page_index"":2,""viewing_time"":1696},{""page_index"":3,""viewing_time"":745}]",21
,,,,,,,,,,,,,136245,,,136246,,,instructions,"[{""page_index"":0,""viewing_time"":50011},{""page_index"":1,""viewing_time"":27945},{""page_index"":2,""viewing_time"":36123},{""page_index"":3,""viewing_time"":22165}]",22
,,,,,,,,,,,,,101337,,,101338,,,instructions,"[{""page_index"":0,""viewing_time"":66000},{""page_index"":1,""viewing_time"":17738},{""page_index"":2,""viewing_time"":13173},{""page_index"":3,""viewing_time"":4424}]",23
,,,,,,,,,,,,,181210,,,181210,,,instructions,"[{""page_index"":0,""viewing_time"":47619},{""page_index"":1,""viewing_time"":25334},{""page_index"":2,""viewing_time"":4130},{""page_index"":3,""viewing_time"":104126}]",24
,,,,,,,,,,,,,197461,,,197463,,,instructions,"[{""page_index"":0,""viewing_time"":87430},{""page_index"":1,""viewing_time"":41876},{""page_index"":2,""viewing_time"":39711},{""page_index"":3,""viewing_time"":28443}]",25
,,,,,,,,,,,,,171992,,,171993,,,instructions,"[{""page_index"":0,""viewing_time"":94884},{""page_index"":1,""viewing_time"":51857},{""page_index"":2,""viewing_time"":25249}]",26
,,,,,,,,,,,,,165747,,,165749,,,instructions,"[{""page_index"":0,""viewing_time"":59283},{""page_index"":1,""viewing_time"":57655},{""page_index"":2,""viewing_time"":14623},{""page_index"":3,""viewing_time"":34182}]",27
,,,,,,,,,,,,,104009,,,104012,,,instructions,"[{""page_index"":0,""viewing_time"":41680},{""page_index"":1,""viewing_time"":33234},{""page_index"":2,""viewing_time"":5473},{""page_index"":3,""viewing_time"":23620}]",28
,,,,,,,,,,,,,195566,,,195566,,,instructions,"[{""page_index"":0,""viewing_time"":87612},{""page_index"":1,""viewing_time"":68881},{""page_index"":2,""viewing_time"":39072}]",29
,,,,,,,,,,,,,40115,,,312257,,,instructions,"[{""page_index"":0,""viewing_time"":23356},{""page_index"":1,""viewing_time"":10029},{""page_index"":2,""viewing_time"":6729}]",29
,,,,,,,,,,,,,111082,,,111083,,,instructions,"[{""page_index"":0,""viewing_time"":38045},{""page_index"":1,""viewing_time"":56167},{""page_index"":2,""viewing_time"":16869}]",30
,,,,,,,,,,,,,96178,,,96179,,,instructions,"[{""page_index"":0,""viewing_time"":23812},{""page_index"":1,""viewing_time"":26626},{""page_index"":2,""viewing_time"":23056},{""page_index"":3,""viewing_time"":22684}]",31
,,,,,,,,,,,,,46099,,,188468,,,instructions,"[{""page_index"":0,""viewing_time"":16927},{""page_index"":1,""viewing_time"":7054},{""page_index"":2,""viewing_time"":21250},{""page_index"":3,""viewing_time"":868}]",31
,,,,,,,,,,,,,57051,,,57051,,,instructions,"[{""page_index"":0,""viewing_time"":23031},{""page_index"":1,""viewing_time"":23621},{""page_index"":2,""viewing_time"":10398}]",32
,,,,,,,,,,,,,213484,,,213486,,,instructions,"[{""page_index"":0,""viewing_time"":35035},{""page_index"":1,""viewing_time"":35968},{""page_index"":2,""viewing_time"":28824},{""page_index"":3,""viewing_time"":113656}]",33
,,,,,,,,,,,,,79024,,,79025,,,instructions,"[{""page_index"":0,""viewing_time"":24057},{""page_index"":1,""viewing_time"":21521},{""page_index"":2,""viewing_time"":24363},{""page_index"":3,""viewing_time"":9082}]",34
,,,,,,,,,,,,,65503,,,65504,,,instructions,"[{""page_index"":0,""viewing_time"":34142},{""page_index"":1,""viewing_time"":21775},{""page_index"":2,""viewing_time"":9585}]",35
,,,,,,,,,,,,,41098,,,41099,,,instructions,"[{""page_index"":0,""viewing_time"":7963},{""page_index"":1,""viewing_time"":21655},{""page_index"":2,""viewing_time"":11480}]",36
,,,,,,,,,,,,,106960,,,106961,,,instructions,"[{""page_index"":0,""viewing_time"":44753},{""page_index"":1,""viewing_time"":35756},{""page_index"":2,""viewing_time"":7436},{""page_index"":3,""viewing_time"":19013}]",37
,,,,,,,,,,,,,70200,,,70201,,,instructions,"[{""page_index"":0,""viewing_time"":28488},{""page_index"":1,""viewing_time"":20730},{""page_index"":2,""viewing_time"":4692},{""page_index"":3,""viewing_time"":16290}]",38
