action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,time_elapsed,trial_index,trial_id,trial_type,pid
"[6171, 6937, 8054]","[u'up', u'up', u'right']",train_basic,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, -10]","[6159, 185, 575]",0.0,"[None, None, None]",47546,3.0,-3.214860887015687e+18,mouselab-mdp,4
"[4126, 5387, 6080]","[u'right', u'right', u'up']",train_basic,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, 5, 10]","[4114, 717, 131]",10.0,"[None, None, None]",56170,4.0,7.645296890765741e+18,mouselab-mdp,4
"[1849, 2490, 3864]","[u'up', u'up', u'left']",train_basic,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 10]","[1838, 104, 770]",15.0,"[None, None, None]",64359,5.0,-4.4291516051404616e+18,mouselab-mdp,4
"[2185, 2860, 3458]","[u'right', u'right', u'up']",train_basic,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -5, 10]","[2176, 95, 47]",10.0,"[None, None, None]",72185,6.0,9.182422570892963e+18,mouselab-mdp,4
"[2712, 4044, 4748]","[u'left', u'left', u'down']",train_basic,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 5, 10]","[2697, 746, 146]",25.0,"[None, None, None]",80029,7.0,8.845312654804484e+18,mouselab-mdp,4
"[1033, 1716, 2316]","[u'right', u'right', u'up']",train_basic,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 5]","[1024, 53, 10]",10.0,"[None, None, None]",84533,8.0,-7.325569627557755e+18,mouselab-mdp,4
"[3837, 4509, 5237]","[u'up', u'up', u'right']",train_basic,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -10, 10]","[3829, 130, 178]",5.0,"[None, None, None]",92289,9.0,8.892810546696874e+17,mouselab-mdp,4
"[7276, 7844, 9413]","[u'up', u'up', u'left']",train_hidden,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-10, -10, 5]","[7267, 10, 1002]",-15.0,"[None, None, None]",106383,10.0,5.015924348765825e+18,mouselab-mdp,4
"[592, 1255, 2001]","[u'right', u'right', u'up']",train_hidden,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -10, 10]","[584, 125, 173]",10.0,"[None, None, None]",110684,11.0,4.49272063618337e+18,mouselab-mdp,4
"[526, 1229, 1894]","[u'right', u'right', u'down']",train_hidden,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, 5, -10]","[517, 114, 106]",-10.0,"[None, None, None]",114775,12.0,1.0328961532146797e+17,mouselab-mdp,4
"[572, 1290, 2095]","[u'left', u'left', u'down']",train_hidden,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, -5]","[564, 163, 260]",0.0,"[None, None, None]",119274,13.0,-8.685761292807083e+18,mouselab-mdp,4
"[624, 1279, 2800]","[u'up', u'up', u'left']",train_hidden,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -10, -10]","[616, 60, 973]",-10.0,"[None, None, None]",124318,14.0,7.211868466475451e+18,mouselab-mdp,4
"[21175, 21735, 23121]","[u'up', u'up', u'left']",train_inspector,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'7', u'3', u'4', u'11', u'9', u'12', u'1', u'2'], u'time': [8570, 9671, 10972, 11811, 14215, 16322, 18142, 19316, 20286]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -10, 10]","[21167, 4, 817]",10.0,"[None, None, None]",152755,15.0,7.434111409514572e+18,mouselab-mdp,4
"[10213, 11316, 11998]","[u'up', u'up', u'left']",train_inspector,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'4', u'11', u'12', u'9', u'8', u'5', u'7'], u'time': [1610, 3265, 4192, 4955, 5727, 6947, 7813, 8563]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 10]","[10203, 541, 140]",20.0,"[None, None, None]",166887,16.0,-8.208271881207171e+18,mouselab-mdp,4
"[13651, 14346, 15122]","[u'right', u'right', u'up']",train_inspector,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'11', u'12', u'9', u'8', u'7', u'5', u'6', u'10'], u'time': [1634, 2486, 3520, 4289, 5643, 7149, 8952, 10163, 10978, 12021]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 5, 5]","[13642, 94, 207]",20.0,"[None, None, None]",184245,17.0,-7.299700932651748e+18,mouselab-mdp,4
