action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[17936, 18595, 19206, 19744, 20768]","[u'right', u'right', u'right', u'up', u'left']",test,"[u'0', u'12', u'13', u'14', u'15', u'18']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'17', u'22', u'5', u'9', u'29', u'32', u'31', u'27', u'28', u'16', u'18', u'20', u'21', u'33', u'6', u'7', u'10'], u'time': [1025, 1932, 2642, 3744, 4680, 5451, 6508, 7720, 8643, 9199, 9954, 10673, 11937, 12486, 13697, 14932, 15441, 16249]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, -2, 0, 0, 47]","[17922, 137, 84, 5, 472]",27.0,"[None, None, None, None, None]","[u'', 0, 1, 5, 1, 17, -10, -43, -10, 2, -6, -21, 0, -2, 0, 0, -27, -74, 47, 3, -85, -14, 13, 0, 1, -4, 1, -2, -6, -7, 2, 30, -17, -13]",597589,23.0,22306.0,2.94409503949e+18,mouselab-mdp,50
"[14568, 15695, 16378, 16962, 18011]","[u'left', u'left', u'left', u'up', u'up']",test,"[u'0', u'23', u'24', u'25', u'26', u'27']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'29', u'31', u'5', u'11', u'9', u'6', u'16', u'21', u'17', u'22', u'20', u'28', u'27'], u'time': [1267, 2052, 3164, 3927, 4661, 5603, 6316, 7259, 8108, 8857, 9635, 10730, 11919]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[1, -2, 2, 3, 52]","[14544, 588, 159, 63, 524]",43.0,"[None, None, None, None, None]","[u'', 1, 3, 3, 0, 13, 40, -4, 6, -24, 12, -41, -1, 4, 1, 9, -86, -8, -6, -4, 4, -28, 40, 1, -2, 2, 3, 52, 34, -36, -6, 32, -42, 19]",618944,24.0,19905.0,8.69278459424e+18,mouselab-mdp,50
"[23675, 24779, 25464, 26113, 26741]","[u'up', u'up', u'up', u'left', u'left']",test,"[u'0', u'1', u'2', u'3', u'8', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'29', u'17', u'22', u'5', u'28', u'32', u'33', u'27', u'6', u'21', u'20', u'16', u'18', u'11', u'7', u'31', u'10'], u'time': [4039, 4756, 5582, 6784, 7582, 8428, 9192, 9878, 11067, 11976, 12760, 13411, 14403, 15454, 16982, 19866, 20693, 21573]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, 2, -7, -10, 47]","[23666, 581, 151, 117, 88]",14.0,"[None, None, None, None, None]","[u'', 0, 2, -7, 2, -4, 0, -28, -10, -15, -8, 47, 0, 0, 3, -13, 23, 29, 29, -3, -40, -32, 8, 1, 3, 6, 7, 1, 8, -8, 8, 19, 7, -40]",648595,25.0,28287.0,7.63808305668e+17,mouselab-mdp,50
"[11010, 11574, 12191, 12808, 13586]","[u'left', u'left', u'left', u'up', u'up']",test,"[u'0', u'23', u'24', u'25', u'26', u'27']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'29', u'21', u'16', u'5', u'6', u'11', u'9', u'32', u'31', u'28', u'27'], u'time': [1354, 2736, 3645, 4593, 5102, 5797, 6314, 7265, 7987, 8562, 9220]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, 1, 2, -7, 69]","[11001, 5, 76, 94, 241]",54.0,"[None, None, None, None, None]","[u'', 1, 3, -2, 6, -40, -18, 10, 17, 24, 9, -5, -1, 1, -1, 2, -28, 4, -49, 4, 42, 29, 68, 0, 1, 2, -7, 69, 32, -8, -7, 19, 27, 4]",665107,26.0,15032.0,-6.59883208131e+18,mouselab-mdp,50
"[5590, 6170, 6769, 7690, 8562]","[u'up', u'up', u'up', u'right', u'up']",test,"[u'0', u'1', u'2', u'3', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'17', u'5'], u'time': [1562, 2582, 3692]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, 3, -5, -9, 54]","[5575, 46, 78, 398, 336]",40.0,"[None, None, None, None, None]","[u'', 0, 3, -5, -9, 54, 19, -60, 4, 8, -69, -12, 0, 1, 4, 1, 33, -5, -27, -7, 17, -63, 22, -1, -1, 2, 10, -62, -26, 2, -5, 28, -67, 12]",678001,27.0,11606.0,-6.44000697273e+18,mouselab-mdp,50
"[16270, 16900, 17727, 18643, 19601]","[u'left', u'left', u'left', u'up', u'right']",test,"[u'0', u'23', u'24', u'25', u'26', u'28']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'29', u'31', u'9', u'6', u'5', u'11', u'17', u'16', u'18', u'21', u'20', u'22', u'32', u'33', u'27', u'28'], u'time': [1523, 2251, 3293, 3924, 4524, 5588, 6757, 7303, 8177, 8905, 9499, 10317, 11157, 11829, 13087, 13943]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-1, 3, 8, -15, 52]","[16253, 109, 305, 361, 427]",31.0,"[None, None, None, None, None]","[u'', 1, -1, 5, 3, 19, -35, 5, 6, -31, -9, 1, -1, 1, 3, -7, 11, -42, -1, -13, 36, 13, -1, -1, 3, 8, -15, 40, 52, 11, -10, 28, -6, -19]",700154,28.0,20776.0,-8.48289182564e+18,mouselab-mdp,50
"[11786, 12392, 13095, 13965, 14927]","[u'right', u'right', u'right', u'up', u'right']",test,"[u'0', u'12', u'13', u'14', u'15', u'17']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'29', u'16', u'9', u'6', u'32', u'28', u'22', u'18', u'5', u'11', u'17'], u'time': [1350, 2234, 2987, 3705, 4524, 5263, 6489, 7375, 8111, 8833, 9621]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, 1, -1, 7, 74]","[11773, 76, 176, 350, 420]",68.0,"[None, None, None, None, None]","[u'', 1, -1, 2, 14, -22, 8, -8, -9, -26, 17, -1, -2, 1, -1, 7, -21, 74, -30, 6, -34, 6, -37, 1, 0, 6, -1, -52, -27, -13, 11, 87, -4, 10]",717740,29.0,16221.0,2.57494434791e+18,mouselab-mdp,50
"[20148, 20733, 21354, 22569, 23406]","[u'left', u'left', u'left', u'down', u'down']",test,"[u'0', u'23', u'24', u'25', u'30', u'32']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'29', u'17', u'32', u'9', u'5', u'6', u'20', u'21', u'22', u'18', u'16', u'11', u'10', u'7', u'27', u'28', u'31', u'33'], u'time': [1328, 2259, 3277, 4485, 5136, 6718, 7967, 8575, 9179, 9826, 10366, 11417, 11954, 12573, 13652, 14303, 15086, 15797]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[1, 1, 4, 2, 36]","[20137, 37, 83, 682, 306]",26.0,"[None, None, None, None, None]","[u'', 1, -2, -1, 5, 11, -3, -31, 1, 23, -23, 2, 2, 1, 2, -8, -18, -10, -27, -10, -50, -7, 27, 1, 1, 4, -7, -22, -8, -29, 2, -21, 36, -28]",744311,30.0,25127.0,8.08344173605e+18,mouselab-mdp,50
"[56933, 58127, 59473, 62230, 63843]","[u'left', u'left', u'left', u'down', u'left']",pre_test,"[u'0', u'23', u'24', u'25', u'30', u'33']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'12', u'23', u'2', u'13', u'24', u'3', u'25', u'14', u'26', u'30', u'4', u'8', u'32', u'31', u'33'], u'time': [6675, 8185, 9583, 12781, 14010, 15166, 18442, 19679, 20850, 32562, 34487, 37649, 39530, 45947, 47304, 48670]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-1, 1, 6, 13, 12]","[56906, 663, 830, 2233, 1098]",15.0,"[None, None, None, None, None]","[u'', 1, -3, 5, 8, -51, -2, -40, -1, 18, -4, -44, 0, 1, 0, -8, -11, 9, -5, 17, 8, -7, 15, -1, 1, 6, -7, 10, 25, -54, 13, -33, -11, 12]",116002,0.0,68634.0,9.26522681452e+17,mouselab-mdp,51
"[28832, 30015, 30918]","[u'up', u'up', u'left']",training,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'9', u'5', u'6', u'10', u'2', u'3', u'4', u'7', u'12'], u'time': [5826, 7117, 8040, 10090, 11452, 13399, 17545, 18739, 20769, 25550]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 4, 48]","[28824, 666, 381]",44.0,"[None, None, None]","[u'', 2, 4, -48, 48, -4, 4, -48, -48, 2, -4, 24, 48]",170604,1.0,32769.0,-5.8494341666e+18,mouselab-mdp,51
