key_press,rt,time_elapsed,trial_type,pid
32.0,2812,76058,text,18
32.0,22307,52753,text,19
32.0,13943,67711,text,19
32.0,4821,73542,text,19
32.0,9954,120446,text,19
32.0,11296,36753,text,19
32.0,24889,62651,text,19
32.0,9146,72815,text,19
32.0,18108,29548,text,20
32.0,16763,47314,text,20
32.0,25685,74002,text,20
32.0,18434,70552,text,20
32.0,25568,97125,text,20
32.0,1900,100028,text,20
32.0,20479,141140,text,20
32.0,3698,7370,text,21
32.0,4966,13338,text,21
32.0,9183,23524,text,21
32.0,18622,49598,text,21
32.0,24366,74967,text,21
32.0,5782,81750,text,21
32.0,10528,124061,text,21
32.0,18601,52354,text,22
32.0,20568,73927,text,22
32.0,7251,82181,text,22
32.0,14433,132226,text,22
32.0,13904,22456,text,22
32.0,24191,47661,text,22
32.0,11155,59820,text,22
32.0,3862,12629,text,23
32.0,2979,16610,text,23
32.0,4628,22241,text,23
32.0,4328,50223,text,23
32.0,1090,8206,text,23
32.0,999,10208,text,23
32.0,2972,14182,text,23
32.0,12819,143115,text,24
32.0,19230,163352,text,24
32.0,6948,171303,text,24
32.0,12851,237548,text,24
32.0,21627,40651,text,25
39.0,3960,45621,text,25
32.0,2264,48936,text,25
32.0,3759,68833,text,25
32.0,13151,40137,text,26
32.0,13982,55121,text,26
32.0,4019,60142,text,26
32.0,13058,107360,text,26
32.0,6323,24936,text,27
32.0,12882,38823,text,27
32.0,1915,41743,text,27
32.0,6981,69754,text,27
32.0,33595,101882,text,28
32.0,34037,136938,text,28
32.0,12530,150476,text,28
32.0,21104,214498,text,28
32.0,22650,38186,text,28
32.0,32103,71293,text,28
32.0,26723,99022,text,28
32.0,28254,74933,text,29
32.0,28745,104689,text,29
32.0,6115,111828,text,29
32.0,21204,179663,text,29
32.0,5055,13931,text,30
32.0,5188,20131,text,30
32.0,7344,28481,text,30
32.0,15439,52617,text,30
32.0,15742,69369,text,30
32.0,5217,75589,text,30
32.0,15162,117578,text,30
