action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_id,trial_type,pid
"[16152, 44200, 45062]","[u'up', u'up', u'right']",train_basic,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 5]","[16146, 27542, 344]",10.0,"[None, None, None]","[u'', 10, -5, 5, -5, -5, -5, -5, -5, 5, -5, 10, 5]",366374,2.0,1.3034732393768448e+18,mouselab-mdp,6
"[25913, 29647, 32655]","[u'left', u'left', u'up']",train_basic,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 5]","[25909, 3215, 2504]",10.0,"[None, None, None]","[u'', -5, 5, -10, -5, -5, 5, 10, -5, 10, -5, 5, -10]",402056,3.0,8.572648276602424e+18,mouselab-mdp,6
"[10039, 11036, 13360]","[u'up', u'up', u'right']",train_basic,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 10, 10]","[10036, 459, 1796]",30.0,"[None, None, None]","[u'', 10, 10, 10, 10, -10, -10, -10, 5, 10, 10, 5, 5]",420871,4.0,1.1933479039128937e+18,mouselab-mdp,6
"[8735, 10042, 11137]","[u'right', u'right', u'down']",train_basic,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 5, 5]","[8732, 795, 571]",20.0,"[None, None, None]","[u'', 5, -10, -5, 10, 10, 5, -10, 5, 5, -5, -5, 5]",435329,5.0,8.034619116489217e+18,mouselab-mdp,6
"[5420, 6524, 7773]","[u'left', u'left', u'down']",train_basic,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 5, 10]","[5416, 581, 734]",25.0,"[None, None, None]","[u'', 10, 5, -10, 5, -5, 5, 10, -5, 10, 5, -10, 10]",446625,6.0,-6.457953215426968e+18,mouselab-mdp,6
"[22372, 23788, 25158]","[u'right', u'right', u'up']",train_basic,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-10, 10, 10]","[22368, 904, 863]",10.0,"[None, None, None]","[u'', -5, 5, 5, 5, -10, 10, 10, 5, -10, 10, -10, -5]",476394,7.0,-8.511375057859465e+18,mouselab-mdp,6
"[7370, 8376, 9299]","[u'right', u'right', u'down']",train_basic,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, 5, 5]","[7367, 494, 402]",5.0,"[None, None, None]","[u'', -5, 10, -5, -5, -5, 5, -10, 5, -10, -10, 10, -10]",489727,8.0,3.932980794305715e+18,mouselab-mdp,6
"[5950, 7208, 8345]","[u'right', u'right', u'up']",train_basic,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 10]","[5946, 759, 626]",20.0,"[None, None, None]","[u'', 10, -5, -10, -5, 5, 5, 10, -10, -10, 5, 10, -10]",502475,9.0,-8.642469369171842e+18,mouselab-mdp,6
"[38694, 47913, 52208]","[u'left', u'left', u'up']",train_hidden,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 10, 10]","[38689, 8720, 3785]",30.0,"[None, None, None]","[u'', 5, -5, -5, -5, -10, 5, 5, -10, 10, 10, 10, 10]",561507,10.0,6.349377679140465e+18,mouselab-mdp,6
"[5306, 9483, 12524]","[u'up', u'up', u'right']",train_hidden,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-10, -5, -5]","[5301, 3658, 2530]",-20.0,"[None, None, None]","[u'', -10, -5, -5, 10, 10, -5, 5, -10, 5, -5, 10, 5]",579571,11.0,-4.641247981390103e+18,mouselab-mdp,6
"[5994, 8380, 11398]","[u'up', u'up', u'left']",train_hidden,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -5, 10]","[5991, 1878, 2493]",10.0,"[None, None, None]","[u'', 5, -5, -10, 10, -10, -10, -5, -5, -10, 5, -10, 5]",594793,12.0,2.252076120381865e+18,mouselab-mdp,6
"[6441, 8539, 11111]","[u'right', u'right', u'down']",train_hidden,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-10, 10, -5]","[6439, 1546, 2046]",-5.0,"[None, None, None]","[u'', 10, 10, -10, -10, -10, 10, -10, -5, 10, 5, 5, -5]",610303,13.0,1.2413699960697694e+17,mouselab-mdp,6
"[3253, 4917, 6978]","[u'right', u'right', u'up']",train_hidden,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, 5, 10]","[3250, 1157, 1538]",10.0,"[None, None, None]","[u'', 5, -5, 10, -5, -5, 5, 10, -10, 5, 10, -10, 5]",620798,14.0,4.859092002678591e+18,mouselab-mdp,6
"[71390, 72383, 73261]","[u'right', u'right', u'down']",train_inspector,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'8', u'6', u'9', u'10', u'1', u'2', u'3', u'4', u'12'], u'time': [42059, 43382, 44321, 52889, 54586, 58147, 59110, 62604, 63663, 67030]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 5, 10]","[71386, 486, 352]",25.0,"[None, None, None]","[u'', 5, -10, 5, 10, 10, 5, 10, 10, 5, -10, -10, -10]",699196,15.0,2.8266579347923113e+18,mouselab-mdp,6
"[31442, 33636, 35504]","[u'left', u'left', u'up']",train_inspector,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'9', u'5', u'6', u'10', u'2', u'11', u'12', u'4', u'3', u'7', u'8'], u'time': [2031, 4075, 5325, 7389, 8837, 10696, 13879, 19096, 22962, 24203, 25021, 26293]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -10, 5]","[31440, 1693, 1331]",0.0,"[None, None, None]","[u'', -5, -10, -10, 5, -10, -5, -5, -10, 5, -10, 5, 5]",737926,16.0,7.710656893126775e+18,mouselab-mdp,6
"[24123, 25011, 25885]","[u'left', u'left', u'up']",train_inspector,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'1', u'2', u'10', u'12', u'11', u'3', u'4', u'6', u'8', u'7'], u'time': [2862, 4390, 5339, 6895, 8016, 9894, 12321, 17079, 17937, 19194, 20779, 22030]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 10]","[24119, 364, 357]",15.0,"[None, None, None]","[u'', 10, -5, -10, -10, -10, 10, -10, -5, 10, -5, 10, -5]",768636,17.0,9.076059563084848e+18,mouselab-mdp,6
"[21321, 22218, 22923]","[u'left', u'left', u'up']",train_inspector,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'1', u'9', u'2', u'10', u'6', u'11', u'12', u'3', u'4', u'8', u'7'], u'time': [1516, 2285, 3050, 6923, 8123, 9538, 14560, 15571, 16720, 17302, 18272, 18979]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 10]","[21317, 373, 191]",15.0,"[None, None, None]","[u'', -5, 5, 5, -5, 10, -10, 5, -5, 10, -5, 10, -5]",795062,18.0,3.344637441394107e+17,mouselab-mdp,6
"[20082, 20982, 21903]","[u'right', u'right', u'up']",train_inspector,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'1', u'5', u'2', u'6', u'10', u'11', u'12', u'8', u'7', u'3', u'4'], u'time': [3704, 4559, 5199, 6998, 8322, 9347, 10241, 11174, 11926, 12953, 16315, 17821]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -5, 5]","[20073, 383, 395]",5.0,"[None, None, None]","[u'', -5, -10, 5, 5, 5, -5, 5, -10, -5, -5, -5, -10]",820968,19.0,-7.611027172769307e+18,mouselab-mdp,6
"[48898, 49544, 50532]","[u'up', u'up', u'left']",train_inspect_cost,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'1', u'2', u'3', u'4'], u'time': [26706, 32640, 39771, 44197, 47111]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 10]","[48893, 107, 475]",15.0,"[None, None, None]","[u'', 5, 5, 5, 10, 5, -5, -5, -10, -5, -10, 10, -10]",879442,20.0,5.189627300054367e+18,mouselab-mdp,6
"[13859, 14858, 15735]","[u'left', u'left', u'up']",train_inspect_cost,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'1', u'9', u'10', u'11', u'12'], u'time': [3436, 4509, 5729, 8396, 10886, 12348]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 5, 5]","[13846, 475, 359]",14.0,"[None, None, None]","[u'', 5, 5, -5, 10, 5, -10, -5, 10, 10, 5, 5, 5]",898857,21.0,5.627389738084794e+17,mouselab-mdp,6
"[24765, 25623, 26567]","[u'right', u'right', u'down']",train_inspect_cost,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'1', u'2', u'4', u'3', u'10', u'11', u'12', u'6', u'7', u'8'], u'time': [2966, 4472, 7353, 9270, 10881, 11956, 14510, 15902, 17417, 18707, 22206, 22854]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-10, 10, 5]","[24762, 331, 428]",-7.0,"[None, None, None]","[u'', 10, -10, -5, -5, -10, 10, -5, 5, -5, -10, -10, -10]",927741,22.0,-3.7612916714616883e+18,mouselab-mdp,6
"[19712, 20691, 21876]","[u'up', u'up', u'right']",train_inspect_cost,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'1', u'9', u'10', u'2'], u'time': [6353, 8429, 10103, 12543, 18182]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 10, 5]","[19709, 463, 670]",20.0,"[None, None, None]","[u'', 10, 10, 5, 10, -10, -10, -5, -5, 10, -5, 5, 10]",952773,23.0,-3.019010559255296e+18,mouselab-mdp,6
"[11209, 12181, 13548]","[u'up', u'up', u'left']",train_inspect_cost,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'2', u'3', u'4'], u'time': [1767, 2740, 5020, 6824, 8850]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 5]","[11206, 471, 854]",10.0,"[None, None, None]","[u'', 5, 5, 5, 5, -10, -10, 5, 10, -10, -5, -5, -5]",969296,24.0,-5.299628366905943e+18,mouselab-mdp,6
"[77059, 78464, 90593]","[u'left', u'left', u'down']",train_final,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'1', u'2', u'3', u'4'], u'time': [56525, 58322, 59180, 65266, 67967, 69955]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, 5, 5]","[77057, 900, 11617]",-1.0,"[None, None, None]","[u'', -5, 5, -10, -5, -10, -10, -10, -5, -5, 5, -5, 5]",1066902,25.0,-8.315324230000916e+18,mouselab-mdp,6
"[8066, 9056, 9842]","[u'left', u'left', u'up']",train_final,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'10', u'12', u'11'], u'time': [3371, 4234, 5237, 6657]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 5, 10]","[8064, 470, 274]",21.0,"[None, None, None]","[u'', 5, 10, 10, 10, -10, -10, 5, 10, 10, 5, 10, 5]",1079632,26.0,2.0301359460781466e+18,mouselab-mdp,6
"[14396, 15674, 16568]","[u'up', u'up', u'right']",train_final,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'10', u'1', u'2', u'3', u'4'], u'time': [2491, 3486, 5498, 6476, 7877, 9904]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 5]","[14388, 783, 382]",4.0,"[None, None, None]","[u'', 10, -5, 5, 5, 10, 5, 10, -10, 10, -10, -5, 10]",1099181,27.0,-3.683992464584856e+18,mouselab-mdp,6
"[13487, 14479, 15201]","[u'up', u'up', u'left']",train_final,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'10', u'1', u'2', u'3', u'4'], u'time': [1839, 2995, 5239, 7153, 8026, 9209, 12007]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, 5, 10]","[13483, 473, 192]",3.0,"[None, None, None]","[u'', -5, 5, -5, 10, -5, 5, -5, 10, 10, -10, 5, 10]",1117653,28.0,-7.97546906179963e+18,mouselab-mdp,6
"[14403, 15244, 16106]","[u'up', u'up', u'left']",train_final,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'10', u'12', u'11', u'1', u'2', u'3', u'4'], u'time': [2629, 4121, 5032, 6069, 7990, 9240, 11158, 12126]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 5]","[14400, 323, 339]",7.0,"[None, None, None]","[u'', 5, 5, -5, 5, 10, -10, -10, 10, 5, 5, -10, -5]",1150342,29.0,-5.368470092922741e+18,mouselab-mdp,6
"[48072, 48868, 49893]","[u'right', u'right', u'down']",test,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'9', u'5', u'10', u'12', u'11', u'6', u'7', u'2', u'3', u'4', u'8'], u'time': [7993, 9384, 12202, 13510, 14599, 15405, 18215, 21046, 22546, 23441, 24336, 25956]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, -10, 10]","[48070, 287, 519]",-17.0,"[None, None, None]","[u'', -10, -10, -10, -10, -5, -10, -10, 10, -5, 5, -5, -5]",1340565,30.0,4.1891588108237983e+18,mouselab-mdp,6
"[16213, 17252, 18337]","[u'up', u'up', u'left']",test,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'1', u'5', u'2', u'3', u'4'], u'time': [4874, 6553, 7285, 8966, 9587, 11477]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, 5, 5]","[16211, 542, 560]",-1.0,"[None, None, None]","[u'', -5, 5, -5, 5, -10, 10, -5, -10, -10, -10, 5, 5]",1362245,31.0,8.808609661304966e+18,mouselab-mdp,6
"[11516, 12190, 12908]","[u'up', u'up', u'right']",test,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'1', u'2', u'4', u'3'], u'time': [2931, 4417, 5397, 8136, 10167]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -5, 10]","[11513, 166, 198]",5.0,"[None, None, None]","[u'', 5, -5, 10, -10, 5, -10, 5, -5, -10, -10, 5, -5]",1379024,32.0,-6.260275842353281e+18,mouselab-mdp,6
"[28781, 29591, 30515]","[u'left', u'left', u'down']",test,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'10', u'11', u'12', u'1', u'2', u'4', u'3', u'6'], u'time': [2823, 4185, 5369, 6520, 7702, 12331, 14734, 18905, 20199, 26613]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -10, 5]","[28771, 291, 407]",-5.0,"[None, None, None]","[u'', -5, 5, -5, -5, -10, -10, 10, -5, 10, -10, -5, 5]",1412760,33.0,8.077601249506434e+18,mouselab-mdp,6
"[9162, 9920, 10796]","[u'right', u'right', u'up']",test,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'6', u'8', u'7'], u'time': [2254, 4837, 5899, 7971]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 10]","[9159, 241, 351]",11.0,"[None, None, None]","[u'', 5, -10, 10, -10, 10, -5, 10, 5, 5, -10, -10, -10]",1427847,34.0,-6.90593884411209e+17,mouselab-mdp,6
"[14074, 14790, 15476]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'1', u'5', u'10', u'12', u'11'], u'time': [4421, 5220, 6036, 7710, 8979, 9632]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, 10, 5]","[14070, 188, 173]",4.0,"[None, None, None]","[u'', -10, -10, 10, -10, -5, -10, 10, 5, -5, 10, 5, -5]",1446537,35.0,5.603840126336082e+18,mouselab-mdp,6
"[7348, 8064, 13694]","[u'right', u'right', u'up']",test,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'1', u'5', u'6'], u'time': [1941, 3085, 3684, 4710]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 10, 10]","[7344, 192, 5123]",26.0,"[None, None, None]","[u'', -5, -10, -5, 10, 10, 10, 10, -10, -10, -10, -5, -10]",1464067,36.0,2.356810097693599e+18,mouselab-mdp,6
"[12500, 13242, 14538]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'9', u'10', u'12', u'11'], u'time': [6469, 7685, 9266, 10241, 11389]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 10, 10]","[12498, 228, 779]",25.0,"[None, None, None]","[u'', -5, 10, 5, 10, 5, 5, -5, 5, 10, 10, 10, 5]",1481880,37.0,-6.877572132778754e+18,mouselab-mdp,6
"[7617, 8332, 9020]","[u'right', u'right', u'down']",test,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'9', u'5', u'6', u'7', u'8'], u'time': [1045, 2098, 3156, 4279, 5474, 6484]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 10, 10]","[7615, 200, 176]",24.0,"[None, None, None]","[u'', -5, -5, 5, 5, 10, 10, -5, 10, -10, -10, -10, 5]",1493929,38.0,4.176600634517876e+18,mouselab-mdp,6
"[7315, 8006, 8878]","[u'up', u'up', u'right']",test,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'2', u'4', u'3'], u'time': [2754, 3774, 4996, 6096]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 5, 10]","[7312, 170, 362]",21.0,"[None, None, None]","[u'', 10, 5, 10, 5, 10, -5, 5, -10, -5, -10, -5, -10]",1514782,39.0,-8.861839220469794e+18,mouselab-mdp,6
"[16016, 16761, 17517]","[u'up', u'up', u'left']",test,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'6', u'8', u'7', u'1', u'2', u'4', u'3'], u'time': [6017, 7242, 8207, 9075, 9941, 11468, 12335, 13445, 14587]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 10, 5]","[16014, 205, 229]",16.0,"[None, None, None]","[u'', 10, 10, -5, 5, 10, -5, -5, 5, -10, 5, -5, 10]",1536273,40.0,5.48878703662108e+18,mouselab-mdp,6
"[9282, 9832, 10819]","[u'right', u'right', u'down']",test,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'6', u'8', u'7'], u'time': [3891, 4736, 6498, 7489, 8214]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 10]","[9279, 37, 448]",15.0,"[None, None, None]","[u'', -5, 10, -5, 10, 5, 5, -10, 10, -5, 5, -5, -10]",1550692,41.0,-1.6198589960716582e+18,mouselab-mdp,6
"[22670, 23478, 24278]","[u'left', u'left', u'down']",test,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'9', u'10', u'12', u'3'], u'time': [3570, 4322, 5292, 6323, 20039]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -5, 10]","[22667, 259, 264]",5.0,"[None, None, None]","[u'', -5, 10, 5, 5, -5, 5, -5, -10, 5, -5, 5, 10]",1585048,42.0,-5.812682556850434e+18,mouselab-mdp,6
