,pid,info_cost,PR_type,message,trial_index,trial_id,delays,score,n_click,clicks,click_times,path,action_times
72,5,0.01,objectLevel,full,9,10.0,[0],27.92,8,"[9, 5, 13, 1, 14, 10, 11, 12]","[1564, 2594, 3561, 4219, 5459, 6812, 7610, 8329]","[1, 10, 12]","[13188, 13972, 14772]"
73,5,0.01,objectLevel,full,10,7.0,[0],27.9,10,"[9, 1, 13, 5, 14, 16, 15, 6, 7, 8]","[1445, 2626, 3316, 3922, 4746, 5308, 6961, 9761, 10352, 11073]","[1, 14, 16]","[13811, 14722, 15675]"
74,5,0.01,objectLevel,full,11,8.0,[],11.86,14,"[13, 9, 5, 1, 10, 11, 12, 14, 6, 16, 15, 8, 7, 2]","[3793, 4624, 5744, 6403, 7592, 8256, 8968, 11019, 12506, 16643, 17424, 18752, 19624, 21768]","[1, 10, 12]","[24803, 25618, 26378]"
75,5,0.01,objectLevel,full,12,14.0,[],27.92,8,"[9, 10, 1, 13, 5, 6, 7, 8]","[2394, 4063, 5654, 6638, 7225, 8577, 9951, 10618]","[1, 6, 8]","[14114, 14945, 15665]"
76,5,0.01,objectLevel,full,13,3.0,[],-4.15,15,"[9, 13, 1, 5, 10, 2, 4, 3, 12, 11, 16, 14, 7, 6, 8]","[3935, 4996, 6524, 7612, 10437, 13900, 16252, 16740, 18204, 18836, 23300, 24124, 27276, 27812, 28316]","[1, 10, 12]","[32421, 33326, 34021]"
77,5,0.01,objectLevel,full,14,15.0,[],35.9,10,"[9, 13, 1, 5, 6, 7, 8, 10, 11, 12]","[2230, 3012, 4954, 6298, 7194, 7978, 8746, 10123, 10803, 11442]","[1, 10, 12]","[13701, 14413, 15165]"
78,5,0.01,objectLevel,full,15,9.0,[],11.89,11,"[9, 13, 1, 5, 10, 11, 6, 12, 14, 16, 15]","[1109, 2828, 3292, 3788, 5020, 5652, 6613, 7740, 10463, 10884, 12111]","[1, 14, 15]","[15999, 16790, 17566]"
79,5,0.01,objectLevel,full,16,4.0,[],27.9,10,"[9, 13, 1, 5, 14, 16, 15, 6, 7, 8]","[2564, 3603, 4563, 5124, 6299, 7027, 7691, 9175, 9523, 10588]","[1, 6, 7]","[12766, 13614, 14454]"
80,7,1.0,none,none,1,7.0,[3],15.0,5,"[9, 5, 6, 7, 8]","[6865, 11035, 13934, 15579, 55085]","[1, 6, 7]","[63363, 64506, 65421]"
81,7,1.0,none,none,2,13.0,[3],39.0,5,"[13, 1, 2, 3, 4]","[2130, 4029, 5197, 6084, 7388]","[1, 2, 4]","[9166, 9916, 10610]"
82,7,1.0,none,none,3,5.0,[3],25.0,3,"[9, 10, 12]","[1918, 2811, 3903]","[1, 10, 12]","[5803, 7059, 8223]"
83,7,1.0,none,none,4,9.0,[3],-7.0,11,"[13, 5, 6, 9, 10, 1, 2, 12, 11, 7, 8]","[2640, 5206, 6223, 8342, 9220, 10508, 11295, 15320, 17614, 19092, 20154]","[1, 6, 8]","[22727, 23332, 24456]"
84,7,1.0,none,none,5,15.0,[3],-1.0,5,"[1, 5, 6, 8, 7]","[2196, 3710, 4539, 5659, 6704]","[1, 6, 8]","[13969, 18178, 19112]"
85,7,1.0,none,none,6,10.0,[3],22.0,6,"[1, 2, 5, 9, 10, 12]","[1902, 2790, 4862, 6289, 7063, 7723]","[1, 10, 12]","[11458, 12350, 13491]"
