action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_type,pid
"[1791, 2343, 3115]","[u'down', u'down', u'right']",train_basic,,,"[0, 4, 8, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 24, 8]","[1788, 22, 230]",24.0,"[None, None, None]",,51018,6.0,mouselab-mdp,1
"[3157, 3710, 4507]","[u'up', u'up', u'left']",train_basic,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-24, -8, 24]","[3152, 6, 196]",-8.0,"[None, None, None]",,57576,7.0,mouselab-mdp,1
"[1326, 1884, 3905]","[u'down', u'down', u'right']",train_basic,,,"[0, 4, 8, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 24, 8]","[1318, 40, 1461]",56.0,"[None, None, None]",,63729,8.0,mouselab-mdp,1
"[865, 2249, 2970]","[u'left', u'left', u'down']",train_basic,,,"[0, 3, 7, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 8, 8]","[860, 865, 174]",40.0,"[None, None, None]",,68762,9.0,mouselab-mdp,1
"[1743, 3005, 3770]","[u'down', u'down', u'left']",train_hidden,,,"[0, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-24, -24, -8]","[1736, 635, 233]",-56.0,"[None, None, None]",,79400,10.0,mouselab-mdp,1
"[7966, 9028, 10635]","[u'right', u'right', u'down']",train_hidden,,,"[0, 1, 5, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 24, -40]","[7942, 515, 1087]",-8.0,"[None, None, None]",,92901,11.0,mouselab-mdp,1
"[522, 1214, 2029]","[u'up', u'up', u'right']",train_hidden,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 8, -8]","[512, 162, 280]",-8.0,"[None, None, None]",,97828,12.0,mouselab-mdp,1
"[733, 1475, 2209]","[u'down', u'down', u'left']",train_hidden,,,"[0, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-24, -8, 8]","[729, 206, 214]",-24.0,"[None, None, None]",,102024,13.0,mouselab-mdp,1
"[480, 1162, 1827]","[u'left', u'left', u'down']",train_hidden,,,"[0, 3, 7, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 8, -8]","[476, 160, 135]",-8.0,"[None, None, None]",,105835,14.0,mouselab-mdp,1
"[8748, 9664, 10346]","[u'left', u'left', u'down']",train_inspector,,,"[0, 3, 7, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'13', u'14'], u'time': [4793, 5981, 7071]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-40, 8, 24]","[8742, 389, 138]",-8.0,"[None, None, None]",,120708,15.0,mouselab-mdp,1
"[8398, 9484, 10119]","[u'right', u'right', u'down']",train_inspector,,,"[0, 1, 5, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'8', u'4', u'15'], u'time': [1725, 2534, 3532]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-40, -8, 8]","[8393, 574, 119]",-40.0,"[None, None, None]",,133382,16.0,mouselab-mdp,1
"[5266, 6228, 7213]","[u'right', u'right', u'up']",train_inspector,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'12', u'11'], u'time': [2121, 2641, 3134, 3696]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 8, -8]","[5261, 441, 467]",24.0,"[None, None, None]",,143077,17.0,mouselab-mdp,1
"[7169, 7834, 8469]","[u'up', u'up', u'right']",train_inspector,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'8'], u'time': [2021, 3856, 5192]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, -8, -8]","[7165, 135, 108]",-24.0,"[None, None, None]",,153831,18.0,mouselab-mdp,1
