,Unnamed: 0,id,,condition,score,norm_score
578,3203,ASXRI4YKOURCZ:3COPXFW7XCJLFE56VF7TUFKR06SKPU,,1,843,5
585,3210,A1HM81XU6D63AT:37TD41K0AIG0989AVJUP11CUIHQCSP,,2,694,-245
592,3217,A302KOFOYLD89A:31EUONYN2WAHAPNHFJ8L7OQI6Z2OV2,,1,741,-10
599,3224,AJWYI4RSL605P:3VHHR074H4O7TEJOKTPD9T6LPCRL7R,,0,250,-500
605,3230,A2WROO63ZRWK4E:3OJSZ2ATDT3TRPG3S696S4AO3MR75P,,1,346,-319
612,3237,ABGFBUCWV7C23:3AAPLD8UCDOS5GX56BDGMX5WXS9HTS,,0,882,-28
618,3243,AH3OMGT9KVYA3:3IKZ72A5B5NAW71FEP34ADNRSVANFZ,,1,359,-285
625,3250,A1NWXL4QO30M8U:3STRJBFXOXYJ76YDCWGDZPLOP9DKTZ,,1,372,-277
632,3257,A16KEXQ41TFLJ6:3Z7ISHFUH12VYH5B9Z8SV8DEF54Z8A,,1,633,-118
639,3264,A2UDKHTHITU4PT:3I33IC7ZWG9JBUVEHQJS4O92KK62AA,,2,575,7
646,3281,A362RXUHDXF7EA:3ZOTGHDK5JI1IX6DLO3GW16B7V9SO2,,2,357,-481
653,3288,A1KDT8O78TAU2R:3NG53N1RLWQ1KD35MQAQ4AB056Y8PZ,,0,203,-365
659,3299,AFAQRD1972NYV:3IXQG4FA2U5ZUOL58DY39M1M8819B4,,2,115,-636
666,3306,A37XVDGVAEI7F:3VD82FOHKRVLBGHHO2DGHW2TLSNCOS,,0,74,-494
672,3312,A11DLGQTOOSIWR:33JKGHPFYD1G2HTW0C7H5370PWMNM6,,1,859,-30
679,3319,A15NMGHFGAWT9:3X66WABAJXP963407QP7JKPXOTJG3B,,2,900,-10
686,3326,A318574M8Q965P:3OVR4I9USQQL1OHIA0Z2N3L58GOQ41,,0,55,-695
692,3332,ACF8CYOJ1P4GC:3DIP6YHAPDZXNMEFDCUFAYCWRZWE8K,,2,711,-127
699,3339,A2W7Z10Z5YLLF4:3X1FV8S5JYYTIC6JR0VD2FHGFDCGV8,,0,195,-470
705,3345,A1LHZLOG7M6R7T:3LOTDFNYA860J1AT6QUR6W0IL7EFWI,,2,630,-124
712,3352,A2ADH36WFL6AK6:39DD6S19JQIC7IF2M2USNI90Q82ZE9,,0,449,-189
718,3358,A159VRVTSJ5SQ1:3C8HJ7UOP81AJ67F30IB0QE9ZAUMZM,,2,547,-97
725,3365,A31U7VGTEOY2RG:3XLBSAQ9Z5JRY30SZUGMH8HJ4LZ7ZW,,0,260,-389
731,3371,A3N5TBI76IVJFA:3EFVCAY5L4G5Y207RD567EPOW7SJ8A,,2,132,-753
738,3378,A2S37P50AYCUYV:3AMW0RGHOE9MNKQ9SSZ9M71VU1XNP2,,2,671,-167
745,3385,A14N5RGTG9D4LF:33LKR6A5KFRH15CR4MAVUAPPG3DT15,,1,505,-245
752,3392,AQ2T4LJPNKKA8:37Q970SNZFFGM5ZCFM55K5T3EKZS1F,,1,239,-529
759,3399,A33UW3XW0LM27W:38YMOXR4MV6408HI5XRNCQN5S8B6W6,,0,-152,-801
765,3405,A15CNJJHKXZ8OK:3LWJHTCVCDTVZ4E7UHVLE7IWX6XFQE,,1,198,-467
772,3419,A2XUN4H5FS2ZZ7:3E13VNJ1NO2RSRWGAABRG3NG5MXI1D,,1,753,-15
779,3426,A372RONRIOLZM4:3TAYZSBPLMFNBQH8YQ5JPO386QDS2W,,0,-48,-799
785,3432,A2SO4XP3XFS933:3QY5DC2MXSRNRXLOBQFQO8FL0R3FUJ,,0,668,-217
791,3438,A11DJHOJ5CEV4A:3YMU66OBIOFO0BBZMBE9NEQ77Y1GHI,,1,-123,-1033
798,3445,A324M5ZRHX7RUV:33C7UALJVM5Y3LK31OZ03ET22QS81V,,2,607,-31
805,3452,A34X181R1XM7CI:3VNXK88KKDPE32JBDUP3AYVTB0H9VA,,0,509,-242
811,3458,ACMCJFX5P8UGL:3Z4XG4ZF49Y6TM5W8HK7YNX37578XN,,1,169,-582
818,3465,A2X3MRQD8UQKW3:3OVHNO1VE787FC12Q7J8H0RFQW2DZV,,0,552,-97
824,3471,AY10TBUJPFTY6:3LRLIPTPERGESAZ46WPW4KVW1KSAK4,,0,82,-893
830,3477,A3AWNU60ULIUIK:3M81GAB8A1Q5MN2RPF9PVHRBI85BQS,,1,101,-564
837,3484,A2D98V3ZYWDMJO:339ANSOTR69TYSI2IKH9LIJFESXKII,,0,287,-281
843,3490,ANAFNJUX1C8NB:3RGU30DZTBFKJR2BLEFPCWQJGCHMJ1,,2,510,-211
850,3501,A2XI42R8KYRKAY:3R8YZBNQ9IPIKBZ1CYX9QF5FZIEQ7L,,0,495,-255
856,3507,A34CQE6RGU49L7:3ZOTGHDK5JI1IX6DLO3GW16B7V8OSX,,2,890,-49
863,3514,ANJM3VDQRW9F5:3W2LOLRXLCM6RRLL87BIZAK61OGKRM,,1,267,-454
870,3521,A10IJ2B94MS2MX:3MAOD8E57RHRWTS0EJ9QGKNYW06NXQ,,0,92,-557
876,3527,AWX82YIZL7HAY:3DBQWDE4Y75IUA8Q8DQVO1WE31WN5G,,1,616,-33
883,3534,A6RMMV8AHXY9J:3DR23U6WE6LGL663GA5A1U8J5CHTEO,,1,467,-182
890,3541,A3RBQZC3BRVQJ:333U7HK6IAMHFXWY8LGMT63P7YPJDG,,0,789,-121
