bonus,bonusRate,branching,completed,condition,delay_hours,delay_window,feedback,inspectCost,pid,startTime,variance,with_feedback,version
0.64,0.002,312,TRUE,1,24,12,TRUE,1,8,Wed Mar 07 2018 23:18:46 GMT+0300 (EAT),2_4_24,TRUE,R0.9
4.09,0.002,312,TRUE,1,24,12,TRUE,1,8,Thu Mar 08 2018 22:57:22 GMT+0300 (EAT),2_4_24,TRUE,R0.9
4.61,0.002,312,TRUE,0,24,12,FALSE,1,9,Thu Mar 08 2018 13:32:28 GMT-0500 (EST),2_4_24,FALSE,R0.9
0.76,0.002,312,TRUE,1,24,12,TRUE,1,9,Wed Mar 07 2018 11:54:33 GMT-0500 (EST),2_4_24,TRUE,R0.9
0.74,0.002,312,TRUE,0,24,12,FALSE,1,10,Wed Mar 07 2018 10:07:20 GMT-0800 (Pacific Standard Time),2_4_24,FALSE,R0.9
4.39,0.002,312,TRUE,1,24,12,TRUE,1,10,Thu Mar 08 2018 10:29:47 GMT-0800 (Pacific Standard Time),2_4_24,TRUE,R0.9
,0.002,312,TRUE,0,24,12,FALSE,1,11,Fri Mar 09 2018 13:42:43 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
,0.002,312,TRUE,1,24,12,TRUE,1,12,Fri Mar 09 2018 11:54:42 GMT-0600 (Central Standard Time),2_4_24,TRUE,R0.9
4.73,0.002,312,TRUE,0,24,12,FALSE,1,13,Thu Mar 08 2018 12:32:23 GMT-0600 (CST),2_4_24,FALSE,R0.9
0.85,0.002,312,TRUE,1,24,12,TRUE,1,13,Wed Mar 07 2018 11:22:30 GMT-0600 (CST),2_4_24,TRUE,R0.9
3.24,0.002,312,TRUE,1,24,12,TRUE,1,14,Thu Mar 08 2018 12:11:06 GMT-0800 (Pacific Standard Time),2_4_24,TRUE,R0.9
0,0.002,312,TRUE,0,24,12,FALSE,1,14,Wed Mar 07 2018 12:08:17 GMT-0800 (Pacific Standard Time),2_4_24,FALSE,R0.9
0.53,0.002,312,TRUE,1,24,12,TRUE,1,15,Wed Mar 07 2018 14:44:31 GMT-0600 (Central Standard Time),2_4_24,TRUE,R0.9
0.77,0.002,312,TRUE,0,24,12,FALSE,1,16,Wed Mar 07 2018 11:52:25 GMT-0500 (US Eastern Standard Time),2_4_24,FALSE,R0.9
4.83,0.002,312,TRUE,0,24,12,FALSE,1,16,Thu Mar 08 2018 12:50:55 GMT-0500 (US Eastern Standard Time),2_4_24,FALSE,R0.9
0,0.002,312,TRUE,0,24,12,FALSE,1,17,Wed Mar 07 2018 16:21:11 GMT-0500 (EST),2_4_24,FALSE,R0.9
3.53,0.002,312,TRUE,0,24,12,FALSE,1,17,Thu Mar 08 2018 13:36:04 GMT-0500 (EST),2_4_24,FALSE,R0.9
,0.002,312,TRUE,0,24,12,FALSE,1,18,Fri Mar 09 2018 09:26:16 GMT-0800 (Pacific Standard Time),2_4_24,FALSE,R0.9
0.48,0.002,312,TRUE,1,24,12,TRUE,1,19,Wed Mar 07 2018 14:22:05 GMT-0800 (PST),2_4_24,TRUE,R0.9
3.82,0.002,312,TRUE,0,24,12,FALSE,1,19,Thu Mar 08 2018 11:20:24 GMT-0800 (PST),2_4_24,FALSE,R0.9
4.03,0.002,312,TRUE,1,24,12,TRUE,1,20,Thu Mar 08 2018 14:16:15 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
0.74,0.002,312,TRUE,0,24,12,FALSE,1,20,Wed Mar 07 2018 12:48:13 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
4.61,0.002,312,TRUE,0,24,12,FALSE,1,21,Thu Mar 08 2018 21:49:39 GMT-0600 (Central Standard Time),2_4_24,FALSE,R0.9
0.94,0.002,312,TRUE,1,24,12,TRUE,1,21,Wed Mar 07 2018 13:20:46 GMT-0600 (CST),2_4_24,TRUE,R0.9
0,0.002,312,TRUE,0,24,12,FALSE,1,22,Wed Mar 07 2018 14:06:42 GMT-0800 (Pacific Standard Time),2_4_24,FALSE,R0.9
