action_times,actions,button_pressed,correct,delays,information_used_correctly,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,34612,,,459019,,,instructions,"[{""page_index"":0,""viewing_time"":16510},{""page_index"":1,""viewing_time"":7836},{""page_index"":2,""viewing_time"":10266}]",35
,,,,,,,,,,,,3652,,,479820,,,instructions,"[{""page_index"":0,""viewing_time"":1820},{""page_index"":1,""viewing_time"":912},{""page_index"":2,""viewing_time"":919}]",35
,,,,,,,,,,,,3280,,,500578,,,instructions,"[{""page_index"":0,""viewing_time"":1377},{""page_index"":1,""viewing_time"":888},{""page_index"":2,""viewing_time"":1015}]",35
,,,,,,,,,,,,27061,,,542992,,,instructions,"[{""page_index"":0,""viewing_time"":8207},{""page_index"":1,""viewing_time"":12515},{""page_index"":2,""viewing_time"":6338}]",35
,,,,,,,,,,,,262014,,,262016,,,instructions,"[{""page_index"":0,""viewing_time"":106360},{""page_index"":1,""viewing_time"":47781},{""page_index"":2,""viewing_time"":56151},{""page_index"":1,""viewing_time"":24185},{""page_index"":0,""viewing_time"":24309},{""page_index"":1,""viewing_time"":1040},{""page_index"":2,""viewing_time"":2180}]",36
,,,,,,,,,,,,186133,,,186134,,,instructions,"[{""page_index"":0,""viewing_time"":68081},{""page_index"":1,""viewing_time"":58200},{""page_index"":2,""viewing_time"":59851}]",37
,,,,,,,,,,,,77357,,,77358,,,instructions,"[{""page_index"":0,""viewing_time"":27843},{""page_index"":1,""viewing_time"":20828},{""page_index"":0,""viewing_time"":8108},{""page_index"":1,""viewing_time"":4534},{""page_index"":2,""viewing_time"":16043}]",38
,,,,,,,,,,,,36310,,,131340,,,instructions,"[{""page_index"":0,""viewing_time"":9405},{""page_index"":1,""viewing_time"":18120},{""page_index"":2,""viewing_time"":8784}]",38
,,,,,,,,,,,,15813,,,164541,,,instructions,"[{""page_index"":0,""viewing_time"":5539},{""page_index"":1,""viewing_time"":8713},{""page_index"":2,""viewing_time"":1560}]",38
,,,,,,,,,,,,6271,,,182892,,,instructions,"[{""page_index"":0,""viewing_time"":4342},{""page_index"":1,""viewing_time"":1056},{""page_index"":2,""viewing_time"":872}]",38
,,,,,,,,,,,,62340,,,62341,,,instructions,"[{""page_index"":0,""viewing_time"":15241},{""page_index"":1,""viewing_time"":19337},{""page_index"":2,""viewing_time"":27761}]",39
,,,,,,,,,,,,222551,,,222551,,,instructions,"[{""page_index"":0,""viewing_time"":38996},{""page_index"":1,""viewing_time"":140124},{""page_index"":2,""viewing_time"":43430}]",40
,,,,,,,,,,,,99152,,,99154,,,instructions,"[{""page_index"":0,""viewing_time"":30583},{""page_index"":1,""viewing_time"":7121},{""page_index"":0,""viewing_time"":3072},{""page_index"":1,""viewing_time"":7661},{""page_index"":2,""viewing_time"":2080},{""page_index"":1,""viewing_time"":28081},{""page_index"":2,""viewing_time"":2093},{""page_index"":1,""viewing_time"":1440},{""page_index"":2,""viewing_time"":17021}]",41
,,,,,,,,,,,,56817,,,56817,,,instructions,"[{""page_index"":0,""viewing_time"":31553},{""page_index"":1,""viewing_time"":15399},{""page_index"":2,""viewing_time"":9864}]",42
,,,,,,,,,,,,90780,,,90782,,,instructions,"[{""page_index"":0,""viewing_time"":43422},{""page_index"":1,""viewing_time"":22489},{""page_index"":2,""viewing_time"":24868}]",43
,,,,,,,,,,,,166258,,,166260,,,instructions,"[{""page_index"":0,""viewing_time"":67150},{""page_index"":1,""viewing_time"":60426},{""page_index"":2,""viewing_time"":38681}]",44
